i,j,flux_wedge,abs_flux,region_i,region_j,flux_exact,flux_coexact
0,162,0.3209671109224878,0.3209671109224878,other,other,0.21440584204972835,0.10656126887275946
0,438,-0.0565693450628736,0.0565693450628736,other,other,-0.03584998313432136,-0.02071936192855224
0,980,0.170252656903959,0.170252656903959,other,other,0.21823777929462984,-0.04798512239067085
0,1541,-0.2204230511702918,0.2204230511702918,other,immune_core,-0.3447146465999873,0.1242915954296955
0,202,-0.1972483488751765,0.1972483488751765,other,immune_core,0.13262406133096766,-0.32987241020614416
0,890,0.3212663407026336,0.3212663407026336,other,other,0.15354200369692986,0.16772433700570374
1,1373,0.1349345580854747,0.1349345580854747,other,other,0.10683468349926045,0.02809987458621424
1,1267,0.0283753301613805,0.0283753301613805,other,other,0.007325415374849647,0.021049914786530854
1,561,0.1523565145902631,0.1523565145902631,other,other,0.16675488299931607,-0.01439836840905298
1,304,0.1535527383358239,0.1535527383358239,other,other,0.16316004966925401,-0.009607311333430124
1,546,0.2320616168019078,0.2320616168019078,other,other,0.2312938568435622,0.0007677599583455763
1,907,0.2102366522595926,0.2102366522595926,other,other,0.23614851539172102,-0.025911863132128427
2,922,0.0309155558308292,0.0309155558308292,other,other,0.016100917828401194,0.014814638002428007
2,1564,-0.2106473395070832,0.2106473395070832,other,other,-0.25824698108401434,0.04759964157693114
2,535,0.0495337360811784,0.0495337360811784,other,other,0.09188348625920602,-0.04234975017802762
2,115,0.0302828186966345,0.0302828186966345,other,other,0.002355131148891784,0.027927687547742715
2,243,-0.0270255979843844,0.0270255979843844,other,other,-0.031150339892228922,0.004124741907844523
2,1054,0.0470942988818877,0.0470942988818877,other,other,0.0992112054418485,-0.0521169065599608
3,443,0.2020545683992159,0.2020545683992159,other,other,0.18136661900931894,0.02068794938989696
3,913,-0.33678521519784,0.33678521519784,other,immune_core,-0.3602363568143716,0.023451141616531612
3,1390,-0.0524825554474817,0.0524825554474817,other,other,-0.046871542919264764,-0.005611012528216934
3,260,-0.08564714704622,0.08564714704622,other,other,-0.06373641298540694,-0.021910734060813064
3,383,0.1160868947519584,0.1160868947519584,other,other,0.11280215467580212,0.00328474007615627
3,993,0.1075250462079778,0.1075250462079778,other,other,0.12742729850216816,-0.019902252294190362
4,599,-0.3653151779001847,0.3653151779001847,other,immune_core,-0.48739253891352313,0.12207736101333844
4,1487,0.1630875846708105,0.1630875846708105,other,other,0.21322721902369557,-0.05013963435288507
4,1076,0.0476811984918268,0.0476811984918268,other,other,0.03581466700936899,0.01186653148245781
4,459,0.1825592730861234,0.1825592730861234,other,other,0.22792986096397722,-0.04537058787785381
4,707,0.0471290741383907,0.0471290741383907,other,other,0.07000632663120654,-0.022877252492815837
4,1104,0.1478776838788045,0.1478776838788045,other,other,0.16343414680363955,-0.015556462924835035
5,882,0.1942221138454129,0.1942221138454129,immune_core,other,0.18688677567050832,0.007335338174904588
5,968,0.1986687187744701,0.1986687187744701,immune_core,other,0.15490830162420066,0.04376041715026943
5,779,-0.0175849191195875,0.0175849191195875,immune_core,other,0.18123857504144014,-0.19882349416102765
5,799,0.2817417945229504,0.2817417945229504,immune_core,other,0.24313343938148457,0.03860835514146582
5,1434,0.2619211468361913,0.2619211468361913,immune_core,other,0.21658373358919447,0.045337413246996805
5,988,0.2995059873306999,0.2995059873306999,immune_core,other,0.23572408560734476,0.06378190172335513
6,978,1.672150670027153,1.672150670027153,interface,interface,0.803784244024035,0.8683664260031179
6,1393,0.3235737549633176,0.3235737549633176,interface,interface,-0.010890294163233616,0.3344640491265512
6,1058,0.0028279037106335,0.0028279037106335,interface,interface,0.9965606653846015,-0.9937327616739681
6,1514,0.2765412421511692,0.2765412421511692,interface,interface,0.43763474043182604,-0.16109349828065683
6,855,1.1732856990006963,1.1732856990006963,interface,interface,1.2968203523257913,-0.12353465332509495
6,1140,-0.041983982846601,0.041983982846601,interface,interface,-0.11751575472053033,0.07553177187392933
7,1164,2.4160928958599435,2.4160928958599435,interface,interface,1.77148888828824,0.6446040075717034
7,648,0.7110713640367304,0.7110713640367304,interface,interface,0.6762322414862523,0.03483912255047816
7,1061,2.0283479747077124,2.0283479747077124,interface,interface,1.808219175044337,0.2201287996633754
7,971,-0.1823170266560643,0.1823170266560643,interface,interface,0.5138883784867684,-0.6962054051428327
7,1102,0.4476357551615396,0.4476357551615396,interface,interface,0.23947728071107965,0.20815847445045993
7,548,0.7082983531298717,0.7082983531298717,interface,interface,1.1198219369998064,-0.4115235838699347
8,1086,-0.1902474747938,0.1902474747938,other,interface,0.22613902475187164,-0.41638649954567164
8,499,0.0444531637154552,0.0444531637154552,other,other,-0.011730732422789325,0.056183896138244524
8,892,0.1515256629849708,0.1515256629849708,other,immune_core,0.09596709155054972,0.055558571434421083
8,81,0.0261376044413714,0.0261376044413714,other,immune_core,0.055105494313786474,-0.028967889872415074
8,1167,0.1407086949094013,0.1407086949094013,other,other,0.0022682303487671085,0.1384404645606342
8,645,0.1874745552851088,0.1874745552851088,other,interface,-0.007696464856003227,0.19517102014111204
9,1260,-0.1461643129484112,0.1461643129484112,immune_core,interface,0.19391647732295014,-0.34008079027136134
9,1584,0.5568185224987484,0.5568185224987484,immune_core,other,0.5492658398014172,0.0075526826973312255
9,328,0.1903341283861774,0.1903341283861774,immune_core,interface,0.25586157121915376,-0.06552744283297637
9,1051,0.2397706404792125,0.2397706404792125,immune_core,immune_core,0.22385603599490922,0.01591460448430329
9,143,0.6613014452398126,0.6613014452398126,immune_core,other,0.5997792708633374,0.061522174376475225
9,1250,0.7359618028384348,0.7359618028384348,immune_core,other,0.4153419751051355,0.32061982773329933
10,200,-0.1657865972247078,0.1657865972247078,interface,interface,0.06166952412782312,-0.2274561213525309
10,1494,0.8718408114567934,0.8718408114567934,interface,interface,0.5226811222263925,0.34915968923040086
10,581,0.0147122188022987,0.0147122188022987,interface,interface,0.26958332918775396,-0.25487111038545524
10,411,0.5625233906044154,0.5625233906044154,interface,interface,0.33051083570188666,0.2320125549025287
10,129,0.632969505790662,0.632969505790662,interface,interface,0.4208887029581809,0.2120808028324811
10,1453,-0.1672304076726263,0.1672304076726263,interface,interface,0.14369611296825435,-0.31092652064088067
11,727,-0.0162295177454721,0.0162295177454721,other,other,0.07247293373451003,-0.08870245147998213
11,575,0.1071125745189397,0.1071125745189397,other,other,0.12589078959024302,-0.018778215071303325
11,60,0.5216185514904402,0.5216185514904402,other,tumor_core,0.4242621592302025,0.09735639226023773
11,1469,-0.1115617661635176,0.1115617661635176,other,other,-0.1450279723671981,0.033466206203680515
11,1433,-0.0469334325627861,0.0469334325627861,other,other,0.016698649865633297,-0.06363208242841939
11,1382,0.1820051764365932,0.1820051764365932,other,other,0.14171435859742787,0.04029081783916533
12,362,1.2788268823270643,1.2788268823270643,interface,interface,0.7306340640781599,0.5481928182489044
12,1514,-0.0142736890081353,0.0142736890081353,interface,interface,-0.07215550055464648,0.057881811546511175
12,167,-0.4418766888143629,0.4418766888143629,interface,interface,-0.22010112416950878,-0.2217755646448541
12,708,-0.6946565676791967,0.6946565676791967,interface,interface,-0.43233631443517195,-0.26232025324402475
12,1140,-0.8764247139939575,0.8764247139939575,interface,interface,-0.6273059957070029,-0.24911871828695464
12,1393,-0.393539804835651,0.393539804835651,interface,interface,-0.5206805351497061,0.12714073031405515
13,1218,0.2028350321404143,0.2028350321404143,immune_core,other,0.1824601036732161,0.020374928467198183
13,213,-0.0114484691242849,0.0114484691242849,immune_core,immune_core,0.060078608408607334,-0.07152707753289224
13,1150,0.2203247268672749,0.2203247268672749,immune_core,other,0.24531261297427828,-0.024987886107003393
13,63,0.0553560558728353,0.0553560558728353,immune_core,interface,0.194812814506154,-0.13945675863331872
13,943,0.2457119130947287,0.2457119130947287,immune_core,immune_core,0.0786350778524324,0.1670768352422963
13,1365,0.5226166734393256,0.5226166734393256,immune_core,other,0.47409656530134564,0.04852010813797997
14,599,-0.7733093271629559,0.7733093271629559,other,immune_core,-0.7716490867164639,-0.001660240446491934
14,443,-0.0016667931513266,0.0016667931513266,other,other,0.019758113588730586,-0.021424906740057186
14,588,-0.0023385637623529,0.0023385637623529,other,other,-0.020258231892654632,0.01791966813030173
14,1331,0.0287664539359776,0.0287664539359776,other,other,0.019154010156420154,0.009612443779557445
14,229,-0.2360828666601687,0.2360828666601687,other,other,-0.22208771483187648,-0.013995151828292224
14,579,-0.1135011662310305,0.1135011662310305,other,other,-0.12304902392687009,0.009547857695839587
15,503,0.1844542034638218,0.1844542034638218,other,other,0.23492029566595862,-0.050466092202136825
15,386,-0.0735374768859171,0.0735374768859171,other,other,-0.006094154665623384,-0.06744332222029371
15,911,-0.1851835167693828,0.1851835167693828,other,other,-0.14265045867859608,-0.042533058090786724
15,1306,-0.0843371523780779,0.0843371523780779,other,other,-0.08224839168333917,-0.002088760694738734
15,596,0.0666939959036982,0.0666939959036982,other,other,0.021971965174602096,0.04472203072909611
15,1311,0.0851700804853465,0.0851700804853465,other,interface,-0.03263914646575055,0.11780922695109705
16,448,0.1457223176720728,0.1457223176720728,interface,interface,0.1289669539925309,0.01675536367954189
16,484,-0.142680707174349,0.142680707174349,interface,interface,-0.7223351874822254,0.5796544803078764
16,1375,0.1213408168851088,0.1213408168851088,interface,interface,0.19272804780239833,-0.07138723091728953
16,714,0.2432778736604743,0.2432778736604743,interface,interface,0.3672476994018991,-0.12396982574142482
16,423,0.2440793308170656,0.2440793308170656,interface,interface,0.2775851199697469,-0.03350578915268129
16,191,-0.0107129609287254,0.0107129609287254,interface,interface,0.35683397127724426,-0.3675469322059697
17,1272,-0.2827762011549584,0.2827762011549584,interface,immune_core,-0.13844576028400257,-0.1443304408709558
17,1030,-0.1748952041293588,0.1748952041293588,interface,other,-0.18523858489197845,0.010343380762619647
17,1546,-0.0781110687002839,0.0781110687002839,interface,other,0.0393475896481309,-0.1174586583484148
17,1232,-0.0535534509964682,0.0535534509964682,interface,other,-0.1119229709315353,0.0583695199350671
17,1270,0.0220396747903578,0.0220396747903578,interface,interface,0.1068136922562582,-0.0847740174659004
17,644,0.3592227328555398,0.3592227328555398,interface,tumor_core,0.08137266829576914,0.2778500645597707
18,992,0.0262304762009425,0.0262304762009425,interface,interface,0.06133043476183897,-0.03509995856089647
18,1475,0.1196807905033596,0.1196807905033596,interface,interface,0.14514289871471953,-0.025462108211359927
18,125,0.14495056811201,0.14495056811201,interface,interface,0.10640832890030139,0.0385422392117086
18,903,0.1160446195088166,0.1160446195088166,interface,other,0.019830647512295574,0.09621397199652103
