node,ks_value,coexact_energy,region
0,-0.0022942197736262977,0.0040743166355114,other
1,-0.005701077152477115,0.0142255310524254,other
2,-0.007840855321120558,0.0067369438432291,other
3,0.0009869851563230091,0.0024095601829101,other
4,-0.013740559830822445,0.0809284348942229,interface
5,0.009285811470619229,0.0713250828335429,interface
6,-4.49907853429028e-05,0.0014030914663458,other
7,-0.005250862588158674,0.0291253797811396,interface
8,-132.59842822574143,3.236636320016203,interface
9,-2.1542156641965433,0.0077696129125115,tumor_core
10,-0.04208790461956208,0.0688875585539321,interface
11,-0.000259675029484478,0.0040761311243595,other
12,-0.009326732592376846,0.0059742737191623,interface
13,0.0017121883338206876,0.0088183368182347,interface
14,0.0002492310072555407,0.0079905313171391,other
15,7.071065174347625e-05,0.0004633434934549,other
16,0.00023161323634618376,0.0027797868216922,other
17,-0.02080380180545263,0.0174137676284242,interface
18,-0.021405685477792723,0.0264521035865821,tumor_core
19,0.0009224041314258586,0.0045191289605022,other
20,-1.8779367731241146e-05,0.0002203273178232,other
21,0.003831589442811846,0.1326934679322542,interface
22,0.004180209820659482,0.0075732917937817,other
23,3.4863191150443713,0.2522517285300714,interface
24,-2.0134366537482977,0.7902887345916333,interface
25,0.001529769762193695,0.0016474705786908,other
26,0.004164347864684384,0.003699295634969,other
27,0.0966769740781413,0.0233154063507368,interface
28,0.023851064109308553,0.0281712533381599,interface
29,-0.03997153799799761,0.0754006201121798,interface
30,303.4246183201411,3.0770172160485902,interface
31,-1.3434917045853302e-05,0.0007015074073428,other
32,0.001026667835008488,0.0017997074004706,other
33,-8.886537818527415,0.5880790015321208,interface
34,-0.0005649034339646684,0.0029305385857998,other
35,0.012109923410470168,0.0120891212006492,other
36,7.011762054036132e-05,0.0005748004284821,other
37,0.00019496645121984163,0.0008563573749503,other
38,0.0029164393559260424,0.0065428961780934,other
39,0.00024018003439149632,0.0009848734019027,other
40,-0.009559363215891957,0.0175173607789784,other
41,-0.006745265227729332,0.0200646759407208,immune_core
42,0.002032918171126076,0.0099608819532266,other
43,-0.8767317090989237,0.1802082473286697,interface
44,0.0001388070308725706,0.0008482233879893,other
45,3.4879154590011144e-05,0.0008789890230815,other
46,0.0001571663627189471,0.0002878661236287,other
47,0.8391564207736394,0.4325323997474286,interface
48,-0.42894210945339273,0.1398732591899634,interface
49,-0.10967704457133663,0.0339869464553966,interface
50,4.454760511185134e-06,0.0001800392623878,other
51,-0.38522035853779035,0.1185580782876723,other
52,0.9500371482962571,0.1542126536654759,interface
53,9.866577555027109e-05,0.03579652780599,interface
54,-0.021072004894792846,0.0319660617315964,other
55,0.4679384618893405,0.1260888886200453,interface
56,-0.1629006173377483,0.0134989812901796,interface
57,3.636113376258804e-05,0.0014593369292889,other
58,-0.008121481625754053,0.0161939274981299,other
59,-0.026008464037677953,0.0049485826150819,other
60,-0.0004796217751420135,0.0132573880032988,interface
61,0.003906978111250405,0.0132646876183615,immune_core
62,0.00043909851899668234,0.0020435575141564,other
63,0.007665118726293329,0.0241832030220248,interface
64,-0.010948421898266843,0.0080745166259449,other
65,-0.015374600381213993,0.0325880826863944,interface
66,-0.07904150833478119,0.0443796823859473,other
67,0.4307891515872102,0.1002939677185497,interface
68,0.1131953973870364,0.0320288658447493,interface
69,-0.004248532832643369,0.0137576821322951,other
70,-0.12233932546306094,0.0246953536606916,interface
71,0.0011845526368769134,0.0018241093322402,interface
72,0.0022625033565498724,0.0023838832782179,other
73,0.047211766933252734,0.0084552873325069,immune_core
74,0.0059144058818154065,0.0052898131935041,interface
75,0.00010299013243847452,0.0006340692650607,other
76,-0.002194058540864661,0.0755430080229055,interface
77,1.86383358472133e-05,6.137074431354446e-05,other
78,0.00034150850480599103,0.0015802172210492,other
79,-0.5209903684128983,0.1779784857989469,interface
80,0.020037376642096025,0.0128471989828956,interface
81,0.0027575323675046804,0.0019772434266102,other
82,8.69421227564106e-06,0.0003351296954631,other
83,9.712284458878257e-06,0.0002262865906039,other
84,0.0002468511879142529,0.0035681914321527,other
85,-0.4267274508603298,0.1288399309475676,interface
86,0.191060355023136,0.0567545293351572,interface
87,0.06118261859652348,0.0605697221657095,other
88,0.20851135802401438,0.0764622695359049,interface
89,0.002251082603302366,0.0173354389437044,other
90,-6.982668874962998,0.4894500537125405,interface
91,-1.1875973728417408,0.0269843426994558,other
92,-0.007051297412143602,0.0063029072567909,other
93,-25.73965627764886,1.238753609999512,interface
94,-0.0002658236604098814,0.0019155091419783,other
95,0.16109753348266864,0.0951477331047511,interface
96,-0.18399727897813956,0.0146399060387654,interface
97,0.006222122658064381,0.0111448220799986,interface
98,2.4713241703154103e-05,0.0001677990436124,other
99,0.0007755236425101671,0.0032244992183663,other
100,3.604860587975179,0.45833534468455,interface
101,2.295999884974776,0.3534497181741586,interface
102,7.130396064454754e-05,0.0027416299161925,other
103,-0.00015633937675296937,0.0026103878064545,other
104,-160.9952108094779,3.0296661330706187,interface
105,7.628487170838658e-05,0.0016908860658248,other
106,17.367321047456798,0.518075088092134,interface
107,16.815170672502113,0.3897355958872546,interface
108,1.277006880908259e-05,4.5534293655728526e-05,other
109,-0.0183201217484687,0.0227221205259686,tumor_core
110,-0.0054772890239047,0.0097840417454628,immune_core
111,-0.02985064262308087,0.0040713513669287,interface
112,-0.015365273370950595,0.0023888559412011,tumor_core
113,-0.07419668450616032,0.012747480117635,interface
114,-0.0034176750917507387,0.0117497630229527,other
115,0.004080260069149006,0.006886191516293,tumor_core
116,-0.0015054681255289438,0.0095719218083209,other
117,4.1384871557099924e-05,0.0085024206153811,interface
118,-0.001181118618069649,0.0287504273193096,interface
119,-1.336536809688543,0.0148348105173705,interface
120,0.30453120207546275,0.05031909666408,interface
121,0.02641682932191545,0.0336948772256456,interface
122,-0.4748570219435071,0.0210516547111295,interface
123,-0.0009288034831601359,0.0165788418715359,immune_core
124,0.001709771052081561,0.016834193286436,tumor_core
125,-0.019323139306913848,0.0111367439414497,immune_core
126,-2.2879426053842406e-05,0.0007755764922413,other
127,0.29023213563867245,0.042256837178816,interface
128,-0.771684346603706,0.172192185605231,interface
129,0.0006613311492616459,0.0030419415046441,other
130,-0.007366613880007177,0.0068482974057973,other
131,0.031442104610419117,0.0228025603613533,other
132,-0.10003550828009025,0.0242078238228032,other
133,-0.02562690191250556,0.0042463189925982,other
134,-0.027047168295115387,0.0321737275304393,interface
135,6.887431084742646e-05,0.0013085099572579,other
136,0.0017603679306888147,0.0020219649034951,other
137,2.991306929395656e-07,0.0003597458371415,other
138,9.825320696770553e-06,0.0001581485662193,other
139,0.0070588980964391874,0.0105640026299166,other
140,-0.001769710466028326,0.0064453339132504,other
141,0.12481538260750538,0.041382200584503,interface
142,0.028237056441383454,0.0362430488491924,interface
143,-0.0022887330933225895,0.0043395247927121,other
144,0.004840862753349583,0.0307073389137118,immune_core
145,-0.04661623182860789,0.0281466429611383,interface
146,9.330980223180696,0.448952812286967,interface
147,-0.0014010707978201107,0.0124420892666392,other
148,0.00010811013460657695,0.0004403213110672,other
