i,j,flux_wedge,abs_flux,region_i,region_j,flux_exact,flux_coexact
0,1521,0.3093794849730058,0.3093794849730058,interface,interface,0.19458139607741234,0.11479808889559348
0,3211,0.0577090378699237,0.0577090378699237,interface,interface,0.14131721113010473,-0.08360817326018102
0,3618,0.2755482576772283,0.2755482576772283,interface,interface,0.2174117389788083,0.05813651869841999
0,1242,0.4252766596752105,0.4252766596752105,interface,interface,0.6527651677016981,-0.22748850802648762
0,4623,0.8292447379302639,0.8292447379302639,interface,interface,0.3490900252893707,0.48015471264089316
0,923,-0.323630221891004,0.323630221891004,interface,interface,0.018362551251964593,-0.3419927731429686
1,2781,0.1423414961636578,0.1423414961636578,interface,other,0.08999875297678339,0.0523427431868744
1,1371,-0.2264796845495149,0.2264796845495149,interface,interface,-0.283775940970063,0.057296256420548086
1,515,-0.2627929887620358,0.2627929887620358,interface,other,-0.15941840431566368,-0.1033745844463721
1,4705,-0.5250285818865392,0.5250285818865392,interface,interface,-0.15001988013851958,-0.37500870174801965
1,631,-0.1741818531311332,0.1741818531311332,interface,interface,-0.14425749412788008,-0.02992435900325313
1,3078,0.3168231470777105,0.3168231470777105,interface,interface,-0.08184565311978065,0.3986688001974911
2,896,0.0741716706199753,0.0741716706199753,interface,interface,0.4419063448544097,-0.3677346742344344
2,3085,0.5092183121500122,0.5092183121500122,interface,other,0.6616578242024803,-0.15243951205246808
2,2116,-0.082667480272835,0.082667480272835,interface,interface,-0.12316334793227113,0.04049586765943612
2,3814,-0.0164753472591926,0.0164753472591926,interface,interface,-0.21027912872541932,0.19380378146622673
2,2875,1.1042701362208829,1.1042701362208829,interface,interface,1.2097559245935163,-0.10548578837263345
2,1953,0.0916930777343307,0.0916930777343307,interface,interface,-0.299668078295239,0.3913611560295697
3,3007,0.5679411821123334,0.5679411821123334,immune_core,other,0.484804967285281,0.08313621482705236
3,2417,-0.4812047997578897,0.4812047997578897,immune_core,interface,-0.17000314789658874,-0.311201651861301
3,764,0.3091296096504818,0.3091296096504818,immune_core,other,0.17118655934036495,0.13794305031011686
3,4401,0.2379100349051712,0.2379100349051712,immune_core,other,0.3382336093122703,-0.1003235744070991
3,2242,0.0667813057247491,0.0667813057247491,immune_core,other,-0.01055685568255263,0.07733816140730172
3,4013,0.4709271295053703,0.4709271295053703,immune_core,other,0.3578194965085981,0.11310763299677218
4,4765,0.0955535660904315,0.0955535660904315,interface,interface,0.0061384931811796495,0.08941507290925185
4,1376,0.1206815066853052,0.1206815066853052,interface,interface,0.123679092415522,-0.0029975857302168007
4,3941,0.3021264406543397,0.3021264406543397,interface,interface,0.36198174867479177,-0.05985530802045208
4,2732,0.0949981949548978,0.0949981949548978,interface,interface,0.35623785604540836,-0.26123966109051056
4,3937,0.0912613400867293,0.0912613400867293,interface,interface,-0.10630824157434737,0.1975695816610767
4,2944,0.612638930375481,0.612638930375481,interface,interface,0.5755303233990781,0.03710860697640295
5,1687,-0.224962163316668,0.224962163316668,other,other,-0.1977946483157339,-0.02716751500093409
5,1564,-0.0646448392683118,0.0646448392683118,other,other,-0.19991373109321375,0.13526889182490195
5,2364,0.0846732876417317,0.0846732876417317,other,other,0.0768967143195098,0.007776573322221897
5,2508,-0.1002014932285912,0.1002014932285912,other,interface,-0.1337095032351572,0.033508010006566
5,3782,-0.1706173088977998,0.1706173088977998,other,immune_core,-0.19379549899279014,0.023178190094990336
5,580,-0.4285002755419014,0.4285002755419014,other,interface,-0.2559360535726052,-0.17256422196929622
6,1829,0.1000782011060179,0.1000782011060179,immune_core,other,0.1759663519699838,-0.07588815086396591
6,1708,0.2036045549636743,0.2036045549636743,immune_core,other,0.07626097744140267,0.12734357752227163
6,4651,0.2424350958897255,0.2424350958897255,immune_core,other,0.17530770178057584,0.06712739410914967
