i,j,flux_wedge,abs_flux,region_i,region_j,flux_exact,flux_coexact
0,2587,-0.05791271641483,0.05791271641483,other,other,-0.06394417485700413,0.006031458442174127
0,1242,-0.0589120466941367,0.0589120466941367,other,other,-0.109422247686741,0.050510200992604296
0,2914,-0.148876911397261,0.148876911397261,other,other,-0.1534832775278928,0.004606366130631784
0,1006,-0.1041510792177839,0.1041510792177839,other,other,-0.05553322705432712,-0.04861785216345678
0,3736,-0.2162322185860972,0.2162322185860972,other,other,-0.20375259697273213,-0.012479621613365077
0,3426,-0.0632013428358399,0.0632013428358399,other,other,-0.0631508267972454,-5.051603859450304e-05
1,411,-0.0634564802135558,0.0634564802135558,interface,interface,-0.010283446593009282,-0.05317303362054651
1,1118,0.000817281534947,0.000817281534947,interface,interface,0.04360399819728178,-0.04278671666233478
1,505,-0.01793475327222,0.01793475327222,interface,interface,0.17989677448701075,-0.19783152775923074
1,3804,-0.0845388229435684,0.0845388229435684,interface,other,-0.19033231255571104,0.10579348961214263
1,2484,0.0820499140878653,0.0820499140878653,interface,immune_core,-0.10632114055126768,0.18837105463913298
1,2255,-0.1164498756537717,0.1164498756537717,interface,interface,-0.1160764483789648,-0.0003734272748068951
2,3065,-0.0120435438212779,0.0120435438212779,other,other,-0.009859132209315072,-0.0021844116119628283
2,1719,0.0970996577235251,0.0970996577235251,other,other,0.08275113729660369,0.014348520426921418
2,1589,-0.0144655802206144,0.0144655802206144,other,other,-0.013494642384318925,-0.0009709378362954754
2,722,-0.2052937567983674,0.2052937567983674,other,other,-0.21239772186989453,0.007103965071527135
2,2489,-0.0164091773764192,0.0164091773764192,other,other,-0.019898754111865008,0.0034895767354458096
2,2330,-0.057144483896215,0.057144483896215,other,other,-0.035357853599341044,-0.021786630296873957
3,2431,0.0283095484863719,0.0283095484863719,tumor_core,other,-0.04371675086988214,0.07202629935625404
3,613,-0.1696978186751568,0.1696978186751568,tumor_core,other,-0.02973366104974806,-0.13996415762540873
3,1820,-0.2641555042226794,0.2641555042226794,tumor_core,other,-0.13602214701585813,-0.12813335720682129
3,1955,0.1187154855770597,0.1187154855770597,tumor_core,other,-0.024429017411515153,0.14314450298857484
3,3555,0.1256443923558955,0.1256443923558955,tumor_core,tumor_core,0.055949412680161736,0.06969497967573376
3,3233,0.0482138056451737,0.0482138056451737,tumor_core,interface,0.06498138723975011,-0.016767581594576413
4,3853,-0.116477273661925,0.116477273661925,other,other,-0.07210116746421597,-0.04437610619770903
4,1123,-0.0859929452499306,0.0859929452499306,other,other,-0.007634393187789808,-0.07835855206214079
4,2215,0.110339172984562,0.110339172984562,other,other,0.08017165326899095,0.03016751971557105
4,3174,-0.1507370614778806,0.1507370614778806,other,other,-0.12908330418939856,-0.02165375728848204
4,2387,0.0654377517683336,0.0654377517683336,other,other,0.038042931435641976,0.027394820332691618
4,3177,0.3490207995348894,0.3490207995348894,other,other,0.2621947334017377,0.08682606613315169
5,1378,-0.1128832667813727,0.1128832667813727,interface,interface,-0.05738686075329058,-0.05549640602808212
5,2037,-0.0060871423571589,0.0060871423571589,interface,interface,-0.0793034984559251,0.0732163560987662
5,1281,-0.0325758889896757,0.0325758889896757,interface,interface,0.0657381873691586,-0.0983140763588343
5,1912,0.4902822696635381,0.4902822696635381,interface,interface,0.33840350931354957,0.15187876034998854
5,464,0.1774032650084732,0.1774032650084732,interface,tumor_core,0.09630965857289742,0.08109360643557578
5,3042,0.2785433155435508,0.2785433155435508,interface,other,0.4309211993981626,-0.15237788385461182
6,1395,0.960328077508328,0.960328077508328,interface,interface,0.6826779439806823,0.2776501335276458
6,3758,-0.0975687961115701,0.0975687961115701,interface,interface,0.06066696746222322,-0.15823576357379332
6,1490,0.0451383852845583,0.0451383852845583,interface,interface,0.1597007788551162,-0.11456239357055789
6,1502,0.0429787471069289,0.0429787471069289,interface,interface,0.12171692570059905,-0.07873817859367016
6,2125,0.748100243192222,0.748100243192222,interface,tumor_core,0.700813903001559,0.04728634019066302
6,287,0.7758995956081859,0.7758995956081859,interface,tumor_core,0.7492991241580595,0.02660047145012634
7,3389,-0.5562144844267967,0.5562144844267967,interface,interface,-0.664888592949535,0.10867410852273829
7,765,0.1971585665328077,0.1971585665328077,interface,interface,0.12066671534133705,0.07649185119147064
7,3161,0.2462478037481605,0.2462478037481605,interface,immune_core,-0.049009605478034735,0.29525740922619526
7,1405,0.2503089571916351,0.2503089571916351,interface,interface,0.5110047696526092,-0.2606958124609741
7,2304,-0.432992613368933,0.432992613368933,interface,interface,-0.27656246838722315,-0.15643014498170987
7,1446,0.251969277728448,0.251969277728448,interface,other,0.3152661893745705,-0.0632969116461225
8,1571,-0.0197547158570871,0.0197547158570871,immune_core,interface,0.033763147342747685,-0.053517863199834786
8,3371,0.1470906402029987,0.1470906402029987,immune_core,other,-0.0001746167026128731,0.14726525690561157
8,2224,0.127616485993895,0.127616485993895,immune_core,other,0.05190481970184038,0.07571166629205461
8,3842,0.0769139515696135,0.0769139515696135,immune_core,other,0.14031821064268596,-0.06340425907307246
8,2808,0.06499381329584,0.06499381329584,immune_core,other,0.004732798153875006,0.060261015141964996
8,3830,0.1395993825658928,0.1395993825658928,immune_core,interface,0.30591533151006506,-0.16631594894417226
9,544,0.1054496586678801,0.1054496586678801,interface,interface,-0.05302376686463017,0.15847342553251026
9,811,0.3072279628074059,0.3072279628074059,interface,interface,0.1701298327709249,0.137098130036481
9,1602,0.230657250162546,0.230657250162546,interface,interface,0.28847369860238353,-0.05781644843983752
9,2216,0.3063976211402282,0.3063976211402282,interface,interface,0.5110804114408751,-0.2046827903006469
9,1570,0.154383499338283,0.154383499338283,interface,other,0.2360890025209054,-0.0817055031826224
9,3862,0.2650069335299364,0.2650069335299364,interface,interface,0.21637336267937304,0.04863357085056333
10,2376,-0.1686952251710539,0.1686952251710539,tumor_core,other,-0.09706751440550791,-0.07162771076554598
10,1257,-0.0863798361974455,0.0863798361974455,tumor_core,tumor_core,-0.25983566181351736,0.17345582561607187
10,119,-0.3043325844370319,0.3043325844370319,tumor_core,interface,-0.44283581711561343,0.1385032326785815
10,1124,-0.4301587416941126,0.4301587416941126,tumor_core,interface,-0.23116646285233186,-0.19899227884178075
10,2338,-0.3542467193642117,0.3542467193642117,tumor_core,interface,-0.2832893185780728,-0.07095740078613888
10,3852,-0.4153428732127308,0.4153428732127308,tumor_core,interface,-0.4449611046381274,0.0296182314253966
11,1135,-0.0307023050489084,0.0307023050489084,other,other,-0.0121171086638798,-0.0185851963850286
11,673,-0.0184592423689217,0.0184592423689217,other,other,-0.0002979046135014318,-0.018161337755420268
11,2311,0.1175877299635939,0.1175877299635939,other,other,0.05406549300180796,0.06352223696178594
11,3430,-0.0263964916499635,0.0263964916499635,other,other,-0.05351476113184137,0.02711826948187787
11,2513,-0.2873144377172709,0.2873144377172709,other,immune_core,-0.26853749332689786,-0.01877694439037303
11,950,-0.0185190625251181,0.0185190625251181,other,other,0.016598071650492346,-0.03511713417561045
12,642,0.0682975060666786,0.0682975060666786,other,immune_core,-0.01608226006733207,0.08437976613401067
12,3636,-0.1170143230571184,0.1170143230571184,other,other,-0.03124159310096908,-0.08577272995614932
12,1276,-0.0679471093441332,0.0679471093441332,other,other,-0.04743478373334664,-0.020512325610786558
12,2594,-0.0369052011805424,0.0369052011805424,other,interface,-0.027023585521406407,-0.009881615659135992
12,1368,0.0843448712213377,0.0843448712213377,other,other,0.015934229350075657,0.06841064187126204
12,3081,-0.0685781544435644,0.0685781544435644,other,other,-0.03195457049521486,-0.03662358394834954
13,3485,-0.0593141892011103,0.0593141892011103,other,other,-0.02410054168145219,-0.03521364751965811
13,1365,-0.0389156943747111,0.0389156943747111,other,other,-0.06969527172937487,0.030779577354663766
13,3450,-0.140870845342249,0.140870845342249,other,other,-0.1615380560057266,0.020667210663477598
13,1886,0.0074194493930432,0.0074194493930432,other,other,0.008220205517426887,-0.0008007561243836871
13,351,-0.13048636127132,0.13048636127132,other,interface,-0.08722782239256471,-0.043258538878755276
13,2205,-0.0615101174513563,0.0615101174513563,other,other,-0.08933614557502392,0.02782602812366762
14,1393,-0.1779192110734914,0.1779192110734914,interface,interface,-0.18863307765498538,0.01071386658149398
14,457,-0.1068046236277293,0.1068046236277293,interface,interface,-0.0759731628609317,-0.030831460766797603
14,44,-0.2721419114966828,0.2721419114966828,interface,interface,-0.10745817019748682,-0.164683741299196
14,1483,-0.0508451328613205,0.0508451328613205,interface,interface,-0.12268984020855012,0.07184470734722961
14,226,0.1123490682385245,0.1123490682385245,interface,interface,0.03435015175501266,0.07799891648351184
14,2138,-0.1566503356591145,0.1566503356591145,interface,interface,-0.19160852975820541,0.03495819409909093
15,727,0.0382719837851293,0.0382719837851293,interface,immune_core,0.1396969455732175,-0.10142496178808819
15,2365,-0.0791208209368643,0.0791208209368643,interface,other,0.21744194368039493,-0.2965627646172592
15,138,0.0792798207841121,0.0792798207841121,interface,interface,0.012937808041911442,0.06634201274220065
15,136,-0.0343027312448902,0.0343027312448902,interface,interface,-0.07955299698008643,0.04525026573519623
15,3697,-0.0155663305549318,0.0155663305549318,interface,interface,0.049802929173766775,-0.06536925972869857
15,431,0.252618065752641,0.252618065752641,interface,interface,-0.0991464827440467,0.3517645484966877
16,1174,0.0060315973125553,0.0060315973125553,immune_core,immune_core,-0.08873438127078787,0.09476597858334317
16,1561,0.377678722097647,0.377678722097647,immune_core,interface,0.27135279074574004,0.10632593135190699
16,1824,-0.0166274628231311,0.0166274628231311,immune_core,other,0.20573132525823123,-0.22235878808136234
16,2756,0.0226025472683853,0.0226025472683853,immune_core,interface,0.13174292388236541,-0.10914037661398011
16,3675,0.453885717702823,0.453885717702823,immune_core,interface,0.32552333327315613,0.12836238442966685
16,2694,0.5008412986762871,0.5008412986762871,immune_core,other,0.49879614071548783,0.002045157960799293
17,2060,-0.2867397308935822,0.2867397308935822,other,other,-0.23456756366400533,-0.05217216722957685
17,3721,0.097099657723525,0.097099657723525,other,other,0.0746719794892493,0.022427678234275703
17,3115,0.0429312347700417,0.0429312347700417,other,other,0.037698331757311854,0.005232903012729849
17,1922,0.0386254213710968,0.0386254213710968,other,other,0.038644932343218474,-1.9510972121675185e-05
17,3479,0.0858362465947328,0.0858362465947328,other,other,0.06854561737854994,0.01729062921618285
17,1421,0.0645639332892583,0.0645639332892583,other,other,0.057323363260015726,0.007240570029242575
18,2479,0.075705584893209,0.075705584893209,immune_core,other,0.192771383168314,-0.11706579827510499
18,845,0.488846450042927,0.488846450042927,immune_core,other,0.18587142338577423,0.30297502665715276
18,2003,0.2211558431652513,0.2211558431652513,immune_core,other,0.15784540966650365,0.06331043349874765
18,231,-0.3942689476201187,0.3942689476201187,immune_core,immune_core,-0.1347348562265392,-0.2595340913935795
18,3441,0.2304572924191698,0.2304572924191698,immune_core,other,0.20311486233331258,0.02734243008585721
18,3564,-0.1241012804685906,0.1241012804685906,immune_core,other,-0.10707326136934342,-0.017028019099247185
19,2607,-0.066422818369547,0.066422818369547,other,other,-0.03911538918248203,-0.02730742918706497
19,2444,-0.0974513795221676,0.0974513795221676,other,other,-0.08859806203656968,-0.008853317485597922
19,1180,-0.2240913977989174,0.2240913977989174,other,interface,-0.11933472084263091,-0.10475667695628649
19,61,0.1474051251110651,0.1474051251110651,other,interface,0.04043216245569986,0.10697296265536524
19,2554,-0.1397806955267652,0.1397806955267652,other,interface,-0.15549117266090118,0.01571047713413598
19,993,0.0386254213710968,0.0386254213710968,other,interface,0.02039159383693795,0.01823382753415885
20,255,-0.1165509451449554,0.1165509451449554,interface,interface,-0.14520875063589012,0.028657805490934718
20,120,-0.2375113595199097,0.2375113595199097,interface,other,-0.16835253668547526,-0.06915882283443445
20,3293,-0.4256960121444886,0.4256960121444886,interface,other,-0.31453993955328596,-0.11115607259120264
20,1748,-0.4062330189301673,0.4062330189301673,interface,interface,-0.2288885429459664,-0.1773444759842009
20,2703,0.2307224841223944,0.2307224841223944,interface,other,-0.06648782341728621,0.2972103075396806
20,190,0.069209992287395,0.069209992287395,interface,interface,0.03741906058479588,0.03179093170259911
21,3537,-0.0395801833264981,0.0395801833264981,interface,interface,0.21460453196270582,-0.25418471528920394
21,2234,0.0584431322659853,0.0584431322659853,interface,interface,0.28050143752646084,-0.22205830526047554
21,2453,0.0478343777564081,0.0478343777564081,interface,interface,0.10317946075227621,-0.055345082995868114
21,2508,-0.0375137655836527,0.0375137655836527,interface,other,0.10069702892472918,-0.13821079450838186
21,2041,0.2290079664572903,0.2290079664572903,interface,interface,0.08188132594498346,0.14712664051230684
21,1995,0.6782686208225401,0.6782686208225401,interface,interface,0.15559653260360387,0.5226720882189363
22,827,0.007794396852867,0.007794396852867,other,other,-0.03408175307801525,0.041876149930882255
22,3716,-0.1702260087955652,0.1702260087955652,other,other,-0.13543762248248473,-0.03478838631308048
22,3664,-0.6087464275612289,0.6087464275612289,other,immune_core,-0.5756028680437967,-0.0331435595174322
22,2854,-0.1022454239711521,0.1022454239711521,other,other,0.034733435773956906,-0.136978859745109
