i,j,flux_wedge,abs_flux,region_i,region_j,flux_exact,flux_coexact
0,561,-0.1710499196844421,0.1710499196844421,other,other,-0.06865032320607323,-0.10239959647836888
0,265,-0.0789543863643953,0.0789543863643953,other,other,-0.115332832354126,0.03637844598973071
0,208,-0.2006171478342759,0.2006171478342759,other,other,-0.022074363958194898,-0.178542783876081
0,1288,-0.0544437274416985,0.0544437274416985,other,other,0.025874804043287736,-0.08031853148498624
0,1994,-0.2030874956659899,0.2030874956659899,other,other,0.006642117527876523,-0.20972961319386643
0,1155,-0.1538839979421551,0.1538839979421551,other,other,-0.6884963368763,0.5346123389341448
1,979,-0.1974081601514012,0.1974081601514012,other,other,0.00045098433111567804,-0.19785914448251687
1,1585,-0.0667371058825556,0.0667371058825556,other,other,-0.11583552518799256,0.04909841930543696
1,697,-0.1534786858630731,0.1534786858630731,other,other,-0.11330609474915154,-0.040172591113921546
1,647,-0.0588136570995611,0.0588136570995611,other,other,-0.16358896808420004,0.10477531098463894
1,237,-0.1891030701156868,0.1891030701156868,other,other,-0.2511611965412212,0.062058126425534405
1,1040,-0.1723338434153941,0.1723338434153941,other,other,-0.19443318283948274,0.02209933942408865
2,756,0.110117575530015,0.110117575530015,other,other,0.003916725119979092,0.10620085041003591
2,706,-0.1495656843087852,0.1495656843087852,other,other,0.20116848911699914,-0.35073417342578433
2,762,-0.7359325935644412,0.7359325935644412,other,immune_core,-0.6531106270283376,-0.08282196653610363
2,1086,0.2405783011085359,0.2405783011085359,other,other,0.0894930458702684,0.1510852552382675
2,143,0.0031308058948864,0.0031308058948864,other,other,-0.1294470191563658,0.1325778250512522
2,1971,-0.1815178695872287,0.1815178695872287,other,interface,-0.22520921972672003,0.043691350139491325
3,805,0.1542155906292259,0.1542155906292259,other,other,0.20934344582600295,-0.05512785519677704
3,1763,-0.0593831307802418,0.0593831307802418,other,other,-0.09248273756585401,0.03309960678561221
3,1457,0.0913746850530786,0.0913746850530786,other,other,-0.0055469237693124285,0.09692160882239102
3,1141,-0.0455039153524408,0.0455039153524408,other,immune_core,-0.1226912401514969,0.0771873247990561
3,2011,0.1231175938301734,0.1231175938301734,other,other,0.15172331074467116,-0.02860571691449776
3,2020,0.1342246862721962,0.1342246862721962,other,other,0.25769939934289116,-0.12347471307069496
4,1539,0.0626856854413487,0.0626856854413487,other,other,0.09313185277973812,-0.030446167338389424
4,494,0.3624655835186168,0.3624655835186168,other,other,0.3526464282131869,0.009819155305429872
4,1904,0.6014850156091924,0.6014850156091924,other,other,0.6284755535546673,-0.0269905379454749
4,1466,0.9697355492191672,0.9697355492191672,other,other,0.9271380571493254,0.04259749206984176
4,1285,-0.8287541712369028,0.8287541712369028,other,immune_core,-0.7586749796049707,-0.0700791916319321
4,252,0.2898793548505527,0.2898793548505527,other,other,0.2147792031266592,0.0751001517238935
5,283,-0.1585274806952162,0.1585274806952162,interface,interface,-0.2631425512617245,0.10461507056650829
5,804,0.5116575712147112,0.5116575712147112,interface,interface,0.1961862390342023,0.31547133218050893
5,820,0.0543868620225879,0.0543868620225879,interface,interface,0.0926787829361605,-0.0382919209135726
5,1136,-0.1029540889927175,0.1029540889927175,interface,interface,0.26858030750609185,-0.37153439649880937
5,2027,0.1669776154656738,0.1669776154656738,interface,interface,0.0604499988616104,0.1065276166040634
5,423,-0.2663391501752919,0.2663391501752919,interface,interface,-0.14955097523284427,-0.11678817494244764
6,332,-0.3750604582516256,0.3750604582516256,immune_core,immune_core,-0.9000051551449642,0.5249446968933386
6,1900,-0.8915181142312629,0.8915181142312629,immune_core,immune_core,-1.345243576374732,0.453725462143469
6,642,-0.0093511712024487,0.0093511712024487,immune_core,immune_core,0.6351537853538494,-0.644504956556298
6,692,-0.6820110338609302,0.6820110338609302,immune_core,immune_core,-0.5942221184722973,-0.08778891538863287
6,1345,-0.6168417975457435,0.6168417975457435,immune_core,immune_core,-0.8240674097026803,0.2072256121569368
6,1608,-0.5703521843317589,0.5703521843317589,immune_core,immune_core,-0.11674909621840301,-0.4536030881133559
7,380,0.0783008124095406,0.0783008124095406,tumor_core,interface,-0.030332148191197644,0.10863296060073824
7,63,0.250974556327193,0.250974556327193,tumor_core,tumor_core,0.31934900278901257,-0.06837444646181956
7,1216,0.3393664865485675,0.3393664865485675,tumor_core,tumor_core,0.33458605814036213,0.004780428408205362
7,61,0.2915193907754594,0.2915193907754594,tumor_core,interface,0.18911027015676177,0.10240912061869764
7,1936,0.1994735143001264,0.1994735143001264,tumor_core,interface,0.22918460707486127,-0.029711092774734882
7,218,0.1856212419490414,0.1856212419490414,tumor_core,other,0.30335797882712356,-0.11773673687808217
8,833,-0.0371456414970803,0.0371456414970803,other,tumor_core,0.04900640849536696,-0.08615204999244726
8,1400,-0.0136714941017136,0.0136714941017136,other,other,-0.18461546011208008,0.1709439660103665
8,1283,-0.0786267978184334,0.0786267978184334,other,other,-0.061977428174038764,-0.01664936964439464
8,1812,0.0166345239219265,0.0166345239219265,other,tumor_core,0.10200467967818534,-0.08537015575625884
8,1550,-0.0183313447294773,0.0183313447294773,other,other,-0.031078895129439996,0.012747550399962695
8,1387,-0.1676122595690989,0.1676122595690989,other,other,-0.17209222350852327,0.004479963939424375
9,914,0.1403399046956892,0.1403399046956892,interface,interface,0.14046653457499736,-0.00012662987930817104
9,179,0.1845022081295299,0.1845022081295299,interface,interface,0.0641072549193179,0.12039495321021199
9,34,-0.1200914304232593,0.1200914304232593,interface,tumor_core,-0.08409460393712903,-0.03599682648613027
9,329,-0.2633501516022609,0.2633501516022609,interface,interface,-0.06050461851725847,-0.20284553308500242
9,684,0.0464417751731533,0.0464417751731533,interface,interface,0.03317772931122198,0.01326404586193132
9,317,-0.0131454354834681,0.0131454354834681,interface,interface,-0.11845492248912476,0.10530948700565666
10,1408,-0.2856612942114028,0.2856612942114028,other,immune_core,-0.21755846842833998,-0.06810282578306281
10,855,-0.207880887043963,0.207880887043963,other,immune_core,-0.13356700811104344,-0.07431387893291955
10,643,-0.0062544157927442,0.0062544157927442,other,other,-0.04676042907538602,0.04050601328264182
10,107,-0.0751180083344227,0.0751180083344227,other,immune_core,-0.18587010644598492,0.11075209811156222
10,1159,-0.0595026758141721,0.0595026758141721,other,other,-0.0917463021879727,0.03224362637380059
10,1512,-0.2826195016592728,0.2826195016592728,other,immune_core,-0.2415340467525919,-0.04108545490668089
11,1639,0.0411922220838068,0.0411922220838068,interface,interface,0.01404109972714587,0.027151122356660933
11,2042,0.0948375569778532,0.0948375569778532,interface,interface,-0.004906340244928612,0.09974389722278182
11,1378,0.1316197801798892,0.1316197801798892,interface,interface,0.1419469150559799,-0.010327134876090688
11,431,0.1498399157042183,0.1498399157042183,interface,interface,0.20837915705402957,-0.058539241349811255
11,1623,0.0250416030241349,0.0250416030241349,interface,interface,-0.05421029711832531,0.07925190014246021
11,186,0.1279980810686806,0.1279980810686806,interface,interface,0.2652786319849418,-0.13728055091626118
12,264,0.0476803776610657,0.0476803776610657,other,other,0.2069163412740737,-0.159235963613008
12,523,-0.1912201980512843,0.1912201980512843,other,interface,-0.07050924591355101,-0.12071095213773328
12,160,-0.1857264620023566,0.1857264620023566,other,immune_core,-0.3306972462985004,0.1449707842961438
12,1932,-0.0832643950660173,0.0832643950660173,other,immune_core,-0.2867873712752357,0.2035229762092184
12,1875,-0.0305950720999205,0.0305950720999205,other,interface,0.16233225503092652,-0.192927327130847
12,771,0.0380026826222304,0.0380026826222304,other,other,-0.08637845951257306,0.12438114213480346
13,332,0.1399675994986662,0.1399675994986662,immune_core,immune_core,0.3426659607621922,-0.202698361263526
13,1324,0.173809733725251,0.173809733725251,immune_core,other,0.3607817025270759,-0.18697196880182493
13,1153,0.5889719247414468,0.5889719247414468,immune_core,immune_core,0.42928708447927716,0.15968484026216961
13,1432,0.5478440510807165,0.5478440510807165,immune_core,other,0.6279842674356103,-0.08014021635489377
13,1561,0.5755457449160833,0.5755457449160833,immune_core,immune_core,0.29788118363557864,0.2776645612805047
13,1889,1.1257047919496448,1.1257047919496448,immune_core,other,1.0932435932655022,0.032461198684142545
14,1510,-0.0908861767779942,0.0908861767779942,other,other,-0.08444378838767624,-0.006442388390317952
14,1358,-0.1241278387016272,0.1241278387016272,other,other,-0.12640563027805668,0.002277791576429475
14,1495,-0.06766263318679,0.06766263318679,other,other,-0.07662203958232644,0.00895940639553644
14,1669,-0.2661101599274416,0.2661101599274416,other,other,-0.2635117094799239,-0.002598450447517664
14,615,-0.6310870339738254,0.6310870339738254,other,other,-0.6012701269394889,-0.02981690703433648
14,68,0.1693991006862808,0.1693991006862808,other,other,0.14177815589598747,0.02762094479029334
15,79,-0.2699643150517559,0.2699643150517559,tumor_core,other,-0.20484467408941726,-0.06511964096233863
15,1895,-0.0517883038189462,0.0517883038189462,tumor_core,other,-0.08826488090107817,0.03647657708213197
15,759,0.1052137681129608,0.1052137681129608,tumor_core,interface,-0.06699860148938797,0.17221236960234876
