sample_id,rho_exhaustion,p_exhaustion,rho_cytotoxic,p_cytotoxic,rho_stromal,p_stromal,rho_myeloid_suppressive,p_myeloid_suppressive,rho_ifn_signaling,p_ifn_signaling,rho_hypoxia_control,p_hypoxia_control,n_iface
Breast6,0.3451212089509589,1.0801627700427782e-06,0.2786831361802179,9.882855547524642e-05,0.147993893984525,0.04157711774024418,0.3924234670445748,2.1466512882228618e-08,0.2224491006863474,0.0020371683365563447,0.12311844182883037,0.09058569381233256,190
Breast7,-0.0016834503487138702,0.9760697249931207,0.09256971418372902,0.09832918145643836,0.13884364105118213,0.01291721699169514,0.07843801847978597,0.16157065442837815,-0.005869615061179988,0.9167020418710864,-0.2671697860839943,1.2408373600642913e-06,320
Breast8,0.0884147680323032,0.17399478196689167,0.2760740024394134,1.553876710346815e-05,0.41195163516389033,3.640346892768191e-11,0.1057899564677309,0.10351914444690989,-0.04586574569923902,0.4812909989718313,0.03947307520894604,0.5445206610551995,238
Breast9,0.12034975500982258,0.049910116749473786,0.12281638258567151,0.04536829621688213,0.022627163626683842,0.7133602387225652,-0.028346988983247546,0.6453435246042026,-0.11150807827680567,0.06940971487034682,0.07229481550687628,0.23996346478383512,266
Colorectal5,0.09471182983959703,0.531250329319884,0.2547109512776061,0.08758173080448875,0.24316990440949734,0.10343649244065149,0.04286154794942954,0.7773064854737075,0.04742522355843355,0.754297683159819,0.13166820844896698,0.3830735621702389,46
Colorectal6,0.06505496437944149,0.5639352697557574,0.1733778992740981,0.12164729381910834,0.17958446251129176,0.10866769203128882,0.05781701127539014,0.6081650002067662,0.010976229479412253,0.9225250351460572,-0.14751914003626532,0.1887655172144836,81
Colorectal7,0.19125818002222497,0.07095265181220685,0.37147796024200513,0.00031241350177912985,-0.14461867720294688,0.1738437546297265,0.12520887352348026,0.2396485981626734,0.1614108737704243,0.12854667562165448,0.2978063135366506,0.0043618761455364195,90
Colorectal8,0.01912601917727704,0.8150810429498053,0.2533881450802698,0.001634058623604169,-0.044515749834266226,0.5860516695703891,0.019354970988046664,0.8129078098223893,0.01688434174645808,0.8364312375907573,-0.029186230086318248,0.7211384683550824,152
Glioblstoma2,-0.15128636781650032,0.01110587529831495,0.3591708348773977,5.569906025566571e-10,0.26604536907448795,6.137238222069298e-06,0.01847289774519072,0.7578478448140321,-0.12986227554059646,0.029524689961681304,0.04884612716824011,0.4147018145316141,281
Glioblstoma3,0.05016404592093905,0.4047556966742778,0.19055360516869205,0.0014121936308240665,0.08119713615389276,0.17702982563143882,-0.030123892035783275,0.616993331944724,-0.058351442586223407,0.33236785075360065,-0.07932994468522073,0.18723125437945876,278
Glioblstoma4,-0.19176423663999553,0.0511615659585272,-0.07184595488608672,0.46859326743139706,-0.15586258401792386,0.11411742984428107,-0.31040221914008326,0.0013420426485976327,-0.006569551824689904,0.9472285350329858,-0.1832497599487891,0.06260281352278946,104
Glioblstoma5,-0.03430791506470619,0.5682366299961958,0.20687426923997757,0.000505805264310565,0.12718617732542076,0.033710182103195985,0.09075412481075049,0.13048063286984504,-0.06706226108990415,0.2642557429589691,-0.0330996032666954,0.5819482892168366,279
Lung1,0.053174116459644025,0.33482488952290657,0.2089311213548575,0.00012859613016470684,0.07415860717734273,0.17831944053244045,0.0743970826174613,0.17692369348458145,-0.07098251041953407,0.19769251790284958,0.01120484008508455,0.8390651639562434,331
Lung2,0.02623391207332813,0.665495988614426,0.40882766868168335,1.8320367739924864e-12,-0.2230601515273048,0.00019731415519749776,-0.18073984409750835,0.0026744804141624542,0.11268177078396056,0.06251511999861419,-0.003769952675062164,0.9504682632940519,274
Lung3,-0.0010205191454926842,0.9875314609064855,0.2255641402247921,0.00046637193689689783,-0.25320692533610745,8.084186402355543e-05,-0.17579318459477003,0.006664610579402877,0.0491147333096564,0.45170931983713497,-0.0573559610499424,0.37937999019371704,237
Lung4,-0.05118823823352381,0.5885955431999133,0.0956926753204674,0.3111630542919113,-0.04159089528361111,0.6603967053950391,-0.042887808838279945,0.6504921936030332,-0.18907272027702962,0.04393536976364251,-0.05759416769103227,0.5427458502439277,114
Lung5,0.08095400749267373,0.2911081061292482,0.30337566226688534,5.221555272579416e-05,-0.17158031521874992,0.024413235739244168,-0.04059449605328012,0.5969943438234995,0.19393523464529047,0.010798912012243578,0.13149522549484344,0.08553378056431864,172
Lung6,0.09224706518598863,0.11264008430315486,0.18200200761534566,0.001634458818149996,-0.05725539450371665,0.32542656079602916,0.2322238345728279,5.3321531262157455e-05,0.012742393944892011,0.8268983253812542,0.05770521028638617,0.32163379157440825,297
Lung7,-0.10371357237261324,0.21285009260540838,0.2654698177090598,0.0012019317463289297,-0.22041394734558917,0.007510003915629411,-0.08968803532923811,0.2816764939098023,0.12968100797239066,0.11874380240458143,0.10851879172663319,0.19229471241905347,146
Ovarian1,0.09783728778129323,0.2518697727175747,0.2811118535049247,0.0008017415602579978,0.0023682917020420927,0.9779256343178758,0.2432816479735466,0.0039037630813122727,0.165044509117507,0.052184151786389826,-0.016479735466285356,0.8473100159820494,139
Ovarian2,0.12386504897817115,0.10860832751345406,0.36653427561666957,9.52316785610196e-07,0.020001491720948738,0.7963178315865737,0.08490875640196908,0.2723769894157199,0.1273805380140222,0.09886381339231302,-0.13017254238973697,0.09162858305151073,169
Prostate5,0.1265913890091467,0.08178251740530758,0.2988024354368136,2.819215199669443e-05,0.20252463619782443,0.005074171778252522,0.21432626935021723,0.0029840870523484084,0.15473500505189677,0.03303517180822972,0.25008857221588005,0.0005015082929664285,190
Prostate6,0.0599947136548885,0.3629827595705147,0.27560975050119596,2.06220330583787e-05,0.26234746458218405,5.222061260001628e-05,0.2128471524847914,0.0011065305799450881,0.19314077515355474,0.003138818070162994,0.002341967637217008,0.9716976627515926,232
Prostate7,0.22545168197756893,0.002276908496521579,0.11206043048929759,0.13312072360828542,0.14077267115941147,0.05873054943078735,0.032982601034829855,0.6593713893102651,0.1670861357893775,0.02456546401293465,0.12443897579534093,0.0951074311766186,181
