node_id,x,y,region,tumor_score,immune_score,stroma_score,coexact_energy,exhaustion_score,state
0,14979.0,17734.0,other,0.240519117627825,0.0319715179715837,0.4050442777361189,3.2169399357938266e-11,0.01598575898579185,MIXED
1,17342.0,4969.0,stroma_enriched,0.1310080664498465,-0.0137225828851972,1.027436556134905,1.7955867288030933e-11,-0.0068612914425986,STROMA
2,17918.0,16956.0,tumor_enriched,0.679356858389718,-0.0028399317605155,0.0942966624668666,6.5129126417557476e-12,-0.00141996588025775,TUMOR
3,13648.0,19737.0,other,0.4010358374459403,0.0777963730267116,0.3048320933750696,5.9113603102041595e-12,0.0388981865133558,MIXED
4,15482.0,8510.0,stroma_enriched,0.3255996704101562,0.2609015233176095,1.25889349256243,8.84665975805899e-10,0.13045076165880476,STROMA
5,18980.0,14800.0,other,0.4446775817871093,0.0528951804978506,0.4586285509381974,1.9995564433723923e-10,0.0264475902489253,MIXED
6,10955.0,14213.0,interface_like,0.2980253492082869,0.2226261608941214,0.6740341731480188,1.0530316514425459e-09,0.1113130804470607,STROMA
7,18984.0,16030.0,tumor_enriched,0.5682395717075892,-0.1111134239605495,0.1711144801548549,1.574828937923174e-11,-0.05555671198027475,MIXED
8,19502.0,11109.0,stroma_enriched,-0.1169964272635323,0.3232735306876046,2.2858940887451173,2.5748215311262195e-10,0.1616367653438023,STROMA
9,19241.0,12801.0,stroma_enriched,0.0987267548697334,0.19938672712871,2.082104688371931,1.3309486185603726e-10,0.099693363564355,STROMA
10,7763.0,19450.0,stroma_enriched,0.2466090447562081,0.2299490199770246,1.705578395298549,5.028241157739942e-10,0.1149745099885123,STROMA
11,13623.0,12359.0,tumor_enriched,0.6658341053553991,-0.03252723131861,0.0955776732308524,3.359498161227865e-12,-0.016263615659305,TUMOR
12,19215.0,5423.0,other,0.5463152204241072,-0.0131460741588047,0.096904672895159,2.181034814646128e-11,-0.00657303707940235,MIXED
13,18163.0,10346.0,stroma_enriched,0.2400655419485909,0.0657753229141235,1.0737899943760465,8.765806855488994e-10,0.03288766145706175,STROMA
14,16291.0,10506.0,stroma_enriched,0.4078691101074219,-0.1025798910004752,1.1115716280255998,2.6168567795010903e-09,-0.0512899455002376,STROMA
15,15206.0,6206.0,other,0.4386124747140068,-0.1012349396092551,0.0881024387904575,6.505144726710958e-12,-0.05061746980462755,MIXED
16,13370.0,16510.0,other,0.3555701664515904,-0.0788315615483692,0.5611757005964007,1.3788551280222324e-11,-0.0394157807741846,MIXED
17,12836.0,16819.0,other,0.2967800848824637,0.0298741834504263,0.6924896022251673,7.429209923307935e-12,0.01493709172521315,STROMA
18,9904.0,19750.0,interface_like,0.3345134844098771,0.1254711346966879,0.8572901644025529,1.243223545145852e-09,0.06273556734834396,STROMA
19,14159.0,12665.0,other,0.4819968305315291,-0.1065830074037824,0.1536834171840122,1.7926239323436647e-11,-0.0532915037018912,MIXED
20,11236.0,18362.0,other,0.5063581793648856,-0.0927899702957698,0.3389318357195173,1.2999584141881039e-11,-0.0463949851478849,MIXED
21,15769.0,14196.0,tumor_enriched,0.5883766283307756,-0.0401787633555276,0.3518476949419294,5.12336512836523e-12,-0.0200893816777638,MIXED
22,18982.0,15415.0,tumor_enriched,0.6931726891653878,-0.0020954603808266,0.3243008613586425,4.3524234145657766e-11,-0.0010477301904133,TUMOR
23,13350.0,10669.0,other,0.3710156903948103,-0.1995222526788711,0.299905583517892,1.7640522016844445e-11,-0.09976112633943555,MIXED
24,15780.0,17578.0,other,0.5499974169049944,0.0488753398827144,0.2631609644208635,1.0068765716594568e-11,0.0244376699413572,MIXED
25,7227.0,19144.0,stroma_enriched,0.4568486731392996,0.1167759690965924,1.075759184701102,1.4571679821260676e-10,0.0583879845482962,STROMA
26,14666.0,4670.0,other,0.0601861490522113,-0.0010919763360704,0.7818839372907366,2.747524372249357e-11,-0.0005459881680352,STROMA
27,10676.0,10986.0,other,0.4656833703177315,-0.1687344898496355,0.0239673124040875,5.620535955345043e-12,-0.08436724492481774,MIXED
28,8556.0,16527.0,stroma_enriched,0.3229670933314733,0.2063776806422642,2.0551450456891738,3.659660962961141e-11,0.1031888403211321,STROMA
29,10974.0,19746.0,other,0.5414340972900391,0.1336315182277134,0.4338233457292829,2.2085849898854558e-10,0.0668157591138567,MIXED
30,14140.0,7132.0,other,0.3271252931867326,-0.0975023861442293,0.2734699085780552,8.565140189725413e-11,-0.04875119307211465,MIXED
31,17886.0,7733.0,tumor_enriched,0.7030879265921456,-0.1601433066385132,0.473870233808245,1.8376416505802583e-10,-0.0800716533192566,TUMOR
32,15241.0,16350.0,other,0.3817603519984655,-0.1520926993233817,0.2863688959394181,2.456462531063149e-11,-0.07604634966169085,MIXED
33,17348.0,6813.0,other,0.2539903368268693,-0.0837226632663181,0.1690248325892857,2.2697824298212776e-10,-0.04186133163315905,MIXED
34,14717.0,19426.0,interface_like,0.5732982526506697,0.0662768442290169,1.46956787109375,2.7247287593149255e-09,0.03313842211450845,STROMA
