i,j,flux_coexact
0,26,5.444939372721601e-07
0,27,-9.6246372669389e-06
0,112,1.6146965854737125e-06
0,193,-3.3679462118653674e-06
0,664,9.442096332960484e-06
0,1058,1.391296623097911e-06
1,451,3.633233026211934e-05
1,694,-6.219548762086027e-05
1,755,1.5610664802591284e-05
1,764,5.146694561511845e-06
1,849,1.091322434588747e-05
1,982,-5.807426351249668e-06
2,68,-7.476286615437123e-06
2,167,1.2594129531913536e-05
2,518,-1.2788666394845837e-05
2,551,3.8995983255666545e-07
2,584,1.3513056333297984e-05
2,676,-6.232192687485229e-06
3,90,7.263645789819638e-06
3,228,-6.4221304170900375e-06
3,748,-6.353078879635881e-06
3,883,1.7947248538604366e-06
3,894,1.1422582593730176e-06
3,1122,2.5745803936728256e-06
4,38,5.864619302314197e-06
4,274,-5.288378738373902e-06
4,634,-1.3342891961986278e-05
4,975,9.766411486128636e-06
4,1015,1.0308468095299667e-06
4,1040,1.9693931023873803e-06
5,111,-2.2638515522904228e-05
5,250,-5.61785307717355e-05
5,503,7.582088503382353e-06
5,807,4.991672926124159e-05
5,982,2.204166855306287e-05
5,1071,-7.234400230470922e-07
6,39,3.0117710030536018e-05
6,144,-6.187933243691023e-05
6,669,-5.976411838870175e-06
6,814,4.075036305492647e-06
6,864,2.5601056267803853e-05
6,967,8.061941671947887e-06
7,325,-9.810217037731208e-06
7,536,1.4179328411710398e-05
7,786,-2.5352046667779325e-06
7,1025,-2.917275374244921e-05
7,1059,7.0226208037587565e-06
7,1102,2.0316226231489197e-05
8,192,6.697847045696774e-05
8,734,-2.227044849409462e-05
8,794,-2.9264784234836843e-05
8,876,-1.382201965010836e-05
8,906,1.8002297809344497e-06
8,1096,-3.421447858862375e-06
9,310,-0.0001399574730889
9,450,2.967977895659266e-05
9,480,-5.224876453270789e-07
9,561,6.927750509325327e-05
9,923,-6.067280089335632e-05
9,1109,0.0001021954775778
10,190,-4.685324864985361e-05
10,375,0.0001965981525267
10,382,-5.799352828420204e-05
10,738,-8.545712800042671e-06
10,1114,-8.320566279263649e-05
11,401,-5.834715652451259e-06
11,426,2.799585854799161e-07
11,467,-1.5374317919244563e-06
11,587,3.2561940274165e-07
11,1011,1.3323783691672717e-05
11,1022,-6.557214235518565e-06
12,109,1.0028676113812595e-07
12,294,-4.107532906787675e-07
12,398,2.4682890961286863e-06
12,500,-2.7390762673219277e-06
12,572,-5.5459989963136395e-06
12,829,6.127252697047522e-06
13,30,-5.100045999610064e-06
13,231,7.190627961575348e-06
13,488,-9.367864212604006e-06
13,510,-2.5603381504239107e-06
13,546,1.5616492800901665e-06
13,1075,8.275971120972467e-06
14,213,8.786259400819211e-06
14,272,3.6527432384014793e-06
14,513,9.435755481952556e-06
14,596,-3.4467491538838597e-06
14,731,-4.379090732073771e-06
14,1033,-1.4048918235215618e-05
15,194,-1.146243644034644e-05
15,309,1.155253075523234e-05
15,575,-9.422733569704336e-07
15,927,-3.086848010867118e-06
15,997,5.49558376973088e-06
15,1098,-1.5565567167792269e-06
16,179,1.2660066333587078e-05
16,252,1.1055196504885816e-05
16,541,2.008671641925058e-06
16,748,-4.129211104873519e-06
16,964,-6.097631373834582e-06
16,1122,-1.5497092001689854e-05
17,444,3.678457058250395e-05
17,600,-2.5464741815454535e-05
17,638,-1.2461245287961778e-07
17,787,4.4849984756800725e-06
17,993,2.5379040199779055e-05
17,1094,-4.105925498962893e-05
18,32,-1.739639995601325e-05
18,346,1.632702948815856e-05
18,371,1.274352975023086e-05
18,1021,-5.339722274662399e-06
18,1072,-5.513147510010215e-06
18,1088,-8.212894977035578e-07
19,423,-1.9379851677348104e-06
19,445,2.007794300637822e-05
19,662,-1.7206850805072918e-06
19,818,-6.754333156363187e-06
19,854,-2.8889334303884742e-06
19,1120,-6.776006171384456e-06
20,91,-2.826984534022746e-05
20,313,-4.2637758944364526e-05
20,533,8.594356571121599e-05
20,630,-4.83339897380476e-05
20,690,7.931851818647467e-05
20,996,-4.602048987505106e-05
21,87,7.336913237510203e-06
21,169,-1.221470225334284e-06
21,319,3.460425254209441e-06
21,691,-3.829649925604085e-06
21,970,-5.746218340781275e-06
22,166,-1.6935887428185996e-05
22,276,9.5059739758122e-06
22,458,-1.2888543449632408e-05
22,656,-5.32260361496465e-06
22,738,1.1570837391372451e-05
22,960,8.981704086942469e-06
22,1106,5.088519038655932e-06
23,219,2.2576697428194605e-06
23,333,3.5106917491941185e-06
23,833,-1.1050173806432338e-05
23,979,-3.718107673422459e-06
23,1000,6.6809992611784044e-06
23,1020,2.3189207266628134e-06
24,108,4.515806446309478e-07
24,267,-3.3641978050121163e-06
24,321,-4.122062604255193e-06
24,550,6.663470002490503e-06
24,880,3.712097621458587e-07
25,114,2.014534414255956e-05
25,244,-6.056332580413695e-05
25,486,2.5566795662853832e-05
25,490,9.549440147931746e-06
25,770,-1.6545864066871193e-06
25,873,6.956332257478928e-06
26,112,1.1189022298250598e-05
26,371,2.2909510650545985e-06
26,1058,-1.10901233689849e-06
26,1072,7.249482509962674e-07
26,1097,-1.2551415340130814e-05
27,112,-5.903268946565296e-06
27,193,-5.261190403671971e-06
27,296,4.510860712202841e-06
27,494,-7.130528960378558e-07
27,741,-2.2579857328666178e-06
28,134,-1.0565573232963028e-06
28,315,1.2103537683935231e-06
28,352,3.659524350891801e-06
28,598,1.0919853510993523e-06
28,723,-4.905306147088374e-06
29,141,2.3175803564941225e-06
29,189,2.7611263917052373e-06
29,320,-9.12533031648456e-06
29,588,1.5588237837572713e-05
29,954,-3.562031056592669e-06
29,1118,-7.979583212694843e-06
30,488,-1.622927989828826e-06
30,510,1.1021835652713492e-05
30,583,-5.0667597905461545e-06
30,731,4.967025535737677e-06
30,1084,-1.4399219407686252e-05
31,365,-5.889384355214818e-06
31,539,9.503652451787564e-06
31,684,2.7860617307689775e-05
31,759,-1.140162598704251e-05
31,845,1.4719541716804307e-05
31,1091,-3.4792801134024315e-05
32,242,-1.1399524972670683e-05
32,733,-1.1680541389772107e-05
32,889,1.5152333361600877e-06
32,1072,1.7583794361661896e-05
32,1088,-1.341536129139244e-05
33,98,-2.028007409634699e-05
33,119,-6.534165188033081e-06
33,289,-2.3718252985512427e-05
33,327,1.883610902311948e-05
33,329,-2.836523604757575e-05
33,653,6.0061619294348774e-05
34,126,-4.1967576263992105e-08
34,133,-5.7741296481787785e-06
34,385,-4.093680364124891e-06
34,611,1.0813154343208644e-05
34,991,4.60392357147743e-06
34,1100,-5.507300326118412e-06
35,134,1.114359959520134e-06
35,164,2.801734086521363e-06
35,278,-3.718785796514887e-06
35,419,-2.632491662897452e-06
35,598,2.5792864410193516e-06
35,826,-1.441030276485097e-07
36,528,-8.455124678909727e-06
36,581,-6.616742988001207e-06
36,924,9.514404150415991e-06
36,944,3.305737233236484e-06
36,1050,-2.7523807848215244e-06
36,1100,5.004107068079983e-06
37,174,-6.307950437787733e-06
37,317,1.2674898009981743e-06
37,430,6.7014131172796555e-06
37,457,-7.310384921340823e-06
37,686,-5.761221693512094e-06
37,1048,1.141065413436282e-05
38,62,-4.004310039411582e-07
38,240,-1.369521138038139e-07
38,247,3.36368419678329e-06
38,975,7.062492203108415e-06
38,1040,-4.024173979832535e-06
39,88,7.3342439568455166e-06
39,123,2.974809332696878e-06
39,144,-5.203422236012331e-05
39,814,-2.3348409425992696e-06
39,1008,7.41777200437162e-05
40,66,5.8681751473130944e-06
40,373,-8.484698202863705e-06
40,534,6.157495394104572e-06
40,635,9.117053783463568e-06
40,656,-1.207824476334516e-05
40,1106,-5.7978135867237e-07
41,84,1.8364066259876128e-05
41,236,-8.854391600130592e-06
41,332,1.6101128772023996e-05
41,744,-1.0187659042361512e-05
41,965,3.0962529782854067e-06
41,1076,-1.8519397367693427e-05
42,147,1.1396121610232288e-05
42,153,2.170188641278921e-05
42,376,2.526047655190476e-05
42,392,2.9047086546374656e-05
42,676,1.4647191446352836e-05
42,986,-0.0001020527625676
43,201,2.092214612333027e-05
43,417,-1.2569363169789903e-06
43,540,9.6143503613451e-07
43,607,-2.9034095167844925e-06
43,767,9.656362126198796e-06
43,1092,-2.7379597451900097e-05
44,449,1.3427680862158136e-06
44,479,-3.331344716305684e-06
44,704,-2.6713283988926084e-06
44,747,2.9798171992708312e-06
44,859,-7.286075081729894e-07
44,1056,2.408695337884637e-06
45,58,1.2929170354546383e-05
45,466,-4.627506039149577e-06
45,520,1.05589610628472e-05
45,595,2.5168688585680676e-06
45,797,-1.866616647073821e-05
45,928,-2.7113277660738663e-06
46,337,2.262419827532371e-06
46,815,-1.372732866508263e-06
46,881,8.378587385123525e-07
46,893,-1.7602782242509603e-06
46,907,3.2732524714499766e-08
47,229,1.277650564581015e-06
47,672,2.1464154505626262e-06
47,673,-5.4581611497278945e-06
47,883,4.216762894996214e-06
47,894,2.9685907807160578e-06
47,922,-5.151258541128019e-06
48,345,0.0001323605089386
48,421,-4.4762567060614945e-05
48,523,-3.3074040966252175e-05
48,582,-9.601187943535712e-06
48,835,-6.73221084187489e-05
48,852,2.2399395450543026e-05
49,81,-3.083581860213194e-06
49,200,-1.2435910957095424e-06
49,212,3.5617178132800836e-06
49,557,2.4247276353766233e-06
49,625,-2.7546941685772827e-06
49,775,1.0954216758433116e-06
50,72,2.2414953255229996e-06
50,356,3.279769208611566e-07
50,493,-3.792595962179297e-05
50,824,3.100752162514569e-05
50,935,-8.518973142088558e-06
50,1060,1.2867938892351685e-05
51,131,9.389225591630112e-05
51,356,-6.897782366042662e-05
51,735,-3.921224548407381e-05
51,819,3.861812426944804e-05
51,935,-4.100336869089383e-05
51,1046,1.668305764964508e-05
52,54,5.622740518713848e-06
52,71,1.6924495853203894e-05
52,137,-6.016591283857151e-06
52,248,-1.0667567280240031e-05
52,646,1.214338213193272e-05
52,939,-1.800645993975328e-05
53,123,-9.695053107999184e-05
53,543,-2.3393993109772388e-05
53,762,6.547245209155755e-05
53,803,4.401572098912293e-05
53,947,3.7575538521025785e-05
53,971,-2.6719187411942037e-05
