i,j,flux_coexact
0,323,-2.506455185637604e-05
0,397,4.311278496385342e-05
0,890,9.703370079599085e-07
0,1782,-1.919905363897143e-05
0,1963,5.750183773723836e-06
0,3026,-5.569700250189696e-06
1,893,-3.793057112066983e-06
1,1753,1.4354423772492215e-05
1,1885,1.2238860893375547e-05
1,2519,-1.1575417609443023e-07
1,2520,-4.453537817403961e-06
1,3071,-1.823093556030239e-05
2,600,1.5096532436232704e-05
2,1116,-1.6215196163962227e-05
2,1150,1.9228307620441425e-05
2,1817,-9.468254582036156e-07
2,2506,4.964867301963756e-06
2,2693,-2.212768573647204e-05
3,1248,-1.3614817949815432e-05
3,1759,2.822444940979721e-06
3,2216,-1.1797660663194778e-05
3,2678,1.6102929574312327e-05
3,3050,-2.463183840982378e-06
3,3062,8.95028793870054e-06
4,425,2.4589652313822256e-06
4,639,1.6339455044335983e-06
4,1247,1.0642240975653585e-05
4,1272,-1.6583930220740118e-05
4,1754,1.2787852050127842e-07
4,3079,1.7208999887694332e-06
5,88,-1.737646105913544e-05
5,894,-1.996321008851936e-05
5,1005,1.0556858952303544e-05
5,1845,-8.005716778746189e-06
5,1876,-9.156849781926503e-07
5,3070,3.57042139522901e-05
6,495,1.7687117944398438e-05
6,1020,-2.164227102279552e-05
6,1088,1.2334371407745697e-05
6,2042,-1.9587370991063476e-05
6,2444,3.209425104209422e-06
6,2885,7.998727557505443e-06
7,273,-1.3775628696721568e-05
7,1086,1.1039748962899904e-05
7,1505,-3.13435853184553e-07
7,2738,4.408250249287996e-06
7,2767,-1.3589346622817812e-06
8,102,-6.1913492409094654e-06
8,104,1.892381884584661e-06
8,338,3.363447223885322e-06
8,571,-3.054803574582384e-06
8,1866,-5.521274322362742e-06
8,2933,9.511598029384608e-06
9,191,-9.908933729277003e-07
9,412,6.614679589069943e-06
9,1158,-5.200074894489649e-06
9,2077,2.3950086489592173e-06
9,2863,5.179479248698566e-07
9,2952,-3.3366678954816677e-06
10,932,6.307832333729829e-06
10,1241,-7.694742475068106e-06
