i,j,flux_coexact
0,146,-2.819315540476846e-06
0,423,-3.4386426672798105e-05
0,441,-3.410199884312955e-07
0,533,-7.693166155536333e-06
0,629,1.4659550707386944e-05
0,1037,3.058037764985564e-05
1,52,1.9431473373162484e-05
1,115,-1.3156927941184484e-05
1,263,-5.417783604525552e-07
1,439,5.508778557829509e-06
1,955,1.1571678122075326e-06
1,1198,-1.2398713441562486e-05
2,202,4.091460055011619e-05
2,419,-2.3670363769133335e-05
2,874,-4.6384908429175994e-07
2,1056,-2.3587067051298436e-05
2,1256,6.806679354607343e-06
3,38,-1.7933979027514257e-05
3,40,5.184815749837958e-05
3,131,-1.1666700805060758e-05
3,232,4.421373663392452e-05
3,789,-2.86961122405119e-05
3,1282,-3.7765102059217185e-05
4,269,1.8223067396780893e-05
4,962,-0.0001050659272142
4,1111,-6.149180652987981e-05
4,1247,6.475769760423358e-05
4,1269,-5.317775229641045e-05
4,1287,0.0001367547210395
5,186,-2.5251182898796076e-06
5,193,5.5546296361756384e-05
5,319,1.7162187137479472e-05
5,449,9.86215750477693e-05
5,776,-3.69642312641531e-05
5,961,-2.475929746177132e-05
5,993,-3.2404614019406267e-05
5,1009,2.049699061647416e-05
5,1191,-5.6369585154766915e-05
5,1303,-3.8804202973502104e-05
6,67,2.787922894458084e-06
6,420,-5.874712881721648e-06
6,552,-1.201144483156983e-06
6,748,7.093888525232636e-06
6,918,-4.044425441840181e-06
6,987,1.2384713870280924e-06
7,110,-2.615889899805859e-05
7,267,2.4357897015505004e-05
7,895,1.0323446598407604e-05
7,1069,2.05301664680345e-05
7,1084,3.338571101402262e-05
7,1356,-6.243832209791114e-05
8,100,7.753002152667229e-06
8,164,-1.1919709929361448e-05
8,335,1.2061270425874976e-06
8,497,-4.606711012267029e-06
8,1238,-1.5454775982985174e-06
8,1279,9.112769344672267e-06
9,122,-0.0001644777965601
9,350,0.0001177761282543
9,663,5.9669122719110875e-05
9,762,-3.794070230853485e-05
9,1252,2.4973247895236368e-05
10,235,0.0001004727055372
10,253,5.533721261903226e-05
10,341,-1.7008166308823128e-05
10,414,0.0001067840252377
10,579,-7.898259313812143e-05
10,766,-0.0001666031839471
11,154,4.380290016131999e-06
11,344,-1.3380047456028851e-06
11,372,-4.757505247398156e-06
11,401,1.0754659328766386e-05
11,607,5.0222440019877e-06
11,1169,-1.4061683353885044e-05
12,138,-7.952865884104657e-05
12,230,4.046926271400231e-05
12,1049,-2.094628660473002e-05
12,1094,3.472495009336431e-05
12,1157,5.839436976977846e-06
12,1327,1.9441295661432124e-05
13,132,-4.777321693651997e-05
13,393,8.184038914947102e-05
13,406,3.023250267206135e-05
13,808,-0.0001095399469848
13,1245,4.524027209984469e-05
14,365,1.92070771594438e-05
14,538,-2.4383464000865725e-06
14,572,1.4156732301182778e-05
14,658,-1.4290617344957842e-05
14,1115,-1.474604410371227e-05
14,1343,-1.8888016118698931e-06
15,109,-3.083279967202849e-05
15,588,-5.9883724315363515e-05
15,688,6.450688928410525e-05
15,733,-2.270011004978822e-05
15,820,1.1544660643573318e-05
15,925,3.277633113116687e-05
15,1034,-1.3377946973564818e-05
15,1170,1.7966699951899603e-05
16,489,-3.72450146510396e-05
16,742,-1.5758184602433953e-05
16,876,6.929298562058311e-05
16,1081,-0.0001154289577692
16,1183,9.9139171402097e-05
17,486,0.0001958392445953
17,505,-6.496854399334895e-05
17,560,-2.7749337922570956e-05
17,683,-8.593011534652927e-05
17,1219,-4.543560001531583e-05
17,1232,2.8244352682419533e-05
18,34,-1.8320087082468671e-06
18,71,3.1256670981635573e-06
18,454,-2.0001545012266583e-06
18,643,-5.655290773368539e-06
18,1040,4.003916052011746e-06
18,1064,2.3578708326667614e-06
19,669,-1.454480842504933e-05
19,680,4.0298124699124723e-07
19,917,4.46985324254218e-06
19,1042,9.225253013776057e-06
19,1071,7.547299738582012e-06
19,1311,-7.100578816842163e-06
20,57,6.814159343899072e-05
20,118,-2.4688475602754386e-05
20,392,-0.0001503081987318
20,474,-7.461459807446013e-05
20,583,4.059775609910012e-05
20,1127,0.000140871922871
21,58,1.7717575055303933e-05
21,310,-6.73090033397614e-06
21,546,-3.297186406825819e-06
21,838,-8.989277080409037e-06
21,1023,-1.538669982519821e-05
21,1149,1.6686488591105274e-05
22,168,-2.4584480471474476e-06
22,185,-3.619281040277117e-06
22,384,-1.7668949581804296e-05
22,524,-6.593394756120597e-06
22,703,5.209225642898365e-06
22,996,2.513084778245109e-05
23,122,2.8123756404927715e-05
23,328,-0.0001131241004708
23,762,-1.3665178589449727e-05
23,810,0.0001392805123168
23,1171,-2.168713772509821e-05
23,1329,-1.892785193635206e-05
24,129,2.1802800758741615e-05
24,348,-2.62135372470617e-05
24,480,-3.570865969029942e-05
24,597,4.775381525200375e-05
24,667,-1.7234070772863405e-05
24,997,9.59965169947916e-06
25,489,-0.0001805646964347
25,616,5.4599156786092434e-05
25,752,6.027033400210492e-05
25,837,5.2835153614505534e-05
25,1081,1.2860052032002547e-05
26,214,7.221956332120933e-05
26,299,-6.434998324498305e-06
26,638,2.747023183870243e-05
26,895,-3.9255102302147496e-05
26,1159,-1.8673758270226965e-05
26,1356,-3.5325936263039006e-05
27,46,-7.349271499269979e-06
27,127,-6.7211589868334425e-06
27,211,-2.2358194293787512e-05
27,309,1.1760204392481168e-05
27,734,1.5964914662511257e-05
27,822,8.70350572489851e-06
28,42,7.997588449818458e-05
28,412,5.694597178381041e-05
28,453,9.182294190538358e-05
28,1230,-4.460853478559937e-05
28,1296,-2.12618923594427e-07
28,1310,-0.0001839236444781
29,155,1.3722590380346446e-05
29,386,-1.5010421137817958e-05
29,673,-1.7588231802456917e-05
29,817,-2.4774384643765925e-06
29,974,1.7579239581323492e-05
29,1217,3.77426144298153e-06
30,112,-0.0002871386629807
30,368,-0.0001271900742531
30,632,0.0009626140676967
30,741,-0.0001205711879573
30,828,-0.0003588312532728
30,1208,-6.888288923270893e-05
31,105,5.38823514036372e-06
31,197,1.216838980232953e-06
31,375,-3.068667057768622e-05
31,785,1.6525170424764237e-06
31,830,-8.86528194254073e-06
31,1164,3.129436135715385e-05
32,260,1.74911155017404e-05
32,395,-3.4736131424735895e-05
32,999,-3.6536322128553314e-05
32,1181,-5.593572754268545e-06
32,1212,4.651758957381773e-05
32,1226,1.285732123199962e-05
33,85,3.116923274754682e-05
33,213,-2.990184971595275e-05
33,536,-2.2268503943606853e-06
33,841,2.033896928885825e-05
33,871,-1.1217459027511014e-05
33,927,-8.162042898580624e-06
34,71,-1.0275864839912178e-06
34,454,-6.674608271698375e-06
34,867,-3.385325850241621e-06
34,1144,4.1110140140590885e-06
34,1311,5.144497883625258e-06
35,76,-8.965068013592848e-06
35,688,1.1865536135465094e-05
35,925,-2.829081073401867e-05
35,1057,4.054054781153397e-05
35,1324,-1.5150205199387534e-05
36,135,-2.6425431168644223e-05
36,289,-4.7567415598093104e-05
36,580,-3.9650419988448385e-06
36,584,3.7561412638619754e-05
36,921,2.3997668323545195e-05
36,1044,1.6398807803417217e-05
37,307,4.290499146393985e-06
37,374,-7.372445887351655e-06
37,454,8.216438948014483e-06
37,506,-4.386495439649621e-06
37,867,2.371902978261128e-06
37,990,-3.119899745668319e-06
38,131,9.259723917774535e-06
38,453,-2.6620604773139756e-05
38,1282,8.671130102135363e-06
38,1296,-5.991754544984278e-06
38,1328,-3.2524737293001204e-06
39,231,5.804158032750454e-06
39,301,-4.0592053944672995e-06
39,439,-1.4972346650455633e-06
39,559,-4.7400854369373155e-06
39,975,5.193732233459646e-06
39,1134,-7.013647697599217e-07
40,131,-8.935575022243371e-06
40,232,4.242458680946701e-05
40,352,4.880439398135248e-06
40,586,6.204711106228599e-05
40,881,-4.85684047492653e-05
41,160,2.4036415619141003e-05
41,246,-1.911804998269416e-05
41,370,1.5081046181978584e-05
41,422,-1.9999411818425423e-05
42,286,7.416475376930689e-06
42,875,3.0498237635610847e-05
42,1079,7.573916524029954e-05
42,1296,-3.483747576573759e-06
42,1310,-3.0194246178082737e-05
43,145,1.1594288440447751e-05
43,159,-6.564801412731148e-05
43,468,2.69055873589325e-05
43,713,4.099739583638556e-05
43,1201,-2.290934401522106e-06
43,1333,-1.1558323106932228e-05
44,128,8.792952882447731e-06
44,182,-7.312474214675631e-05
44,254,6.789396025801372e-05
44,1176,-4.3204313305563e-05
44,1302,2.274077234542976e-05
44,1322,1.690136996642809e-05
45,160,3.395638417768695e-05
45,188,-4.730255303586503e-06
45,332,-5.4394323289024275e-06
45,366,-1.3825315514830704e-05
45,422,-9.090317796722568e-06
45,501,-2.3040282366038503e-05
45,982,2.216921913239376e-05
46,211,2.1297838811484596e-05
46,262,8.95820733829938e-06
46,309,-2.2606979923781923e-06
46,1258,-4.133863886078947e-06
46,1347,-3.1210755770596816e-05
47,624,-3.099895940833995e-05
47,674,7.628090792910781e-05
47,1116,3.457954750377524e-05
47,1136,-3.185889657996545e-05
47,1272,-3.2571815371508366e-05
47,1333,-1.5430784073069288e-05
48,400,-8.897329959536696e-06
48,512,-2.1802576025217995e-05
48,545,1.3673409825232416e-05
48,566,1.2726440379470208e-05
48,956,-3.3469771714604384e-06
48,1263,7.647032951512507e-06
49,304,5.288560976529829e-06
49,324,2.43164907351108e-05
49,382,-2.753451572387982e-06
49,409,-2.085893810205284e-05
49,779,2.6663063355520685e-05
49,1297,-3.265572539272049e-05
50,106,-9.223692476389312e-07
50,347,7.692443863948526e-06
50,475,-2.0677210247642488e-06
50,835,-2.1284286994541e-06
50,1126,2.5449522618275043e-06
50,1254,-5.118877153918749e-06
51,96,-4.306603460619307e-07
51,932,4.591986947995752e-06
51,1185,1.0578152076632489e-05
51,1188,3.486916305105967e-05
