source,target,n,median_P_obs,median_bias_ratio,n_p_lt_005,median_p
STROMA,IMMUNE_EXHAUSTED,29,0.018371338006786864,2.408519343863376,17,0.016611295681063124
IMMUNE_ACTIVE,IMMUNE_EXHAUSTED,28,0.03512308667191671,5.684763049037209,16,0.019933554817275746
MIXED,TUMOR,42,0.16529136859714683,1.0106653197031519,12,0.4169435215946844
TUMOR,STROMA,42,0.32536289854951317,1.013800126474006,9,0.4883720930232558
MIXED,IMMUNE_EXHAUSTED,29,0.01804605877492931,1.056214919185173,5,0.44518272425249167
MIXED,STROMA,43,0.30466813807342613,0.8492072967437323,4,0.9501661129568106
TUMOR,IMMUNE_EXHAUSTED,29,0.006387875769229428,0.42445589481463836,2,0.9634551495016611
