i,j,flux_coexact
0,624,9.18152289272241e-06
0,755,-5.3577723909575946e-05
0,813,1.4730168785526664e-05
0,914,2.478815658335936e-05
0,982,4.8778756479675105e-06
1,693,-6.701090718521493e-06
1,743,1.4795709027125223e-06
1,753,-1.4420878707494075e-06
1,830,6.727938352274007e-07
1,973,5.990813851330978e-06
2,86,-9.902529088070842e-06
2,284,3.585193869351524e-05
2,411,-2.0837728662696855e-05
2,1016,-1.3613514389078809e-05
2,1043,8.50183344633127e-06
3,45,-9.144506388593816e-07
3,406,-2.6847678866477107e-06
3,521,-1.1102714621351127e-07
3,961,1.6661943970151574e-06
3,1002,5.420384139529171e-07
3,1026,1.5020128607525289e-06
4,110,-1.528364972104097e-06
4,298,-1.1041685519950473e-07
4,406,7.923081601180738e-07
4,432,-1.5440486260495268e-06
4,640,2.913529319047364e-06
4,687,-5.230070258123091e-07
5,288,-4.368318964502232e-06
5,507,3.305183116273892e-06
5,788,-2.8160295789406794e-06
5,888,7.356446574340148e-06
5,973,-4.209057265283657e-06
5,1058,7.317761181125287e-07
6,46,2.665591511643021e-06
6,147,1.2712725296135343e-06
6,216,-3.830387795493776e-06
6,795,6.402569908005178e-07
6,845,-7.467332365632971e-07
7,326,-4.907614673080673e-06
7,542,-8.581328376441347e-08
7,771,1.2259917312433536e-05
7,1011,3.1916126999609407e-06
7,1047,-2.6928058418655916e-06
7,1090,-7.765296213683798e-06
8,199,6.3124932854234904e-06
8,724,-2.29796269421416e-06
8,780,5.8991659721363986e-06
8,856,-4.707437699028098e-06
8,886,4.2024260252083435e-06
8,1085,-9.408684889525974e-06
9,311,-8.368088221773067e-07
9,444,-2.7284770894417036e-06
9,482,2.803355033544708e-06
9,560,-1.8267438730544435e-06
9,900,1.7532198181749442e-06
9,1094,8.354549329538013e-07
10,43,-6.5701245941971165e-06
10,212,2.125573778887724e-06
10,403,3.205055037223242e-07
10,608,4.2056447611794686e-06
10,819,-1.9617187488305353e-06
10,1040,1.8801192992381349e-06
11,73,1.436714641192587e-05
11,211,2.3373204625879186e-07
11,398,-1.3863888967099115e-05
11,466,5.228521507022948e-06
11,922,-2.5565921380674817e-07
11,997,-3.4915744419727196e-06
11,1008,-2.2182773423290255e-06
12,31,3.300450695432071e-06
12,65,-3.536751397934143e-06
12,371,9.04502265886745e-06
12,620,-6.183814587763723e-06
12,868,-2.6249073686016557e-06
13,29,-3.224649712680855e-07
13,150,3.170167207833976e-06
13,254,3.2155136029502227e-06
13,719,-3.188267161118144e-06
13,921,-2.874948678397969e-06
14,105,-1.0097714325498436e-05
14,203,1.7416086985331858e-05
14,330,7.094178465016035e-06
14,389,-2.2825497765382683e-05
14,744,3.876829433810923e-06
14,915,4.536117206722304e-06
15,166,3.1061173334894197e-06
15,367,1.1770600328769624e-06
15,378,-4.484823967334414e-06
15,613,1.3971903127182384e-06
15,969,-1.1955437117502064e-06
16,159,-3.3266651525656034e-07
16,322,2.235354848666074e-06
16,353,2.534296039832591e-06
16,595,-6.271809470848239e-06
16,814,1.834825097606134e-06
17,110,-6.0159752906450965e-06
17,278,-7.059975279318054e-07
17,640,1.7502041535906106e-06
17,671,9.635158247358903e-07
17,958,-2.64571406078442e-06
17,1087,6.653966901034821e-06
18,115,4.249782054364208e-07
18,296,5.149046326704405e-06
18,397,4.444398269715008e-07
18,504,3.288885199739404e-07
18,570,-3.3024816045426177e-06
18,815,-3.0448712745436495e-06
19,126,3.183330394236329e-06
19,207,-3.7283600645857742e-06
19,248,4.710496312119477e-06
19,407,-4.013400867677354e-06
19,961,-2.811717683214258e-07
19,1052,1.291059942287494e-07
20,37,3.479321184572831e-06
20,216,-2.650210119766575e-06
20,492,5.783098340408203e-06
20,550,3.6265139980433927e-06
20,722,1.5109042730997838e-06
20,937,-1.1749627676357635e-05
21,183,-6.098360755403774e-06
21,516,-7.333047092052423e-07
21,568,3.156608428809566e-06
21,887,7.458284747677713e-06
21,977,-3.783227711878263e-06
22,216,-7.426068438417092e-06
22,233,2.3286921869329967e-06
22,590,2.1109721409954792e-06
22,722,1.3917408796900158e-06
22,845,-4.554707486711122e-07
22,1020,2.050133979469712e-06
23,165,-8.743157547408495e-07
23,241,9.00165205779201e-07
23,266,4.382498258911152e-07
23,375,-1.7415726114433e-07
23,793,-2.057207241224145e-06
23,866,1.7672652254390085e-06
24,201,7.262289031663728e-07
24,310,3.1653409465574977e-06
24,573,6.959826780886791e-07
24,904,-2.4191123025636117e-06
24,984,-1.434908770825109e-06
24,1088,-7.335314544238288e-07
