node_id,x,y,region,tumor_score,immune_score,stroma_score,coexact_energy,region_original
0,12599.0,5666.0,other,-0.5743118667602539,-0.0186176940373012,-0.2089603805541992,1.0812195619938675e-11,other
1,14387.0,15261.0,stroma,0.0280243928091866,0.0318998445357595,1.1811043276105608,2.121582463038801e-09,stroma
2,17208.0,12494.0,tumor_core,0.5598118046351843,-0.0913418361118861,0.2163044330051967,3.1573890111867244e-11,tumor_core
3,14810.0,6248.0,other,0.2596723747253417,-0.0235852023533412,0.4652032259532383,1.26743703011408e-11,other
4,11597.0,4161.0,stroma,0.2424140766688755,-0.0229942485264369,1.8219323866707935,8.09599191788617e-10,stroma
5,15610.0,7868.0,immune,-0.3811405563354492,0.4489148609978812,0.4039710957663399,1.4674257280148695e-09,immune
6,15612.0,6944.0,other,-0.3732415390014648,-0.0197799028669084,0.3334248406546456,6.965048787181289e-11,other
7,16006.0,10642.0,stroma,-0.2297169058663505,-0.0362991877964564,1.562131334032331,4.3460313176476726e-10,stroma
8,15808.0,9371.0,other,-0.0031373759678431,-0.0330923570905412,0.6244071633475167,1.8107492713847943e-09,other
9,7173.0,4382.0,other,0.2056124932425362,-0.050418107169015,0.7399141447884696,1.8234985688493727e-10,other
10,7779.0,3344.0,stroma,0.2351227733067102,-0.0744251687186104,1.2968622480119978,2.6300572283640337e-10,stroma
11,15795.0,14918.0,stroma,0.0096521105085098,-0.1172235216413225,1.1672389548165458,9.248397268000544e-11,stroma
12,14999.0,11218.0,stroma,-0.2590017618451799,-0.0124990313393729,1.2204158238002234,6.044404086190189e-12,stroma
13,10989.0,6355.0,stroma,-0.1286043766566684,0.2529987113816397,1.1515185955592564,2.5347047138720048e-09,stroma
14,8782.0,4155.0,other,0.3461247362409319,-0.0879738725934709,0.5821464048113142,4.067453608422545e-11,other
15,9785.0,5197.0,interface,0.53821594783238,-0.0969426836286272,1.4191753005981445,4.014772787165359e-10,interface
16,15611.0,7406.0,other,-0.362961540222168,-0.0382735960824149,-0.1543078994750976,7.437640200992434e-12,other
17,13202.0,5783.0,other,-0.3317661666870117,-0.0303652763366699,0.914726677281516,2.2865898309533934e-10,other
18,17816.0,10531.0,tumor_core,0.9344113758632112,0.0594732214723314,0.8628099714006697,7.79349901718577e-10,tumor_core
19,9586.0,4157.0,stroma,0.0983571134294782,0.0256064450315066,1.2272357886178151,1.0505211354201258e-10,stroma
20,13586.0,13873.0,interface,0.6616594914027624,-0.0735639354160853,1.075209001813616,5.703714772129531e-09,interface
21,14794.0,13182.0,other,0.3236798150198801,-0.0758012390136718,0.2993384143284389,3.8771879011268033e-11,other
22,14390.0,13874.0,tumor_core,0.3940891429356166,-0.104773690359933,0.3680640820094518,1.0161714501179094e-10,tumor_core
23,12401.0,4394.0,stroma,0.1089761243547711,0.0,2.1344742230006624,1.0704646614610079e-10,stroma
24,7974.0,6002.0,stroma,0.1772606904166085,-0.0196618148258754,1.824570802961077,4.091051214238053e-10,stroma
25,15997.0,14802.0,other,0.2978711373465401,-0.1021276746477399,0.3697194944109235,4.348400320148603e-11,other
26,15401.0,11450.0,tumor_core,0.5361101504734584,0.3557061455930982,0.3557137066977365,5.113018420000902e-10,tumor_core
27,16002.0,12491.0,stroma,-0.2246559074946812,-0.0454520797729492,1.364007971627372,2.927319498458314e-11,stroma
28,14009.0,4398.0,interface,0.5097070176260812,-0.0103047043936593,0.9154762186322892,8.654359525502297e-09,interface
29,17615.0,10646.0,other,0.7385014016287668,-0.0841933441162109,0.9597121374947684,1.1232115392489588e-10,other
30,10587.0,6354.0,interface,0.5946394075666155,-0.043828558240618,1.557458872113909,2.722030381375279e-10,interface
31,15007.0,7982.0,immune,-0.408563232421875,0.0,-0.1294160270690918,1.0336920475649036e-10,immune
32,9788.0,3810.0,other,0.3704314259120398,-0.0888067899431501,0.8582295772007532,3.930896028476956e-11,other
33,16004.0,11336.0,other,-0.184017459324428,-0.0355045536586216,0.3119626998901367,6.901877325840496e-11,other
34,18016.0,10878.0,interface,0.7342949567522322,-0.0620706067766462,0.9040006583077568,5.783515191861574e-09,interface
35,11999.0,4393.0,immune,-0.2640461880820138,0.3756528920786721,0.2134001200539725,7.66097777175237e-10,immune
36,14597.0,11217.0,other,-0.1885727678026471,-0.0295928900582449,0.2895147623334612,1.6113467823113803e-11,other
37,14411.0,4861.0,other,-0.2460214042663574,-0.0301257133483886,0.2591036864689418,6.329162762543109e-11,other
38,14392.0,12950.0,other,-0.0544012423924037,-0.1032909284319196,0.182830309186663,3.9769159408733865e-11,other
39,14401.0,9021.0,other,0.1079636056082589,-0.0092276886531284,0.2817250115530831,3.96788342620292e-12,other
40,17406.0,13997.0,other,0.2280300467354912,-0.0852939006260463,0.2548340661185128,5.295108893499501e-12,other
41,12399.0,5087.0,stroma,-0.5145514297485352,-0.0469628742762974,1.290493153163365,2.1622885406200624e-11,stroma
42,15595.0,14802.0,stroma,0.1489917210170201,-0.0756854344052928,0.962471422467913,2.2934134947789624e-11,stroma
43,16010.0,9025.0,immune,-0.3766162490844726,0.4006270827565874,-0.1774824714660644,2.3785706607886573e-08,immune
44,13989.0,13411.0,interface,0.4223216901506696,-0.0712685339791434,0.9656312506539482,6.669111044893498e-10,interface
45,10389.0,4852.0,stroma,-0.1553686468941824,-0.0062156541006905,1.6266897310529436,9.663819303386772e-11,stroma
46,10995.0,3813.0,interface,0.5103349195207868,0.231059672321592,2.1598694583347866,5.406647210612023e-08,interface
47,15192.0,15032.0,interface,0.4642190769740515,-0.044558661196913,1.2921221705845425,3.037482814416823e-10,interface
48,14590.0,14453.0,other,0.4679760251726423,-0.0984298924037388,0.8044013105119978,6.8536443628483205e-12,other
49,11593.0,5779.0,other,0.1946013232639857,-0.0234121622358049,-0.3206003570556641,8.078412582746362e-12,other
50,14998.0,11911.0,other,-0.0142750413077218,-0.0340550940377371,0.6635354232788087,1.1849992832735127e-11,other
51,11393.0,5432.0,stroma,-0.2170981475285122,0.0,2.358691693714687,4.444086067301059e-11,stroma
52,16402.0,13186.0,tumor_core,0.4564802496773856,-0.0212563418277672,0.1498332159859794,2.3314959557678446e-11,tumor_core
53,15817.0,5211.0,stroma,0.0365247413090297,-0.021355881009783,0.9556756728036064,1.0921005162074299e-11,stroma
54,16210.0,9372.0,interface,0.4127160344805036,-0.0340390750340053,1.8314285060337616,8.303882425869936e-08,interface
55,16000.0,13185.0,tumor_core,0.5569511359078543,-0.0983003670828683,0.137675029209682,1.745950443497306e-11,tumor_core
56,12400.0,4856.0,other,-0.3820618438720703,-0.0101404319490705,0.3937603746141705,2.1574253666721535e-11,other
57,7974.0,5771.0,other,-0.4176959991455078,-0.0179720551627022,0.9209172936848232,1.3168413243072958e-10,other
58,16401.0,13648.0,other,0.2419324983869279,-0.0892292949131556,0.2269981493268694,5.666066917183485e-12,other
59,13402.0,6130.0,other,0.0119810376848492,-0.0191671793801443,0.2536631461552211,1.1066123060386951e-10,other
60,17815.0,10993.0,stroma,0.3038477052961076,0.0896293993507112,1.4275688062395369,3.593203963496873e-09,stroma
61,10994.0,4275.0,other,-0.2718986211504254,-0.0473292759486607,0.6443465641566686,3.2162482174367537e-10,other
62,16012.0,7869.0,other,-0.1415743446350097,0.0,0.2442970902579171,2.0401616400017126e-11,other
63,7775.0,4730.0,stroma,-0.8846770477294922,-0.0321177564348493,2.3019381059919084,1.004790498772189e-09,stroma
64,7572.0,5770.0,other,0.0501564189365931,-0.0256209128243582,0.7496492767333984,2.0114510899551323e-10,other
65,13585.0,14335.0,interface,0.4832340294974191,0.0909251161984034,0.750172233581543,1.2922861932788007e-09,interface
66,15798.0,13762.0,other,0.3256216539655412,-0.0407027247548103,0.1132232611519949,3.203281471360949e-12,other
67,15805.0,10757.0,other,-0.0523718302590506,-0.0471073150634765,0.0581497710091726,4.6001803446570556e-11,other
68,15809.0,8677.0,other,0.2593782138824463,0.0,0.395427303314209,2.3640851894663526e-10,other
69,15414.0,5672.0,stroma,-0.2327617645263671,0.0,1.019954719543457,1.367308292259163e-11,stroma
70,15392.0,15610.0,interface,0.5093839045933313,-0.0400363146407263,1.3966682270595006,1.4016965324898113e-08,interface
71,17811.0,12842.0,other,0.3865436662946429,-0.1020152391706194,0.557190510886056,4.2307295890687696e-10,other
72,15212.0,6249.0,interface,0.2241298225947788,-0.0101877192088535,0.8268382508414132,2.610854352787955e-09,interface
73,14807.0,7404.0,other,-0.0637966401236397,-0.0124667017800467,-0.154119062423706,5.94905440689333e-11,other
74,13988.0,13873.0,stroma,0.1139257758004326,0.0436936809335436,1.9978469794137137,1.198595300894816e-09,stroma
75,12799.0,6244.0,other,0.2719280542646136,-0.032983967917306,0.3937339360373361,2.8119029566721194e-12,other
76,14587.0,15608.0,stroma,-0.4528694561549595,0.0815511952127729,1.9130059814453124,7.936672594283744e-11,stroma
77,17215.0,9721.0,other,-0.2893367712838309,-0.0423392159598214,0.6989267131260462,6.6151918400890684e-09,other
78,8783.0,3924.0,stroma,0.0389151600428991,0.1079532860006604,1.497891971043178,3.845624435777219e-11,stroma
79,15593.0,15495.0,stroma,0.1809478432791573,-0.1096709391900471,1.354538895743234,6.306222169690928e-10,stroma
80,10792.0,4622.0,other,-0.4752611146654401,0.3546031197479793,0.5766529900687081,8.890323250665512e-09,other
81,14210.0,4745.0,other,-0.3931368637084961,-0.0216857174464634,-0.1518000221252441,7.712758850871763e-11,other
82,14412.0,4167.0,other,-0.3210674667358398,-0.012434092930385,-0.2270985794067382,1.9158138928999067e-10,other
83,14408.0,6016.0,other,0.2086747578212193,0.0,0.4611342075892857,5.4057568636381126e-11,other
84,16418.0,6483.0,other,-0.5294790649414063,-0.0246684973580496,0.2161819594247,1.1299408207402938e-10,other
85,10990.0,5662.0,stroma,-0.5536180114746094,-0.0282753017970493,1.0908664539882116,1.0713743298690179e-10,stroma
86,10589.0,5430.0,other,-0.8311867523193359,-0.0236415072849818,0.7362483542306083,2.9962425165517595e-10,other
87,17204.0,14343.0,tumor_core,0.5757977676391601,-0.0939678846086774,0.4669816207885742,1.3602242826253366e-11,tumor_core
88,15614.0,6250.0,tumor_core,0.4694272777012416,0.0,-0.0399775910377502,2.671826236134139e-12,tumor_core
89,10791.0,5084.0,other,0.2335117067609513,-0.0733230209350585,0.6069383675711495,3.166540718859055e-10,other
90,7175.0,3458.0,other,0.2953302819388252,-0.0212230822869709,-0.1362370572771344,1.3296993277586659e-10,other
91,14609.0,5901.0,other,-0.2907045364379882,-0.0096142326082502,0.442643049785069,2.625473063051429e-11,other
92,14792.0,14106.0,other,0.2672159194946288,0.0162417172959872,0.1197180175781249,2.190371053731194e-11,other
