sample_id,metric,interface_median,bulk_median,fold_interface_vs_bulk,p_bulk_matched_null,significant,n_interface,n_bulk
GSM8557976,coexact_energy,0.035916007854385604,0.0069438189818215,5.172370988247127,0.0,1,1920,155
GSM8557976,ks_like,0.048029329313940536,0.002266225262740929,21.193537148490268,0.0,1,1920,155
GSM8557977,coexact_energy,0.0414777370737001,0.0104719540759777,3.960840237533867,0.0,1,654,9
GSM8557977,ks_like,0.06081642336950901,0.006110593572878646,9.952621236255172,0.0,1,654,9
GSM8557978,coexact_energy,0.0602741720241458,0.00510780922233155,11.800396097180814,0.0,1,825,48
GSM8557978,ks_like,0.14166999582270207,0.004463462675950033,31.739930649427492,0.0,1,825,48
GSM8557979,coexact_energy,0.01746455182220375,0.0042659483823186,4.093943539142775,0.0,1,2092,85
GSM8557979,ks_like,0.013379097888675496,0.0012495185686581312,10.707402205583884,0.0,1,2092,85
GSM8557980,coexact_energy,0.0138845909848141,0.0014757836639049,9.40828341917501,0.0,1,1921,39
GSM8557980,ks_like,0.013137994384554891,0.0007216978283709286,18.20428696038436,0.0,1,1921,39
GSM8557981,coexact_energy,0.0266284418427427,0.0045773206629283,5.817473539179559,0.0,1,1055,89
GSM8557981,ks_like,0.021872540523288717,0.0011782543883876574,18.563512871491145,0.0,1,1055,89
GSM8557982,coexact_energy,0.04494557890728125,0.004878905636354,9.21222549646539,0.0,1,1444,131
GSM8557982,ks_like,0.07237616419597978,0.0013419165109539726,53.934923336320246,0.0,1,1444,131
GSM8557983,coexact_energy,0.0371248733408965,0.0069123720428143,5.370786338695206,0.0,1,835,107
GSM8557983,ks_like,0.06051311201770362,0.0036897749625236734,16.40021752435401,0.0,1,835,107
GSM8557984,coexact_energy,0.023303498291833098,0.005752008464170051,4.051367175994613,0.0,1,444,42
GSM8557984,ks_like,0.02221292092770944,0.0023917052074735306,9.28748277547403,0.0,1,444,42
GSM8557985,coexact_energy,0.0418618319324105,0.0076411304452402,5.478486753620142,0.0,1,2181,65
GSM8557985,ks_like,0.05412741116588349,0.003945105296484905,13.720143591703609,0.0,1,2181,65
GSM8557986,coexact_energy,0.05030061268171185,0.0100489871698556,5.005540541199546,0.0,1,966,21
GSM8557986,ks_like,0.07703906286264381,0.005580043743037924,13.806175434548747,0.0,1,966,21
GSM8557987,coexact_energy,0.025015181309571248,0.0027821743210052,8.991234342045837,0.0,1,322,12
GSM8557987,ks_like,0.021043774716430323,0.0005589405088792425,37.64939979207585,0.0,1,322,12
GSM8557997,coexact_energy,0.0525793360763962,0.0067628576238294,7.774721721680865,0.0,1,1073,251
GSM8557997,ks_like,0.09691057432183514,0.0030209411584567105,32.079596790049244,0.0,1,1073,251
GSM8557998,coexact_energy,0.01889324591293125,0.0048108801566389,3.9271911363104377,0.0,1,1524,17
GSM8557998,ks_like,0.015141874800040549,0.0015708852337394902,9.639071311629982,0.0,1,1524,17
GSM8557999,coexact_energy,0.020454545102236397,0.0019658310605871,10.405037086819945,0.0,1,1444,179
GSM8557999,ks_like,0.018542620395169428,0.00043276032330589597,42.84732068474606,0.0,1,1444,179
GSM8558000,coexact_energy,0.04647163631031995,0.007397997613404,6.281650621222025,0.0,1,1988,71
GSM8558000,ks_like,0.0613165439174327,0.003138714641216936,19.535558630498382,0.0,1,1988,71
GSM8558001,coexact_energy,0.03259773697835665,0.0063405587506138,5.141145797294263,0.0,1,1376,45
GSM8558001,ks_like,0.040431427805641504,0.0025248390790532475,16.013467204725313,0.0,1,1376,45
GSM8558002,coexact_energy,0.0311745916138516,0.0039373044624257,7.917749796450275,0.0,1,1665,45
GSM8558002,ks_like,0.03671263872417966,0.0015017231131896835,24.447009157203706,0.0,1,1665,45
GSM8558003,coexact_energy,0.03239248734549005,0.006648891342144549,4.871862942818108,0.0,1,2434,80
GSM8558003,ks_like,0.037114405342242494,0.003493293007232216,10.624475317352287,0.0,1,2434,80
GSM8558004,coexact_energy,0.0585627624786699,0.0040084166212123,14.60994901431885,0.0,1,1522,6
GSM8558004,ks_like,0.12264659212880168,0.004975212843109035,24.65152667267752,0.0,1,1522,6
GSM8558019,coexact_energy,0.0251057790280916,0.0056005899520140505,4.482702579320328,0.0,1,269,6
GSM8558019,ks_like,0.026057805780186738,0.001227595144408545,21.226709699568477,0.0,1,269,6
GSM8558020,coexact_energy,0.0162466242853837,0.00402659768366,4.0348268085679235,0.0,1,746,23
GSM8558020,ks_like,0.014400967329955515,0.0005564550528127919,25.879839227411225,0.0,1,746,23
GSM8558022,coexact_energy,0.0496669502121938,0.004592030089196,10.81590260443478,0.0,1,549,85
GSM8558022,ks_like,0.1006475109259457,0.001148738960121974,87.61565014530649,0.0,1,549,85
