sample_id,coexact_ratio,coexact_fraction,ne_zscore,morans_I,morans_z,sparkx_stat,sparkx_p,spatialde_fsv,lr_mean,auc_coexact_iface,auc_morans_iface,auc_spatialde_iface,auc_sparkx_iface,auc_lr_iface,top10_overlap_lr_vs_coexact,top10_overlap_immune_vs_coexact,bio_exhaustion_ratio,bio_cytotoxic_ratio
Breast6,,0.1958450636421222,,,,0.025981704486316957,0.0,0.4398840225625493,-47.0099035896514,0.6534161606056199,0.5,0.5,0.5,0.25690311568958424,0.07133243606998654,0.524904214559387,2.4636940956115723,3.5556397438049316
Breast7,,0.3127908086860907,,,,0.028441998119786833,0.0,0.29018455841197144,90.5196272375219,0.652521114135961,0.5,0.5,0.5,0.4772542394895011,0.02981651376146789,0.2524407252440725,2.5504097938537598,3.753038167953491
Breast8,,0.2564333456075334,,,,0.014142361400529432,0.0,0.22636380856255345,22.53626224289745,0.6526605534847241,0.5,0.5,0.5,0.44737429665424167,0.049944506104328525,0.2835820895522388,2.353748321533203,2.9644649028778076
Breast9,,0.3322115246383193,,,,0.0025897751274957586,0.0,0.11085556745212011,-24.5438953690585,0.6009578534031413,0.5,0.5,0.5,0.41027609075043625,0.06345733041575492,0.37677053824362605,3.6861612796783447,2.8933627605438232
Colorectal5,,0.2217444902531082,,,,0.01547172698118058,0.0,0.2726417037004206,-26.271712769265886,0.6500101799875556,0.5,0.5,0.5,0.39466971819912994,0.03829787234042553,0.3883357041251778,1.7906814813613892,1.7812461853027344
Colorectal6,,0.1187503079301827,,,,0.0049823184301583424,0.0,0.298696798930429,-72.95127045266094,0.6579128306456932,0.5,0.5,0.5,0.40894638231339897,0.033659066232356136,0.37771345875542695,2.042933940887451,1.1976113319396973
Colorectal7,,0.2660803793086153,,,,0.007661728974332071,0.0,0.16199635479153807,-12.256527211118978,0.6350714904648903,0.5,0.5,0.5,0.4170618822083024,0.021413276231263382,0.388646288209607,1.364017367362976,1.4162719249725342
Colorectal8,,0.1334763222605683,,,,0.004460164507042277,0.0,0.2164433315192532,-68.45143243281021,0.6539978310452887,0.5,0.5,0.5,0.36355836433371497,0.05336426914153132,0.5209380234505863,1.301306962966919,1.2165652513504028
Glioblstoma2,,0.4048333747893385,,,,0.04247789271449422,0.0,0.35190138347600275,30.530404986476185,0.6398310970205523,0.5,0.5,0.5,0.40859778852697315,0.05740181268882175,0.19863013698630136,1.7050623893737793,2.3749101161956787
Glioblstoma3,,0.3702200942882606,,,,0.012198905332462378,0.0,0.18767670492342814,13.264479354136684,0.6557654025296684,0.5,0.5,0.5,0.45402839078776724,0.04886769964243146,0.3153961136023916,1.4262290000915527,2.7836854457855225
Glioblstoma4,,0.3934940130924595,,,,0.014067182901602669,0.0,0.2790344274545836,33.611656134697064,0.6427261164285104,0.5,0.5,0.5,0.3921886765756599,0.07641196013289037,0.27225130890052357,1.8949283361434937,4.214195251464844
Glioblstoma5,,0.3070665815953842,,,,0.042673692719760306,0.0,0.38363855308932115,58.10422423518853,0.6444391748607553,0.5,0.5,0.5,0.42348564483279677,0.08048780487804878,0.2877906976744186,1.3277781009674072,1.6748448610305786
Lung1,,0.5441935425138161,,,,0.020146262099946393,0.0,0.1843657249755345,40.912819219171105,0.6073279199895779,0.5,0.5,0.5,0.4322824607342405,0.053304904051172705,0.29150326797385623,1.6986650228500366,1.4434486627578735
Lung2,,0.1992540220907067,,,,0.021749272666282713,0.0,0.36099394139708496,92.67511857039602,0.7202437200878998,0.5,0.5,0.5,0.49198782032522326,0.017316017316017316,0.42424242424242425,1.3938547372817993,1.692084789276123
Lung3,,0.2972896141385209,,,,0.0035110164314208943,0.0,0.16746626437491086,16.983270961116602,0.6454890029415993,0.5,0.5,0.5,0.5409782560475566,0.02383419689119171,0.2948885976408912,1.6268000602722168,2.0132274627685547
Lung4,,0.121044582518577,,,,0.07148966114687903,0.0,0.5205051952116254,-52.91930993884568,0.6939758973979715,0.5,0.5,0.5,0.3141624715572441,0.02553191489361702,0.4968944099378882,1.758745551109314,1.365628719329834
Lung5,,0.2318433468128019,,,,0.005914337812435575,0.0,0.3096547447226887,-32.930804729198066,0.6749125048258147,0.5,0.5,0.5,0.38344275080171575,0.0316055625790139,0.3577371048252912,1.8304104804992676,1.613362431526184
Lung6,,0.2127945061532201,,,,0.02596484164106676,0.0,0.3323075333563734,30.015973300662424,0.629590266103424,0.5,0.5,0.5,0.4287533945428682,0.051961823966065745,0.3315436241610738,1.351775884628296,1.2183263301849365
Lung7,,0.1957094126719342,,,,0.01584940560504758,0.0,0.3470322946050679,-29.770868183190732,0.6796064795873624,0.5,0.5,0.5,0.39976138380514126,0.05145413870246085,0.3202247191011236,1.6467269659042358,1.4468520879745483
Ovarian1,,0.3220093101524749,,,,0.0119252637973334,0.0,0.1868909749682507,23.279281404473732,0.7029062334502846,0.5,0.5,0.5,0.5428999652455978,0.025454545454545455,0.2876712328767123,2.4355251789093018,1.6557046175003052
Ovarian2,,0.1752434798945974,,,,0.027928758215792746,0.0,0.3504061787955497,78.08163864007524,0.7019903265908312,0.5,0.5,0.5,0.45150750567066794,0.005263157894736842,0.4608030592734226,1.456908106803894,1.7078136205673218
Prostate5,,0.225051668616324,,,,0.006552833827835548,0.0,0.2776567736017429,-27.212057635831343,0.6688615026001572,0.5,0.5,0.5,0.3961582408294663,0.055674518201284794,0.4045584045584046,1.7017138004302979,1.669231653213501
Prostate6,,0.2824015190043675,,,,0.0010326507335581467,0.0,0.07084821461480317,4.457481973662798,0.6291179537569936,0.5,0.5,0.5,0.4463536339997728,0.07391304347826087,0.2814526588845655,1.5818041563034058,1.693624496459961
Prostate7,,0.2286870839945051,,,,0.013383598240493944,0.0,0.21635950597331854,-20.250090557850413,0.6166267624368182,0.5,0.5,0.5,0.3792355880134253,0.04888888888888889,0.2637215528781794,1.6517785787582397,1.8990367650985718
Prostate8,,0.2488863786940587,,,,0.003771849150430836,0.0,0.10181620105940337,-13.148767273205312,0.6309570167261563,0.5,0.5,0.5,0.5053595472942827,0.04219409282700422,0.35342465753424657,1.4839156866073608,1.8688488006591797
Prostate9,,0.2756772119753132,,,,0.009434908568513308,0.0,0.1766053059934748,53.64256999957973,0.6534258384522712,0.5,0.5,0.5,0.443924289976472,0.06753812636165578,0.2484076433121019,1.7736148834228516,2.096865177154541
