node_id,x,y,region,tumor_score,immune_score,stroma_score,coexact_energy,exhaustion_score,state
0,9549.0,8137.0,other,0.4043526731218611,-0.1813367644081945,-0.1811276694706508,1.3165851577986926e-10,-0.09066838220409724,MIXED
1,11558.0,9526.0,immune_enriched,-0.3450258636474609,1.2574841581459428,0.7385160064697266,1.5260343230641135e-08,0.6287420790729714,IMMUNE_EXHAUSTED
2,11961.0,9295.0,stroma_enriched,-0.0255931527273995,0.306248656084705,0.4976905495779854,4.9669550289652006e-11,0.1531243280423525,MIXED
3,11356.0,10796.0,stroma_enriched,0.1676635306222098,0.450199131383545,2.206659746170044,1.818791955508499e-09,0.2250995656917725,STROMA
4,9143.0,11372.0,stroma_enriched,0.0048074259076799,0.1122818802511413,0.8365520232064384,3.4874782824366727e-10,0.05614094012557065,STROMA
5,9345.0,10563.0,stroma_enriched,-0.0547268513270786,0.0993835913098376,0.37982939856393,4.6335881431249037e-10,0.0496917956549188,MIXED
6,13368.0,9412.0,stroma_enriched,-0.0416755240304129,0.5186351256625708,1.3545809064592635,1.0476018983229783e-09,0.2593175628312854,STROMA
7,13168.0,8834.0,immune_enriched,0.3846516745431083,0.3460924142977864,-0.0273124258858816,9.325050671470742e-10,0.1730462071488932,MIXED
8,9750.0,8715.0,other,0.6066002982003349,-0.0622562516891836,-0.3090903731754848,1.5005209753021262e-10,-0.0311281258445918,TUMOR
9,13568.0,10221.0,immune_enriched,0.3571433694022042,0.3737893971711098,-0.4123294343267168,5.896514116149376e-10,0.1868946985855549,MIXED
10,10148.0,12182.0,tumor_enriched,1.0008820288521902,-0.0496005055099028,0.926522993360247,2.8252043627660686e-10,-0.0248002527549514,TUMOR
11,9749.0,9408.0,other,0.5375174277169364,0.0897785249761115,-0.0825646645682198,6.018775429396382e-11,0.04488926248805575,MIXED
12,9549.0,8368.0,immune_enriched,0.4022040285382952,0.3306342241756094,-0.2588577270507812,1.3947662746613128e-10,0.1653171120878047,MIXED
13,9750.0,8021.0,other,0.5855843298775809,-0.184719297100469,-0.2476521682739257,3.7091807873618934e-10,-0.0923596485502345,MIXED
14,7741.0,6863.0,tumor_enriched,0.7453800310407366,0.3472662199301066,-0.3691563034057617,5.198037685353123e-10,0.1736331099650533,MIXED
15,14374.0,8836.0,immune_enriched,0.0423221860613141,0.6663992353107618,-0.2704434101922172,1.6134108365018339e-09,0.3331996176553809,IMMUNE_ACTIVE
16,13167.0,9296.0,stroma_enriched,0.247965954371861,0.4663294491959256,1.0118456213814873,1.357916058184331e-09,0.2331647245979628,STROMA
17,12564.0,9411.0,stroma_enriched,0.2180167497907367,0.0985898387471967,0.5226407432556153,2.659861033050369e-09,0.04929491937359835,MIXED
18,9548.0,8830.0,other,0.396667240687779,0.0229800205964308,-0.2485260602406092,2.0260268588768073e-11,0.0114900102982154,MIXED
19,7942.0,7210.0,tumor_enriched,1.0738858631678991,-0.2386794316031064,-0.4123101425170898,3.9784055856125974e-10,-0.1193397158015532,TUMOR
20,7539.0,7903.0,tumor_enriched,0.7612099838256836,0.1447786677840561,-0.373299275466374,1.9553074069611062e-10,0.07238933389202805,TUMOR
21,13970.0,10684.0,immune_enriched,0.0783200890677315,0.6136456656216778,-0.0260600090026855,9.569905839574314e-11,0.3068228328108389,IMMUNE_ACTIVE
22,10353.0,8138.0,other,0.531314299447196,0.1092715478661068,-0.0868196037837437,3.92944532183435e-10,0.0546357739330534,MIXED
23,11359.0,8254.0,immune_enriched,0.4883557782854352,0.4170381241418844,-0.3158851242065429,1.396638748688134e-09,0.2085190620709422,MIXED
24,10551.0,11489.0,stroma_enriched,0.1829205989837646,-0.1426016383346506,0.8171487385886056,4.435365818653403e-09,-0.0713008191673253,STROMA
25,14172.0,9644.0,immune_enriched,0.513962391444615,0.4713091660901455,0.2524490165710449,3.748614886794038e-10,0.23565458304507275,MIXED
26,12764.0,9989.0,stroma_enriched,0.2801376233782087,0.0682132784339496,0.680362069266183,4.76538148855337e-09,0.0341066392169748,STROMA
27,7138.0,6747.0,tumor_enriched,0.7004884556361608,0.0026294458968982,0.1409522056579589,4.261986564576299e-11,0.0013147229484491,TUMOR
28,12362.0,9989.0,other,0.1898147174290248,-0.1791240730413226,-0.1569286441802978,2.523187339639544e-09,-0.0895620365206613,MIXED
29,8945.0,8945.0,other,0.5596622794015067,-0.0014694510494984,-0.2715039294106619,4.747744834260276e-11,-0.0007347255247492,MIXED
30,12364.0,8602.0,other,0.3783837236676897,0.2459772689685375,-0.3780415831293379,3.2947069335148456e-10,0.12298863448426875,MIXED
31,11358.0,8485.0,stroma_enriched,-0.0507024138314383,0.1876580656372185,0.4359689004080636,1.9458287394065863e-09,0.09382903281860926,MIXED
32,8142.0,7788.0,other,0.494523424421038,-0.1973468721112279,-0.3034892899649484,1.7994690983993018e-10,-0.09867343605561395,MIXED
33,8744.0,9060.0,other,0.52788147517613,-0.0081112722688694,-0.3145186540058681,1.8456138317957135e-11,-0.0040556361344347,MIXED
34,7940.0,9059.0,other,0.5860406875610351,-0.1088475129975124,-0.2479060568128313,1.1407814558170192e-11,-0.0544237564987562,MIXED
35,10954.0,10103.0,stroma_enriched,-0.3629680633544921,-0.0822792180804504,0.743985654285976,7.157185256008627e-10,-0.0411396090402252,STROMA
36,11560.0,7908.0,immune_enriched,-0.4781892776489257,0.6057771280856435,-0.1487411785125732,8.122374401605908e-09,0.3028885640428218,IMMUNE_ACTIVE
37,12764.0,10220.0,immune_enriched,0.3304418127877372,0.4111092166358412,-0.204518871307373,1.030776903286913e-09,0.2055546083179206,MIXED
38,12163.0,8486.0,other,0.227003013065883,0.1094561564085077,-0.2016086912155151,2.6668165129411757e-10,0.05472807820425385,MIXED
39,10149.0,10795.0,stroma_enriched,-0.0530836732046944,-0.0888762394321403,0.3783246271950857,2.013078294416007e-09,-0.04443811971607015,MIXED
40,8545.0,7327.0,tumor_enriched,0.922394894191197,0.0519100698738991,-0.2203526599066597,1.5650252763215838e-10,0.02595503493694955,TUMOR
41,13971.0,9760.0,interface_like,0.5464552307128906,0.1936459724719708,0.1538172285897391,8.655524010180668e-09,0.0968229862359854,MIXED
42,10952.0,11720.0,stroma_enriched,0.2028521728515625,-0.0170482759890349,0.9399765614100866,1.8336845405007935e-09,-0.00852413799451745,STROMA
43,14775.0,9529.0,immune_enriched,0.577036612374442,0.4939961592887955,-0.4306468799284526,2.8534200385352287e-10,0.24699807964439774,MIXED
44,8140.0,9637.0,other,0.3079060282026018,0.1171958476404681,-0.3282103620256696,2.0102358799065097e-11,0.05859792382023405,MIXED
45,9946.0,12297.0,stroma_enriched,-0.0948112487792968,0.0489287033527591,2.4172463716779435,5.555153006311872e-10,0.02446435167637955,STROMA
46,9145.0,10216.0,other,0.5111047962733678,-0.1098072791976673,-0.1415749686104911,1.1147768778449674e-10,-0.05490363959883365,MIXED
47,11157.0,9063.0,stroma_enriched,0.2940292957850866,0.543217621519414,0.66247373853411,3.64519658963591e-10,0.271608810759707,STROMA
