i,j,flux_coexact
0,244,1.3984143896823333e-05
0,676,3.2090278792609142e-06
0,732,-1.9564040563132213e-05
0,1014,-2.236143313851929e-06
0,1087,1.1347072586864384e-05
0,1620,-6.7400604859644865e-06
1,142,-2.668238545491347e-05
1,741,-3.641978641968447e-05
1,796,6.795549587592071e-05
1,801,4.017252885521329e-05
1,1132,-6.577440713095289e-05
1,2008,2.0748554274416826e-05
2,280,1.698133029239791e-05
2,418,3.071453193176578e-05
2,837,-3.1761769059304964e-05
2,852,-1.5195811694698725e-05
2,1185,6.617901348346104e-06
2,2063,-7.356182818506104e-06
3,326,4.069278444820987e-06
3,672,9.662003853061436e-06
3,727,-9.294337390189452e-06
3,1378,-4.445353362871586e-06
3,1644,-5.660643479899834e-06
3,1932,5.66905193507845e-06
4,176,-6.978749644547067e-07
4,726,-3.454205280634801e-07
4,997,7.092476563973728e-06
4,1180,-7.49866159687108e-06
4,1831,1.0965843886867924e-06
4,1846,3.528961367287465e-07
5,66,1.8862293788181878e-07
5,68,6.383631138736688e-07
5,221,4.7555097451258747e-07
5,372,3.9847193396961e-06
5,1253,-6.558130910275269e-06
5,1970,1.270874544311094e-06
6,870,-5.5373808331358446e-06
6,1311,-1.7376785083932263e-05
6,1419,1.444151175939439e-05
6,1439,4.462813868076664e-06
6,1588,1.1216927758332556e-05
6,1827,-7.207087468735502e-06
7,30,1.947319550644582e-05
7,179,-4.306677269916611e-06
7,315,-1.720039437632525e-05
7,325,1.4074694530524056e-05
7,720,-1.5990663462565863e-05
7,945,3.949845071837847e-06
8,898,1.0294989870954435e-05
8,1121,-1.0099033588598389e-05
8,1422,5.922494628510705e-06
8,1550,8.795564027747738e-06
8,1556,-1.3095698048139486e-05
8,1925,-1.8183168904750069e-06
9,106,8.884825211189534e-06
9,673,-9.395839703047046e-06
9,894,-4.666962577454121e-06
9,1204,3.8355079244501255e-06
9,1453,1.4666856932287537e-05
9,1554,-1.3324387787426028e-05
10,185,3.5423923483014217e-06
10,428,3.694036115503524e-06
10,1410,-1.0582361391067586e-06
10,1660,-7.8870214915237e-07
10,1676,-1.4534558914481473e-06
10,2083,-3.93603428409767e-06
11,165,-2.34975561784877e-05
11,264,1.2548980098958554e-05
11,539,-1.1094129113334931e-05
11,805,-3.922631863499732e-06
11,1900,9.879529731866098e-06
