i,j,flux_coexact
0,254,1.6378344942063802e-06
0,695,8.878727612155587e-06
0,758,9.784403193234914e-06
0,957,-1.46742255660531e-06
0,1295,-9.32062331354975e-06
0,1410,-9.512919429441822e-06
1,108,0.0001077250296836
1,518,-0.0002447810808173
1,561,9.0579662888185e-05
1,569,-0.0001078867231298
1,821,4.421867098912638e-05
1,1477,0.0001101444403862
2,326,2.518127640654316e-05
2,595,-9.58457311335042e-06
2,873,3.6245034645553136e-06
2,1411,-1.062975112676721e-05
2,1481,-1.072698228582403e-05
2,1541,2.1355266548431845e-06
3,224,-4.6660358552040506e-05
3,327,1.5812341135731022e-05
3,597,5.179549738352292e-06
3,604,8.21106519395987e-06
3,866,1.6548714810931927e-05
3,1522,9.086876730653952e-07
4,40,0.0003968846876296
4,423,-0.0003474788504153
4,465,-0.0002474580691682
4,917,6.246543429135236e-05
4,932,-4.357513388729585e-06
4,1519,0.0001399443110513
5,85,-2.4120228653233845e-05
5,140,-8.345505356174363e-06
5,341,-2.1597533653730923e-05
5,772,3.179149731621647e-05
5,913,7.381288760965229e-06
5,975,1.4890481585957434e-05
6,769,-4.874168601940319e-06
6,783,-2.1117782805922105e-05
6,876,-5.610480844669409e-06
6,966,4.026060058205586e-06
6,988,2.414384775726314e-05
6,1404,3.4325244370631025e-06
7,618,1.1277935455652372e-05
7,976,-8.6483498388482e-06
7,1055,-3.165471147788173e-05
7,1068,2.2557523582799967e-05
7,1192,-6.46055634844411e-06
7,1361,1.2928158626721698e-05
8,27,9.054842047512092e-06
8,313,-9.344724038100809e-06
8,906,-1.1805496585809715e-06
8,1223,5.878763703013366e-06
8,1227,-6.201745013810142e-06
8,1292,1.7934129599664626e-06
9,23,-1.113088950022525e-05
9,142,8.610899620901865e-05
9,257,-3.9219639577992325e-05
9,262,1.8776366952518608e-05
9,506,-4.617553392178219e-05
9,675,-8.35930016153749e-06
10,25,-1.5383739492188104e-07
10,48,2.1170711246484786e-07
10,733,-1.9427056413730863e-06
10,864,2.9805181120627848e-06
10,870,-1.0180206806036965e-07
10,931,-9.938801201722956e-07
11,439,-1.0316990083804222e-05
11,533,-0.0001192187274698
11,638,5.257312900584209e-05
11,846,2.827283997386652e-05
11,1286,0.0001233395558277
11,1288,-7.46498072538621e-05
12,110,-0.0001092938403156
12,256,0.0001138287190442
12,721,-8.077950068903194e-05
12,761,0.0001080331630365
12,794,2.0660607804685253e-05
12,945,-5.244914888084714e-05
13,277,-2.577149198841475e-05
13,288,-0.0001077970648338
13,543,-6.002915358405787e-06
13,683,-5.6659472903990355e-05
13,1273,0.0002562279572765
13,1534,-5.999701219186742e-05
14,178,-3.484573530815457e-05
14,362,2.930957718417796e-05
14,701,3.2210929780638e-05
14,1131,-6.82325692010729e-05
14,1361,5.8547152837121126e-05
14,1467,-1.698935529270961e-05
15,59,4.106505176643367e-05
15,218,6.574034852342264e-05
15,935,-4.688838956341975e-05
15,1142,-2.501851315968846e-06
15,1219,3.1391060100827294e-05
15,1341,-8.8806219511295e-05
16,82,-3.0435449965969347e-05
16,349,3.170967244801328e-06
16,476,-1.7496262686090656e-05
16,557,5.6916494833763776e-05
16,868,-9.171148106544726e-06
16,1252,-1.0542486184397534e-07
16,1437,1.669571703356512e-05
16,1484,-1.9574893491681517e-05
17,445,-1.9683745302437744e-05
17,748,1.1903017819861962e-05
17,1100,-6.026838315907492e-06
17,1415,-8.904118867989592e-06
17,1453,4.687884702659968e-05
17,1511,-2.416716236012681e-05
18,30,-2.178864253019333e-05
18,319,1.4169387447162975e-06
18,697,2.0068436350507923e-05
18,755,3.1793883826916973e-06
18,1140,-1.3209198089211231e-05
18,1489,1.033307714148864e-05
19,144,9.663631807783238e-05
19,250,-7.65466096372906e-05
19,325,-3.456906351326405e-05
19,403,0.0001492388123565
19,433,-9.79109003924816e-05
19,1035,-3.684855689138385e-05
20,278,-5.674823347402751e-05
20,379,-1.6317868604096594e-06
20,577,-4.03567306679591e-05
20,918,4.8307945031350846e-05
20,940,5.261234535871781e-05
20,1168,-2.1835393876723876e-06
21,61,-1.0252598931966993e-05
21,293,-1.8323665346168887e-05
21,516,-4.321367538592775e-05
21,1257,7.939770935035475e-05
21,1509,-1.3844375841937486e-05
21,1528,6.23660615564636e-06
22,138,0.0006485846301058
22,398,-3.631590435223206e-06
22,655,-0.0001175798955536
22,671,-0.0002504577322947
22,775,-3.592034491562043e-05
22,837,-0.0002409950669066
23,257,-4.451999341840399e-05
23,262,4.206227174321155e-05
23,361,2.2318725703184325e-05
23,1321,3.3346238053983605e-06
23,1360,-3.4326517333615504e-05
24,768,-2.0972914232481035e-05
24,908,3.31105973433489e-05
24,961,-3.1052454052700156e-05
24,1307,6.193740691723423e-06
24,1394,1.9880779966321855e-05
24,1539,-7.159749716212984e-06
25,233,2.485966168429571e-07
25,373,-2.8074570329149876e-06
25,733,9.820111673118907e-07
25,931,6.316090551544136e-07
25,1199,7.914027986838452e-07
26,413,2.8746523652632855e-05
26,623,-4.40124003967073e-05
26,941,1.7901299544565432e-05
26,1073,6.89734623540686e-05
26,1286,-5.355340328584834e-05
26,1374,-1.805548186871125e-05
27,77,5.025331130375344e-06
27,368,-1.1171499698080863e-06
27,579,1.0164359651479e-05
27,906,-1.71064694570064e-06
27,1223,-3.3070518188335266e-06
28,145,-1.1413224258435953e-05
28,888,1.3697078788208636e-05
28,1021,1.993245767868261e-05
28,1248,-3.175440503390583e-07
28,1309,-1.0733442982496808e-05
28,1416,-1.1165325175619423e-05
29,462,1.5450935474706389e-06
29,642,-1.0025901033624124e-05
29,836,5.701503469636348e-07
29,869,-1.1045537676199028e-06
29,1125,3.453740328028457e-06
29,1250,5.5614705787812945e-06
30,189,1.7123763504486622e-05
30,697,-2.8776946597389923e-05
30,977,5.908897148327118e-06
30,1140,-2.0634316814877463e-05
30,1159,4.58996022926032e-06
31,667,1.1294181582027725e-05
31,737,-5.773259003213598e-06
31,829,1.0932650580156014e-05
31,1017,1.3925406037816325e-06
31,1101,-1.2009638775191977e-06
31,1409,-1.6645149885232576e-05
32,46,-8.157917803857311e-06
32,338,1.2630348195278025e-05
32,668,-1.3861789605603228e-06
32,709,-1.2056826089687142e-05
32,756,-3.1698476186549753e-06
32,1469,1.2140422277481727e-05
33,109,6.210031485648639e-06
33,456,-6.090661764914112e-06
33,557,-2.0493436821845868e-05
33,871,4.1527292383900366e-05
33,1484,-2.115322528278902e-05
34,311,-7.027296652601896e-06
34,386,-8.869891254008094e-06
34,716,-4.755412211570505e-05
34,808,3.006654253234127e-05
34,1029,1.2966409966463364e-05
34,1424,2.041835752351041e-05
35,225,-8.698197064523408e-07
35,441,2.9290727734159608e-05
35,603,-1.9938404940954057e-05
35,1103,-5.759852098924403e-06
35,1470,2.4673440264259605e-06
35,1492,-5.189995014254767e-06
36,950,1.0345811344278854e-05
36,1038,-2.7919371435119696e-06
36,1070,1.1496084548194888e-05
36,1102,-1.9735313577062645e-05
36,1167,1.1989805696750483e-05
36,1497,-1.130445086864961e-05
37,824,-2.1126069511322914e-05
37,893,-1.5998769235590026e-05
37,1002,2.029986305904333e-05
37,1102,-1.0614232342140689e-06
37,1375,-1.0102323249552457e-06
37,1497,1.8896631247038924e-05
38,71,-1.3543389563929135e-05
38,490,1.6383267305348004e-05
38,697,-1.692828365042098e-06
38,755,-6.768559729564886e-06
38,1489,5.621510353188115e-06
39,585,-1.3849948113461788e-05
39,610,-9.488615350541396e-06
39,925,-2.218318876197187e-06
39,1144,-8.573214317605466e-06
39,1196,1.7266687551631237e-05
39,1535,1.68634091061746e-05
40,390,-0.0001323603949015
40,401,0.0001515267419143
40,423,0.0003584428552578
40,442,-0.0001399392692948
40,465,0.0001592147546538
41,137,-1.1301325198033106e-05
41,508,2.028105603907108e-05
41,670,-9.263154869037629e-06
41,1251,7.893053579561646e-06
41,1444,-5.389420322672005e-06
41,1494,-2.220209228889987e-06
42,170,3.667457726427105e-05
42,384,3.93820284645761e-05
42,439,2.3627131715012753e-05
42,760,-6.451546022581288e-05
42,1244,7.174973919338713e-06
42,1288,-4.234325113738573e-05
43,365,2.3297580581313308e-05
43,494,1.3530415390814725e-05
43,639,8.796869846081328e-06
43,1147,-1.2591158742518318e-05
43,1427,-3.303370707569104e-05
44,172,6.311799579239598e-06
44,369,-7.226787062549674e-05
44,398,-8.122414168806752e-05
44,482,0.0002210572838495
44,658,-3.114868623661901e-05
44,1460,-4.2728384878627193e-05
45,215,2.0411706936264232e-05
45,292,0.0002215588598948
45,437,-5.9747877668021344e-05
45,800,-4.5434980194681375e-05
45,1324,-7.870280911338803e-05
45,1533,-5.808489985500656e-05
46,668,2.526543994788678e-06
46,709,-8.869560038682773e-06
46,791,-2.7152709201303546e-06
46,1029,-5.951317458198371e-06
46,1482,6.8516866183655095e-06
47,135,9.158819555781872e-07
47,166,-1.9371101684201415e-05
47,169,3.896503951663838e-06
47,568,2.349024170187811e-07
47,796,5.258953427694145e-06
47,1336,9.064859932246464e-06
48,171,-1.063385873809327e-06
48,353,-1.478914481540633e-06
48,870,9.153573641278888e-07
48,931,-1.906349459340397e-07
48,1164,2.0292850496209587e-06
49,358,7.753556882519629e-06
49,790,1.3461897481274586e-05
49,896,3.381701689520151e-05
49,988,-4.4821421897789115e-05
49,1133,1.773971451841751e-05
49,1404,-2.795076387962412e-05
50,205,-9.783437581214376e-05
50,410,0.0001490959366316
50,848,-8.392560409829612e-05
50,1195,-8.661138410354173e-05
50,1279,4.309837117628403e-05
50,1311,7.617705620606481e-05
51,491,-9.025940249009636e-07
51,750,9.797535191696544e-06
51,960,2.3545279876197012e-06
51,1058,-4.400262267739995e-06
51,1186,-1.2974883456731018e-06
51,1496,-5.551718541002185e-06
52,152,-1.6722975462254123e-05
52,402,1.5999407641290075e-05
52,454,1.4176098150365529e-05
52,809,-4.143997946070104e-06
52,914,-7.848863419336567e-07
52,1075,-8.523646041397719e-06
53,171,1.474188918845621e-06
53,337,2.199401008489888e-06
53,395,4.758667605916842e-06
53,565,1.1241630717727936e-06
53,566,-6.442396957617173e-06
53,1163,-3.114023647407972e-06
54,498,-9.492904190237796e-06
54,693,3.247594229175568e-06
54,841,-1.1670899277373463e-07
54,920,4.473505555742529e-06
54,1240,1.4357519650487332e-05
54,1448,-1.24690062523939e-05
55,224,2.8401348317962257e-05
55,245,-2.9350801568290945e-05
55,548,-4.293233115683115e-05
55,597,-2.517227244757113e-05
55,681,-3.9571871868315626e-05
55,1372,0.000108625928723
56,146,-0.0004476078039007
56,227,9.525844281810052e-05
56,551,2.888633219510738e-05
56,689,0.0002347800719438
56,1155,3.5273831473696886e-05
56,1302,5.3409125469942734e-05
57,197,-8.896533881372424e-06
57,683,9.691658356560334e-06
57,720,-9.915778640664195e-06
57,889,8.597529942789032e-06
57,1190,-3.2168050443204905e-06
57,1534,3.739929267007743e-06
58,124,4.020364341747675e-06
58,541,-5.165164036163597e-06
58,1182,1.3362627519538833e-05
58,1216,-1.390298012482357e-05
58,1296,5.650919545658779e-06
58,1382,-3.965767245958119e-06
59,134,2.3668726182293088e-05
59,186,-2.563044823498878e-06
59,218,2.6975474786083097e-05
59,1142,-2.7342238359510647e-05
59,1391,2.0326133981067013e-05
60,307,-1.877679720978588e-06
60,324,-6.812629910039875e-06
60,914,5.119408179676565e-06
60,986,-7.867433158401797e-06
60,1344,7.184482228300529e-06
60,1523,4.253852381443167e-06
61,322,5.054545781934888e-06
61,516,-4.140786871898881e-05
61,576,1.961675129825123e-06
61,1045,2.097120981277436e-05
61,1528,3.1678390624874505e-06
62,358,1.1317464987951856e-06
62,535,2.179398729189132e-06
62,966,3.6801216921617783e-06
62,988,5.278102702319149e-06
62,1077,-1.3462792523854628e-05
62,1306,1.1934229013893838e-06
63,107,4.974737139453985e-05
63,231,-0.0001347619610646
63,401,8.062059994890257e-05
63,405,0.0001391403288477
63,465,-4.165978983729397e-05
63,470,-9.30865492892516e-05
64,273,3.130490649878066e-06
64,802,-2.3429311328091273e-06
