i,j,flux_coexact
0,208,2.131020240017799e-06
0,452,6.281617962705356e-06
0,487,4.013479626161402e-06
0,982,3.430066742313741e-05
0,1184,-2.9222457513359953e-05
0,1398,-1.7504327738662012e-05
1,43,5.559519802861445e-06
1,45,-1.3751384390239617e-05
1,134,2.908758599598294e-05
1,239,-2.661967626466148e-05
1,893,-4.6611004770224016e-06
1,1426,1.0385055333079112e-05
2,594,1.1476996496982654e-07
2,934,2.473285601423754e-05
2,1013,5.651424069944244e-06
2,1025,-1.75117711368525e-05
2,1140,1.340486312957783e-06
2,1327,-1.4327765225256896e-05
3,71,-5.196922281106314e-05
3,453,9.109308443716108e-07
3,616,-9.74103273559894e-06
3,846,-7.835153259510018e-06
3,1033,6.21891594743183e-05
3,1107,6.445318487482193e-06
4,114,8.23412562082909e-05
4,284,8.358582882474415e-05
4,1003,-3.0311356589499304e-05
4,1195,-0.0003572269387845
4,1210,8.26948611074525e-05
4,1516,0.0001389163492335
5,102,-1.801829693669937e-05
5,164,1.872502965906362e-05
5,360,2.3218662155039428e-06
5,543,3.308881892742497e-07
5,1382,1.2385422606916524e-05
5,1422,-1.574490973405897e-05
6,208,-1.6278767591126378e-06
6,431,4.191516593226842e-07
6,928,-9.860483122983289e-06
6,982,-2.1172610246542284e-05
6,1072,4.4489052137782963e-07
6,1149,3.6238981680050672e-06
6,1390,2.817302977993263e-05
7,377,-5.959243425017571e-05
7,537,7.886545977663264e-05
7,865,-1.486052194486907e-05
7,926,-4.4125035815878585e-06
8,265,2.6832007277902463e-05
8,377,1.7942835241954087e-05
8,682,-5.35132969670025e-05
8,847,2.1598039457041183e-05
8,1257,5.113678065362081e-06
8,1338,-1.797326307525731e-05
9,132,-1.0017223077560692e-05
9,313,-1.6443546477771477e-05
9,1081,1.1005915044359083e-05
9,1298,-1.6169358506801869e-06
9,1327,1.5086867192233424e-05
9,1446,1.9849231694198453e-06
10,265,3.0042721218300896e-05
10,366,-9.775058506378148e-06
10,447,-1.9931528443193896e-05
10,650,-3.941754815886222e-06
10,847,3.605620547157371e-06
11,415,2.119690278650006e-06
11,717,6.7740452368833445e-06
11,1059,1.173276129877519e-06
11,1376,-2.1602683896526528e-05
11,1428,-2.655760109991233e-07
11,1496,1.1801248262114782e-05
12,156,2.269680768621348e-05
12,370,-1.3449198299833422e-05
12,403,5.719089369529837e-05
12,434,-7.001627846184438e-06
12,681,-2.547715537470554e-05
12,1310,-3.395971986078844e-05
13,238,-8.42275010722361e-06
13,985,2.456040254151004e-05
13,1069,1.0619770747369235e-08
13,1178,-2.288707009797921e-05
13,1223,5.083075454464219e-06
13,1485,1.6557224384811896e-06
14,392,9.165209371761388e-05
14,592,-8.094094450071866e-06
14,642,4.0738521677134056e-05
14,745,-5.152720815771972e-05
14,1246,-4.973713823508586e-05
14,1503,-2.3032174551870495e-05
15,52,-7.904602699549167e-06
15,256,-8.59352206851488e-05
15,533,1.0159638804540578e-05
15,812,6.601046577918657e-05
15,1125,3.4508465516269035e-06
15,1418,1.4218872249343911e-05
16,527,2.079790619649371e-05
16,557,1.5466099433666085e-06
16,625,1.4345307711317812e-05
16,779,-4.174822016162356e-05
16,1360,-1.7109121657646947e-05
16,1374,2.2167517968092377e-05
17,38,-3.412544312772861e-06
17,79,4.8948708307796225e-06
17,489,-3.6793738198718026e-05
17,731,-4.3886504640188015e-06
17,1169,1.3172992017671122e-05
17,1190,2.6527070127058944e-05
18,36,8.22145704512225e-06
18,163,4.699274260144476e-05
18,516,-3.4338556133380106e-05
18,676,-1.812001538502554e-05
18,750,3.4680741271863715e-05
18,978,-6.316152024733732e-05
18,1490,2.5725150847312237e-05
19,760,-3.3296092505997126e-05
19,776,6.684847809901952e-05
19,1032,1.2043492136920158e-05
19,1171,1.2538992114904617e-06
19,1197,-5.501228970106398e-06
19,1469,-4.134854797132661e-05
20,60,3.4388388973255796e-05
20,123,-9.065834984003342e-05
20,422,2.291128143854993e-07
20,513,0.000229931117259
20,654,8.875744407398278e-06
20,1264,-0.000182766013614
21,61,-0.0001137360356402
21,331,5.22479745844511e-05
21,605,9.129281542017034e-05
21,939,-9.883360558666645e-05
21,1152,-4.653509741777215e-06
21,1292,7.368236096410734e-05
22,143,2.007512551599636e-06
22,144,2.1124282071829073e-05
22,314,1.371703014704143e-05
22,964,4.308757416950753e-05
22,1029,-9.957104140675224e-05
22,1277,1.9634642466774587e-05
23,191,1.1304606337368644e-05
23,404,-6.379411708653316e-06
23,461,-1.382275449996022e-05
23,744,-1.073717686971671e-05
23,800,-1.6375113399423578e-05
23,1117,3.600985014038518e-05
24,353,2.417418577142778e-05
24,865,9.383938401849927e-06
24,909,-1.5536645695947087e-05
24,1311,-5.5987602181100765e-05
24,1487,3.796612370377015e-05
25,130,1.1541386542697553e-05
25,375,1.8392440507739073e-05
25,524,-4.35251560493272e-06
25,669,-5.651842232947742e-05
25,757,2.6687370371850035e-05
25,1118,4.249740512123483e-06
26,240,-1.914283045304473e-05
26,391,5.546851247388932e-05
26,761,-2.8494315472098296e-05
26,1250,2.311037904218922e-06
26,1346,9.545242299236e-06
26,1489,-1.9687646752201216e-05
27,221,5.927737751581147e-05
27,316,-1.807677206681681e-05
27,723,2.8842882473657397e-05
27,1003,8.35332413934006e-05
27,1302,7.326316297098774e-05
27,1516,-0.000226839892287
28,58,4.0467320890317035e-05
28,549,-2.1391244809743467e-05
28,850,1.7653915305879797e-05
28,1028,0.0001606389907856
28,1060,-0.0001926264162284
28,1120,-8.62960998363553e-06
28,1480,3.887044039999537e-06
29,607,-8.703543752133029e-05
29,798,4.3709935561888944e-05
29,957,2.2412450547081524e-05
29,1060,0.000104133177349
29,1340,7.195138886451112e-05
29,1480,-0.0001551715148012
30,50,-1.3640983455116571e-05
30,129,3.543699925846202e-06
30,218,8.730416423897568e-06
30,329,3.903211007645223e-06
30,836,-8.596069278158628e-06
30,920,6.059725375886206e-06
31,47,3.391344173766954e-05
31,445,-8.584306022319335e-06
31,488,-1.2390611934874874e-06
31,1373,-9.708500664337507e-06
31,1447,-2.779428380930807e-06
31,1468,-1.1602145476594406e-05
32,157,-1.6759135192423672e-05
32,419,5.8959094325847e-06
32,768,-1.724802009525961e-05
32,822,2.882589426602289e-05
32,1358,-7.146484109243086e-07
33,116,1.0513619961590608e-05
33,397,3.777871938303248e-05
33,713,-6.788948174692737e-05
33,840,8.934264743374554e-06
33,927,1.7295139949019322e-05
33,1345,-6.632262290089591e-06
34,251,4.020740623021861e-05
34,330,5.69050348671717e-06
34,514,2.6653025213549263e-05
34,590,-2.220376897857533e-05
34,611,-1.161373307745073e-05
34,952,4.282410248255514e-05
34,1010,-4.973796355687726e-05
34,1461,-3.181957180013686e-05
35,109,-6.495616900109488e-06
35,202,3.105336825532829e-05
35,407,6.332898322324378e-06
35,890,-3.126469697493079e-05
35,929,2.7403159405125393e-06
35,1308,-2.3662686431249276e-06
36,163,-5.6309829103659255e-05
36,544,-9.843191349399942e-06
36,888,4.333427182408718e-05
36,978,3.1040205674094266e-05
37,273,-2.321436511353462e-05
37,428,-1.5543820692404684e-05
37,1121,5.302453348750104e-05
37,1320,-2.8564403922081593e-05
37,1349,1.8116316158648673e-05
37,1369,-3.8182599181288185e-06
38,79,8.350416393612583e-06
38,489,-2.2381626737663505e-05
38,972,-2.671781770480786e-05
38,1286,1.455562227832968e-05
38,1469,2.278086145775624e-05
39,67,-3.663745993163927e-05
