node_id,x,y,region,tumor_score,immune_score,stroma_score,coexact_energy,region_original
0,15295.0,7196.0,other,0.2445675550188337,-0.0451271191089847,0.2443769807897844,1.1747516201960911e-11,other
1,9260.0,7633.0,other,0.1580004692077636,-0.0700152215351627,-0.075675278130565,6.183871657240874e-10,other
2,15490.0,8699.0,stroma,0.649272357395717,0.0102914628326693,0.8925689494278378,4.626828048664763e-11,stroma
3,11266.0,9029.0,tumor_core,0.7011870683942522,-0.070843769953801,0.0693068216311051,1.5669183343361854e-11,tumor_core
4,11077.0,5907.0,interface,0.2834543773106166,0.0963561926597735,0.68293210026859,6.5827912955567255e-09,interface
5,10676.0,5674.0,stroma,0.6229462378365653,-0.0511346262035561,1.3487436435366638,9.144536689245783e-12,stroma
6,11669.0,8799.0,interface,0.7298028073992049,-0.05916855725955,1.097190493933878,3.962541025139276e-10,interface
7,12880.0,7648.0,other,0.3441738346644811,-0.0587453363731154,0.3829168468742334,5.463369082987713e-10,other
8,7457.0,5892.0,other,0.4345100130353654,-0.0575460925150077,0.7048480609005044,2.765205276019078e-10,other
9,12485.0,6028.0,other,0.4777652413504464,-0.0620665534284202,0.1294673561249804,2.1960717904482697e-11,other
10,7661.0,5315.0,stroma,0.235299344744001,-0.0425919976122801,0.9521924290423882,7.775211116013977e-12,stroma
11,15080.0,10778.0,stroma,0.3109126281738281,-0.0465172604972303,0.7582133056333401,1.3624980249535824e-10,stroma
12,10274.0,5673.0,other,0.6424690791538783,-0.0372740767871257,0.2117227054168028,3.0194666210420925e-11,other
13,11479.0,6140.0,tumor_core,0.715524183000837,-0.0286036079942582,0.0560979820280724,3.3048480736543647e-10,tumor_core
14,14692.0,7309.0,tumor_core,0.7997244589669364,-0.062411611295464,0.3375634945936193,1.0813452334116591e-11,tumor_core
15,13076.0,8920.0,other,0.5887843486240931,-0.0358483640221648,0.2730494519322396,6.092930093832944e-11,other
16,5446.0,6116.0,other,0.3468514033726282,-0.0460319487147506,0.2607902707898148,2.6782401861552368e-12,other
17,12877.0,8342.0,other,0.5724458530970983,-0.0691042871379533,0.7204886122837962,7.280591181225598e-12,other
18,7047.0,7971.0,stroma,0.3479109954833984,0.0969760285372718,1.413763655226388,8.420164118920611e-10,stroma
19,6256.0,4732.0,other,-0.4146946334838867,0.2179784153815496,0.4359321991983562,1.428090607745657e-09,other
20,13088.0,5915.0,tumor_core,0.8368544878278459,-0.0334743863364127,0.3126004165108114,3.148771320413809e-11,tumor_core
21,12283.0,6143.0,tumor_core,0.8344542149135046,-0.0552433868714399,0.1501652524661012,3.463562554174654e-11,tumor_core
22,9459.0,8212.0,stroma,0.0344035829816545,-0.0209622686124565,0.8229702778539173,1.415649908865409e-09,stroma
23,13274.0,9730.0,stroma,0.6109791346958704,-0.0146335081561752,1.326798581665566,2.0404593245164463e-11,stroma
24,9267.0,6015.0,stroma,-0.0064242608206612,-0.053297262925368,1.1226537481364671,1.3445038800310232e-10,stroma
25,14276.0,10543.0,stroma,-0.0273693575177874,-0.032367537252879,1.5741731693052037,6.251577649715543e-10,stroma
26,9259.0,7865.0,stroma,0.3638134683881487,-0.0510163227451286,0.9899573504410448,5.363441472862996e-09,stroma
27,9462.0,7519.0,tumor_core,0.8100882284981864,-0.0614670973557692,-0.0829250778242131,1.788307420392004e-10,tumor_core
28,7456.0,6355.0,other,0.4344962583269393,-0.0621051150420836,-0.2540895913728474,2.7634100388950884e-11,other
29,14084.0,8346.0,interface,0.3190035520281111,0.0111428727722885,0.6108409629229274,5.567476521066524e-10,interface
30,12876.0,8804.0,interface,0.7311948885236467,0.0766775713218095,1.174912147302527,2.1561694435093204e-09,interface
31,15693.0,8353.0,tumor_core,0.7424804251534598,-0.0537644580853822,0.3582350601971663,1.028747196295554e-10,tumor_core
32,12272.0,8917.0,other,0.5298400333949499,-0.0892960793995936,0.0776451957534395,1.7403285459328204e-11,other
33,9258.0,8327.0,stroma,0.1062884140014648,-0.0317442201850406,1.0163098350810182,3.446404950830699e-09,stroma
34,13686.0,7420.0,other,0.6334457560947963,-0.0700349967216568,0.2573487930078406,2.0374018795604333e-11,other
35,7655.0,6702.0,other,0.5648992374965124,-0.076113576474397,-0.0288055416264447,5.649975603475612e-11,other
36,7457.0,6124.0,other,0.5934862082345146,-0.0544669173632975,0.5974192825054047,9.932040391636456e-11,other
37,7250.0,7394.0,stroma,0.3485051018851144,0.0078402883980585,0.7383114274373334,5.3348634444518565e-11,stroma
