flux,frac_exact,frac_coexact,frac_harmonic,E_total,time_decompose_sec
immune_tumor_wedge,0.8005384627190795,0.19945902397939178,1.6845462908918902e-10,0.38657948972159945,0.0024458339903503656
stroma_tumor_wedge,0.776340017570277,0.22365762735341807,1.3547790260962182e-10,0.24152511628239814,0.0020575419766828418
immune_stroma_wedge,0.7701340250291306,0.229864135117137,1.1875017383909612e-10,0.301420208608193,0.0015252080047503114
