flux,global_frac_exact,global_frac_coexact,global_frac_harmonic,node_energy_total_median_immune_rich,node_energy_coexact_median_immune_rich,coexact_fraction_median_immune_rich,node_energy_coexact_ratio_vs_tc_immune_rich,node_energy_total_median_invasive_margin,node_energy_coexact_median_invasive_margin,coexact_fraction_median_invasive_margin,node_energy_coexact_ratio_vs_tc_invasive_margin,node_energy_total_median_mixed_unassigned,node_energy_coexact_median_mixed_unassigned,coexact_fraction_median_mixed_unassigned,node_energy_coexact_ratio_vs_tc_mixed_unassigned,node_energy_total_median_stroma,node_energy_coexact_median_stroma,coexact_fraction_median_stroma,node_energy_coexact_ratio_vs_tc_stroma,node_energy_total_median_tumor_core,node_energy_coexact_median_tumor_core,coexact_fraction_median_tumor_core,node_energy_coexact_ratio_vs_tc_tumor_core
immune_tumor_wedge,0.8005384627190795,0.1994590239793917,1.6845462908918902e-10,6.434872247529486e-05,9.105227288964705e-06,0.14332798057674123,15.906181324576503,4.7258232375450674e-06,9.728919657704804e-07,0.2264380346090441,1.6995727317564302,6.314637408401125e-06,1.9459021331829027e-06,0.3215508272553258,3.3993519533334786,2.1344851937591285e-05,3.93226742724472e-06,0.19665971399971804,6.86939015682631,4.726120703346189e-06,5.724332637209597e-07,0.12188939468391104,1.0
stroma_tumor_wedge,0.776340017570277,0.223657627353418,1.3547790260962182e-10,2.5510926447969296e-05,4.628950274529801e-06,0.18718688530745936,6.824668192195887,8.398510370323758e-06,1.2121385601370083e-06,0.14289206080525446,1.787110032574601,6.7330081045374885e-06,1.4218736545030413e-06,0.2565018687529548,2.0963318522996928,1.950593495129344e-05,3.7521179195600492e-06,0.18617458380019475,5.531915078001302,6.162934692078267e-06,6.782674474669812e-07,0.11838742999290809,1.0
immune_stroma_wedge,0.7701340250291306,0.229864135117137,1.1875017383909612e-10,5.346554798862252e-05,7.892310833618905e-06,0.15446684733914223,8.857421166600432,7.448955539068096e-06,1.561373170536061e-06,0.25981102147678914,1.7523055111764658,8.176656857208905e-06,1.934897291279733e-06,0.2576998921206571,2.1715059865578654,2.289013571393139e-05,4.208312271738576e-06,0.20413846763658017,4.722925259428713,3.4437183931456967e-06,8.910393539125399e-07,0.2753525150041639,1.0
