sample,interface_median_abs_KS,tumor_core_median_abs_KS,stroma_median_abs_KS,fold_interface_vs_tumor,fold_interface_vs_stroma
GSM8557981,0.0222479906286632,0.002006413226627,,11.088438972751424,
GSM8557998,0.01437282048400735,0.00289079101829865,,4.971933421702138,
GSM8557979,0.01225281958164335,0.0037140500185209,,3.2990453863687925,
GSM8558004,0.11493106982508289,0.0294135696792779,,3.907416579298954,
GSM8557997,0.0874335234549787,0.0050867034654196,,17.18864172684336,
GSM8557976,0.0469620233577455,0.0052434713821162,,8.956284859103382,
GSM8558020,0.0142864490761007,0.0008758445966231499,,16.311625503966102,
GSM8558003,0.0331814106263852,0.0082332284142153,,4.030182202289538,
GSM8557986,0.06955647495032705,0.0104844355099035,,6.634260364135998,
GSM8558002,0.0342881077791723,0.00382028245705425,,8.975280795503261,
GSM8557987,0.020559173740321998,0.0021366676194393,,9.622073898463919,
GSM8557980,0.011804652237771,0.0007219447107589,,16.351185964103678,
GSM8557978,0.1372688764375238,0.0110625368091236,,12.408444716939218,
GSM8557999,0.017428464214082548,0.0013101885534442,,13.302256499619585,
GSM8557977,0.0616231078325732,0.0351557233495964,,1.7528613255379881,
GSM8558000,0.05852885700633805,0.007107608668021,,8.234676349225596,
GSM8558019,0.0256164894646386,0.00761565668616815,,3.3636612726779815,
GSM8557985,0.0524460963425518,0.0092559467418982,,5.666205500025381,
GSM8557982,0.06763508483437006,0.002381787389464,,28.39677676738139,
GSM8557983,0.0544810005574281,0.0053079573713652,,10.264023754424317,
GSM8558022,0.0835662139729415,0.002956598405777,,28.264310019715317,
GSM8558001,0.03864193774600045,0.0067220397825828,,5.748543446644788,
GSM8557984,0.0219684435318128,0.0047760420313668,,4.599717377471694,
