node,ks_value,coexact_energy,region
0,-0.006914964516643227,0.0124862284077887,interface
1,0.0007085858911416973,0.0041501238144451,other
2,0.0002563439749694198,0.0018051518177493,other
3,-0.684174233955275,0.0141440511126027,interface
4,0.01843630879024788,0.0253867087478785,interface
5,0.02137555297330943,0.0160581755078886,interface
6,-0.0014395824167788144,0.0097143012571053,immune_core
7,-0.0002843117847703178,0.0020667756778242,other
8,-11.923043514912447,0.677300524391621,interface
9,0.000193838037717175,0.0030463117116638,other
10,0.03806495056014754,0.0139220669547896,interface
11,-0.5600101282542673,0.1376430181291291,other
12,-0.002064944306952604,0.0086829071563164,tumor_core
13,-0.22075157217951807,0.1257023527388121,interface
14,0.02909339372603245,0.0319407745253091,interface
15,0.00041016287594549273,0.0063929628365288,other
16,2.189076016456848,0.1607855529695806,interface
17,0.0013714836193549915,0.0033465280060411,immune_core
18,-0.33199599686637243,0.035350302569595,immune_core
19,0.07382957958150052,0.0285603813907219,interface
20,-0.0014113246494934987,0.0209271791020405,other
21,-0.0029262243784250307,0.0148730371264421,tumor_core
22,0.004026259474352747,0.0107473768498845,other
23,6.269914937602051,1.3573812671787968,interface
24,0.00039705862015676193,0.0047062609881427,interface
25,-0.22939213974359124,0.0951196889902909,tumor_core
26,0.07173790733677518,0.0730728125935524,interface
27,3.2187843325903524e-05,0.0007033227898902,other
28,0.0002500669942301906,0.0059639256010618,other
29,0.0005129330618930438,0.0004425205071712,other
30,0.0011993627277089454,0.0038602149480386,interface
31,-0.051245363354156956,0.0537786999523044,interface
32,0.0036134467669817656,0.0118305969983034,other
33,-0.010616497001852574,0.0315143847008796,other
34,-0.035857071974449664,0.0627175879629906,interface
35,-0.02068274001297042,0.0257396578956734,other
36,155.71542129528095,4.400936206847744,interface
37,0.008584042088069049,0.0039634176152219,other
38,-0.053998297043276765,0.0390330936728485,interface
39,-0.0009635390596359483,0.0127537517592094,immune_core
40,-0.007759343497863006,0.0254646495374217,other
41,-0.0014170276101610473,0.0053999369903993,other
42,0.020422923872162976,0.0169117789359542,interface
43,-0.01564617913108779,0.1250424398465489,interface
44,-0.4251839342140852,0.0746788537801264,interface
45,0.02316622684569697,0.018617280641261,interface
46,5.730957010362049,0.8538798645983863,interface
47,-0.00013717670630139625,0.0003767115156185,other
48,2.0268129310965215e-05,0.0019519084580691,immune_core
49,0.0025886848813701686,0.0091677191465445,other
50,0.0076162137878977056,0.0023090939580786,tumor_core
51,0.0001440312838417946,0.0016962495235188,tumor_core
52,-0.00282665001470665,0.0098852548170529,immune_core
53,-0.08856660102952618,0.0530066714033229,interface
54,0.0011120101823181574,0.002245293033912,other
55,-0.02782360897470744,0.210514741764293,interface
56,0.3414700241608043,0.0739943237670555,interface
57,0.06543682473340667,0.0223802507569156,immune_core
58,-0.07502379522828227,0.0881788100303964,interface
59,-0.008430067796629581,0.0217900575229285,interface
60,2.481638160854699e-05,0.0026592295609162,other
61,0.0007649221085883878,0.0064758113166962,interface
62,-17.76057696006002,1.255591719576568,interface
63,-0.027061037113686577,0.0462298349384476,other
64,2.7508418578842734e-05,0.0003408727163685,other
65,-0.019196691250493683,0.0055534789132263,other
66,-0.005140728924104301,0.0213363904180771,interface
67,-0.34758619666112045,0.0943382371557589,immune_core
68,-0.06905692714526951,0.0893155792005614,interface
69,0.11807585544884303,0.0615680770164373,interface
70,0.0010655238473396417,0.101026696939422,interface
71,0.23468183233026957,0.0521976364711635,interface
72,0.017563037166364932,0.0247784519284586,interface
73,-0.00989826032646861,0.0433402867727289,interface
74,0.01463920203725904,0.0110011797729735,interface
75,-0.01335347531435039,0.012066099765857,other
76,-0.0005832637257519643,0.0091926314682718,other
77,-1.6855927729401943,0.3128071970874757,interface
78,0.00011078383231577076,0.0003468139623451,other
79,0.01458998743678164,0.0299311451729816,interface
80,0.006086816425008212,0.0072325536281329,interface
81,-0.006033835069915814,0.0158116735742506,other
82,0.006912749633494723,0.0057749882517076,interface
83,-0.21448580981903137,0.1409233235833505,interface
84,4.985576790464995,0.4570563998235502,interface
85,0.7050301857084191,0.0890212585511503,immune_core
86,-0.0013844540819930055,0.001950780589175,other
87,-6.736444455618408e-06,0.0003983514582869,other
88,3.0514674659499937e-05,0.0025706418015513,other
89,0.09882938876051092,0.0838130572512466,interface
90,0.0004987721088719066,0.0011333283940219,other
91,0.003043134073239087,0.0054476933550908,other
92,0.033226116557314625,0.0450039852540642,interface
93,0.13321542391400393,0.0625512048742386,interface
94,0.03060801181064369,0.0895695753382215,other
95,-0.11929783279644653,0.0845186679178073,interface
96,-1.4538806106882205,0.1075435874431521,immune_core
97,-0.0008208924337697306,0.0146718644302522,interface
98,0.003405451653888077,0.0088345216761128,interface
99,-0.014365349264691577,0.0552942932277921,interface
100,-0.0004149009151829568,0.0024398493476104,other
101,0.04814320149527808,0.0181023348055512,interface
102,-0.011491169241871598,0.0099259329555377,interface
103,-0.0006178746802793237,0.0047980990287788,immune_core
104,0.02325116234324463,0.0197786227162563,interface
105,-0.02524814700745205,0.008800740530821,other
106,0.0007237716190716349,0.001906943297967,other
107,-0.037086668277181156,0.0352327546800791,other
108,0.04091621887638857,0.0400401475075954,other
109,0.6012443901379427,0.14890390469915,interface
110,-0.20756553414431092,0.0873966303792878,interface
111,-0.0008176935925532802,0.0023712973185026,other
112,0.0024673498793376892,0.0098614025998981,other
113,0.0006990174661613865,0.0084479838175855,other
114,-0.1141673534491104,0.0422181532710523,interface
115,-0.003652420790074117,0.0098478736465611,interface
116,0.019508651878159526,0.0666050565597244,interface
117,0.007358955370403004,0.0129076392530296,other
118,-10.099863225909752,0.4764393372641804,interface
119,0.00021272473379662537,0.0024711084350138,other
120,-0.00021777169057911805,0.0050480199345421,interface
