source,target,n,median_P_obs,median_bias_ratio,n_p_lt_005,median_p
STROMA,IMMUNE_EXHAUSTED,23,0.1688413189842188,2.9579190913553672,23,0.0033222591362126247
IMMUNE_ACTIVE,IMMUNE_EXHAUSTED,23,0.23892061361944608,3.626320421852222,22,0.0033222591362126247
TUMOR,IMMUNE_EXHAUSTED,23,0.15241189284154064,2.6380482691766143,21,0.0033222591362126247
MIXED,IMMUNE_EXHAUSTED,23,0.11379774300802363,1.9064974144573645,21,0.0033222591362126247
MIXED,TUMOR,23,0.13895614535160863,1.0404486876270038,7,0.3122923588039867
TUMOR,STROMA,23,0.10051648057650214,1.1021301248399704,6,0.23255813953488372
MIXED,STROMA,23,0.07607891494169622,0.7808858140707758,0,1.0
