edge_id,weight_zeta,weight_norm
0,2.1012922476467932,0.0024971755667107776
1,5.833427182479352,0.0069324444739123775
2,2.391603444499842,0.0028421813736545128
3,6.500624535129173,0.007725341763224276
4,5.224213472985472,0.006208454942252965
5,5.353471205715501,0.006362064823193295
6,230.535529608664,0.27396840798427213
7,518.8468331115955,0.6165975418043456
8,35.162638156226116,0.041787276835553964
9,81.61088106334427,0.0969863656030481
10,7.094660645689057,0.00843129423732458
11,4.460786483554454,0.0053011983590196396
12,68.41247334551967,0.0813013787530045
13,4.40754203507402,0.005237922660002889
14,3.9468003371557026,0.004690377256980083
15,7.80997892365495,0.009281378431067017
16,4.332750043431579,0.005149039862132055
17,7.8638975958849855,0.009345455377542748
18,3.62466894548193,0.004307556332637388
19,3.9109156287365887,0.004647731871892357
20,6.416051504039438,0.007624835178727774
21,5.242886592142685,0.006230646075811799
22,4.073341809218376,0.004840759133924807
23,5.341492035704189,0.00634782877835221
24,6.4441635097154615,0.0076582434843949256
25,4.917240027903851,0.005843647720627643
26,5.479921760734416,0.006512338654329291
27,4.887391943722372,0.005808176259380599
28,4.858729396869875,0.005774113690616109
29,4.8016082435451555,0.005706230915821422
30,5.494485733049461,0.006529646478055435
31,7.498271938951112,0.008910945871270911
32,1.8561808828818918,0.0022058852372006817
33,9.955734129707277,0.011831393774576248
34,2.1539295876144857,0.002559729778011549
35,7.698002924821709,0.009148306161534994
36,9.500402278346138,0.011290277432840548
37,5.512449862727539,0.006550995048564634
38,1.6313487728293727,0.001938694772635872
39,5.9566920758045026,0.007078932464904346
40,1.4481540004408,0.0017209861173690002
41,8.477472144626734,0.010074627330272968
42,3.5087825492359146,0.004169836947081288
43,5.095397595431608,0.0060553701619744695
44,5.076910755805133,0.006033400402997519
45,5.237382918151889,0.006224105510008852
46,5.197702477372968,0.006176949276838334
47,4.72252806174945,0.005612252033058953
48,4.666285125190795,0.005545412931010381
49,2.6611977941229568,0.003162567280734339
50,7.491266842092139,0.008902621014631736
51,7.39020748209726,0.008782522077965853
52,12.257663153098518,0.014567006072176675
53,12.982232236291345,0.01542808392223273
54,2.3433909104389845,0.0027848856013977913
55,3.327503854859446,0.003954405358795983
56,7.586609047065613,0.009015925684652157
57,6.64215880328136,0.00789354107804007
58,7.4638455848234075,0.00887003359432566
59,3.105724803765944,0.0036908431492940867
60,6.499647572130978,0.007724180740462493
61,5.746539839415282,0.0068291875612202
62,5.785188056102392,0.006875117099348977
63,4.373038866580579,0.005196919096870528
64,4.215573995652796,0.005009787854780578
65,5.565755345894232,0.006614343281198456
66,5.552808425366652,0.006598957161708496
67,4.759348346072459,0.00565600925648836
68,4.618234497860065,0.005488309568700927
69,4.190694272709378,0.004980220793696899
70,4.3163015927070045,0.005129492524389934
71,6.177995980063551,0.007341930009939924
72,6.119455908319759,0.007272360992590812
73,3.7721905233293342,0.0044828709658949525
74,3.4948629436077243,0.004153294888682751
75,4.639191208164637,0.005513214521826708
76,9.239121782717664,0.010979771709292482
77,8.562095919522386,0.010175194218705032
78,4.554479708159348,0.005412543380880213
79,3.8958862555848173,0.004629870965842942
80,5.639289503603015,0.00670173126930657
81,3.716729874774836,0.004416961534858254
82,5.617056852500966,0.006675309988222315
83,5.414553814650033,0.006434655391570009
84,5.479614197031714,0.006511973145645549
85,5.606414819797,0.006662662997267943
86,3.580260600036997,0.004254781457877665
87,5.636363844706723,0.006698254416469687
88,5.757535132231842,0.006842254366468778
89,5.806537010419278,0.006900488195232787
90,3.771293884775612,0.004481805400697615
91,2.3335919972712764,0.002773240573643977
92,4.89923807826224,0.0058222542048763076
93,2.4888078989212525,0.00295769914079444
94,2.775061922898167,0.0032978834037632474
95,9.42160058454015,0.011196629505186451
96,4.529233974346573,0.005382541352503843
97,5.074452921028162,0.006030479512312782
98,5.112621689976643,0.006075839274781003
99,5.11381845303151,0.006077261507915449
100,4.602465733771269,0.005469569970511352
101,5.167786589005499,0.006141397237101189
102,2.626901000989261,0.0031218089740657107
103,5.149401312578713,0.006119548175823964
104,6.96243842027368,0.00827416135347505
105,5.00384855657804,0.005946573290317513
106,2.8463696001354424,0.0033826254426277784
107,6.8224118249984445,0.008107753757005492
108,4.753524169877321,0.0056490878058871865
109,4.576596861526294,0.005438827404463789
110,4.5935901832594634,0.005459022266876121
111,3.966303576492926,0.004713554905305379
112,4.706708331193568,0.005593451866323299
113,3.8444203332402416,0.004568708867167218
114,4.877106641017245,0.0057959532063330136
115,5.08889339539569,0.006047640571086347
116,4.894329513414647,0.005816420866739382
117,5.053102703104452,0.006005106914758707
118,5.032463506967067,0.005980579295447996
119,5.143150343844773,0.006112119524998193
120,9.629950544903974,0.01144423258416243
121,2.1275925911812457,0.0025284308932099282
122,5.978346243816255,0.007104666276722743
123,3.6777737213612443,0.004370666044744301
124,1.8420791726633379,0.002189126765719123
125,4.492896430928431,0.005339357818333526
126,11.113496028463903,0.01320727793770561
127,1.2422100608196178,0.001476242353282825
128,1.9077191922954373,0.0022671333606643336
129,5.858454122794662,0.006962186488110978
130,2.873271213584588,0.003414595318253378
131,16.91579714036528,0.020102732191422737
132,21.602804775519576,0.025672771751889218
133,3.292539502178436,0.003912853724405928
134,8.22027701628433,0.009768976656934714
135,5.610105295248563,0.006667048758048011
136,3.523012209511243,0.004186747474401769
137,4.816641690226608,0.005724096662853237
138,4.620367000913009,0.005490843835186567
139,4.401642099209725,0.00523091117661595
140,4.794818710350296,0.005698162235026278
141,4.507571859558799,0.005356798096737354
142,4.311257067563524,0.0051234976110464585
143,4.963975628301172,0.005899188305017294
144,4.7450280439981976,0.0056389910104600845
145,5.018394660096537,0.005963859878767033
146,4.892771016898429,0.0058145687495836365
147,4.824437965541845,0.005733361755916977
148,4.702178839236853,0.005588069018384567
149,4.457597183253452,0.005297408194755014
150,3.585872476081924,0.004261450610994512
151,3.4068778312613834,0.004048733387048868
152,6.802161800872581,0.00808368862968727
153,6.720224127148455,0.007986313903707984
154,4.310171344255156,0.005122207337539334
155,4.708937398292526,0.005596100889514771
156,1.9998326470524315,0.0023766009841432118
