face_id,i,j,k
329,1864,1302,33
330,1867,170,622
331,129,269,1845
332,269,129,1631
333,808,896,1638
334,537,1416,1204
335,1416,537,408
336,808,215,999
337,215,808,1638
338,164,1746,727
339,215,164,999
340,1443,802,2000
341,388,2059,610
342,2059,388,1145
343,188,905,1465
344,595,188,1465
345,1936,1313,741
346,947,1313,1954
347,1119,584,523
348,1119,523,1229
349,584,1119,57
350,1119,1954,57
351,1157,1119,1229
352,947,1119,1157
353,1119,947,1954
354,1923,2059,1145
355,2059,1923,376
356,1267,229,0
357,229,1404,0
358,829,271,1225
359,2140,1267,0
360,1053,13,836
361,878,1053,836
362,245,1844,282
363,245,1245,1844
364,245,182,1245
365,2118,1048,2090
366,2187,1080,1157
367,1080,2187,522
368,1080,947,1157
369,1404,864,278
370,864,726,20
371,2036,906,60
372,906,2036,445
373,906,588,60
374,382,244,445
375,244,382,1860
376,545,1298,20
377,1540,689,1067
378,1264,958,377
379,1112,1264,377
380,1264,1112,1549
381,1703,1024,1741
382,649,1643,635
383,703,1264,1549
384,1264,703,958
385,2080,547,621
386,547,987,621
387,987,547,937
388,2126,2080,621
389,1395,457,1556
390,457,1700,1556
391,457,1695,1700
392,1041,1072,1838
393,425,1695,1354
394,1695,425,1700
395,71,720,1196
396,720,71,85
397,643,1642,1196
398,643,720,431
399,720,643,1196
400,2016,1726,1354
401,463,2016,1758
402,2016,463,1726
403,463,1559,721
404,275,71,1196
405,519,459,926
406,459,519,1930
407,607,437,1986
408,804,1972,612
409,1972,804,1832
410,1832,360,1838
411,360,877,1838
412,804,360,1832
413,360,804,2174
414,1980,1041,877
415,1041,1980,1905
416,2028,800,825
417,800,2107,825
418,1102,1007,1574
419,1007,146,1574
420,146,1007,183
421,1007,1102,42
422,183,1007,42
423,1084,1102,1574
424,1084,957,1102
425,1110,1975,570
426,1661,157,699
427,157,1661,1930
428,1013,587,1523
429,683,146,306
430,146,683,1574
431,2139,725,2198
432,2186,1227,1830
433,152,2186,1830
434,576,1495,412
435,1928,1419,1027
436,1419,1928,1991
437,1455,1928,1027
438,1227,794,818
439,794,2186,845
440,2186,794,1227
441,2064,1419,1991
442,997,2064,1991
443,2064,997,818
444,794,2064,818
445,1844,1173,282
446,1173,1844,1796
447,687,1983,567
448,941,1997,242
449,1636,1058,242
450,1834,1594,115
451,1058,1834,115
452,237,1073,1502
453,1073,1037,1502
454,290,1134,1945
455,1101,290,1945
456,1037,629,1164
457,1374,1676,932
458,542,1676,268
459,2056,966,1705
460,2013,529,2127
461,529,2013,1228
462,348,1976,1174
463,348,1599,1716
464,1976,348,1716
465,1934,1390,1517
466,1390,1934,350
467,1390,1699,1517
468,696,348,1174
469,348,696,1599
470,1484,1254,1498
471,1768,943,1908
472,1254,1768,1498
473,943,1195,1908
474,925,657,1190
475,657,623,1190
476,1442,657,1489
477,623,657,1442
478,352,1064,1212
479,1064,352,1536
480,352,623,1536
481,303,49,2134
482,1575,49,890
483,49,1575,2134
484,1950,574,1291
485,1950,821,1489
486,1950,548,821
487,548,1950,1291
488,574,666,303
489,666,49,303
490,1939,1400,1128
491,1400,1939,2129
492,1000,1938,1488
493,366,1938,1000
494,1314,1756,194
495,532,1756,1236
496,1756,532,194
497,1291,1210,448
498,1210,532,1236
499,1210,1291,1349
500,532,1210,1349
501,596,1189,1663
502,1189,834,1663
503,1189,1226,834
504,834,931,1651
505,931,304,1651
506,931,834,2005
507,1733,722,1672
508,722,1443,1672
509,1429,1733,1672
510,1429,1124,1733
511,488,338,770
512,338,1682,497
513,684,1682,492
514,1682,488,492
515,488,1682,338
516,1712,549,367
517,1712,367,42
518,1743,1712,42
519,338,1757,770
520,1712,1757,549
521,770,1757,1743
522,1757,1712,1743
523,682,2068,436
524,2068,682,797
525,779,2130,2010
526,2010,2130,1036
527,1024,2130,1741
528,1036,2130,1024
529,1874,779,2010
530,531,1932,1472
531,1778,1932,1912
532,1932,2189,1912
533,1932,531,2189
534,531,946,2189
535,2189,946,880
536,512,551,1836
537,1612,551,1881
538,1620,1827,1881
539,1462,384,344
540,1462,1612,384
541,551,1462,1836
542,1462,551,1612
543,1905,508,1556
544,508,1395,1556
545,489,1137,149
546,2014,1592,944
547,1862,814,861
548,1745,1372,1426
549,1745,1279,1372
550,1283,1745,1426
551,1745,1283,2003
552,1648,368,767
553,2145,1648,767
554,2049,1648,2145
555,1144,1165,35
556,340,1144,142
557,1364,1144,35
558,1856,368,1810
559,1109,1856,340
560,1856,1109,368
561,1802,2133,491
562,116,1802,491
563,2120,1802,1781
564,1802,116,1781
565,1759,1114,748
566,116,1759,1625
567,147,1759,748
568,1759,147,1625
569,166,1235,1022
570,1682,2182,497
571,2182,1682,684
572,885,1337,491
573,2117,1337,2099
574,704,89,2099
575,1337,704,2099
576,704,885,1744
577,704,1337,885
578,1166,2067,748
579,286,1147,1582
580,1825,1357,119
581,500,688,2089
582,688,500,1242
583,1762,1825,119
584,1825,1762,1533
585,692,1763,719
586,719,1763,1509
587,1763,270,1509
588,1763,692,1839
589,1960,787,881
590,273,1862,861
591,1862,273,2162
592,499,273,861
593,273,499,1223
594,1029,206,1435
595,1928,1926,1991
596,1316,504,995
597,243,504,2127
598,504,243,995
599,243,66,995
600,66,1734,995
601,66,507,1734
602,66,243,988
603,507,347,1734
604,632,152,1830
605,1018,234,1242
606,632,234,1652
607,688,1895,292
608,1227,1895,1830
609,1861,1873,251
610,1873,1861,1532
611,262,1532,1219
612,262,1873,1532
613,1873,262,438
614,1175,1446,1722
615,1714,1175,1722
616,719,1541,881
617,1541,1960,881
618,260,656,402
619,656,260,1960
620,1541,656,1960
621,168,1714,1218
622,168,1218,452
623,1685,168,452
624,1611,387,1993
625,1205,387,1410
626,387,1205,538
627,1993,387,538
628,1432,1565,1562
629,1615,366,1629
630,1966,1615,1629
631,1615,1966,1236
632,1756,1615,1236
633,448,470,455
634,470,1966,455
635,1966,470,1236
636,1210,470,448
637,470,1210,1236
638,1487,2180,1910
639,2180,97,1910
640,461,365,1320
641,461,2180,365
642,461,97,2180
643,1335,461,1320
644,1074,1452,2024
645,418,213,506
646,125,727,1845
647,1637,125,1845
648,125,164,727
649,164,125,999
650,1090,1637,1845
651,76,1090,742
652,1090,269,742
653,269,1090,1845
654,1429,2044,1019
655,2044,1429,1672
656,1628,858,58
657,1469,73,1160
658,1379,900,1637
659,1379,1090,76
660,1090,1379,1637
661,2006,718,1200
662,718,2006,1513
663,718,428,1200
664,428,718,419
665,718,955,419
666,955,718,1513
667,1417,1611,1285
668,1417,6,2001
669,283,1708,1562
670,1708,467,639
671,1708,1202,467
672,1202,1708,283
673,1817,1358,37
674,1358,1535,37
675,1885,485,194
676,303,1885,1349
677,1885,303,2134
678,485,1885,2134
679,1885,532,1349
680,532,1885,194
681,5,1314,194
682,485,5,194
683,5,1400,1314
684,1400,5,1128
685,5,127,1128
686,5,485,127
687,1535,1459,1575
688,2017,1459,744
689,1459,2017,1575
690,1358,1459,1535
691,744,1459,359
692,1459,1358,359
693,949,1813,404
694,949,1939,1128
695,1939,949,404
696,1465,1667,1350
697,193,1193,2115
698,1292,1193,813
699,759,1585,57
700,759,559,1585
701,559,1619,1251
702,1619,595,1350
703,595,1619,1719
704,1619,559,1719
705,163,1493,677
706,1493,322,677
707,1493,163,1258
708,322,1493,1169
709,1710,1493,1258
710,1493,1710,1169
711,1710,443,1169
712,443,1710,1107
713,443,984,17
714,984,443,1107
715,984,597,17
716,597,984,546
717,1694,597,546
718,597,1694,287
719,1558,1292,775
720,1558,1056,247
721,1156,444,793
722,1156,665,775
723,665,1156,793
724,813,1156,775
725,597,713,17
726,713,597,287
727,444,1305,793
728,1305,342,793
729,195,769,573
730,342,1369,793
731,1369,665,793
732,769,1369,342
733,1670,2019,1042
734,361,222,783
735,222,1066,783
736,572,222,361
737,590,1867,622
738,1867,590,567
739,1525,1677,2113
740,1677,1525,1609
741,1525,1943,1609
742,1898,1677,1609
743,1026,1898,1609
744,1677,1898,1631
745,1898,269,1631
746,1898,1026,742
747,269,1898,742
748,1383,1508,1687
749,1508,7,1687
750,1525,7,1943
751,1507,590,516
752,1507,687,567
753,590,1507,567
754,687,315,968
755,1507,315,687
756,417,1474,408
757,1677,417,2113
758,417,1677,1631
759,1474,417,1631
760,962,474,1097
761,474,962,841
762,160,841,1760
763,160,474,841
764,474,160,1138
765,537,1548,408
766,417,1548,2113
767,1548,417,408
768,1548,537,811
769,1548,765,2113
770,765,1548,811
771,645,962,811
772,1798,645,811
773,962,645,841
774,745,1077,636
775,1302,945,1989
776,963,945,1136
777,945,316,1989
778,945,963,316
779,750,2062,86
780,2062,750,596
781,750,1189,596
782,1226,750,86
783,1189,750,1226
784,1309,1864,33
785,140,1309,1466
786,1309,140,1864
787,534,591,1136
788,591,534,70
789,217,2074,1428
790,217,170,2074
791,896,1033,1638
792,1443,1681,1672
793,1681,2044,1672
794,2044,1681,422
795,1681,1443,2000
796,1443,1949,802
797,1949,722,1679
798,722,1949,1443
799,1693,296,158
800,1693,896,58
801,1033,1693,158
802,1693,1033,896
803,296,2200,802
804,802,2200,2000
805,2200,858,2000
806,858,2200,58
807,2200,1693,58
808,1693,2200,296
809,388,94,680
810,680,94,477
811,94,188,477
812,94,388,610
813,905,94,610
814,188,94,905
815,2026,1927,1719
816,1927,595,1719
817,188,1927,477
818,1927,188,595
819,1927,1249,477
820,1249,1927,2026
821,453,1936,741
822,453,2026,1936
823,453,1249,2026
824,105,74,741
825,1313,105,741
826,105,1313,947
827,74,105,522
828,105,1080,522
829,1080,105,947
830,1378,1313,1936
831,1313,1378,1954
832,1954,1378,57
833,1378,759,57
834,543,141,1225
835,141,829,1225
836,829,141,297
837,229,1880,752
838,1880,229,1267
839,1880,74,752
840,505,1880,1267
841,229,2179,1404
842,749,2179,1187
843,1187,2179,752
844,2179,229,752
845,1339,829,297
846,271,336,1225
847,887,336,271
848,1053,1900,1655
849,1863,1900,1145
850,1900,1863,1655
851,1900,1923,1145
852,1923,1900,878
853,1900,1053,878
854,1863,189,1655
855,1491,2029,495
856,829,1858,271
857,1858,1339,1188
858,1339,1858,829
859,88,2041,13
860,1921,88,13
861,837,41,1921
862,837,1909,427
863,41,837,427
864,319,1259,2090
865,1259,2118,2090
866,1603,131,1520
867,1245,1603,1520
868,182,1603,1245
869,690,1603,182
870,690,1904,2118
871,1048,1904,784
872,1904,1048,2118
873,784,1904,495
874,822,906,445
875,244,822,445
876,822,244,1656
877,588,822,1656
878,906,822,588
879,1341,1524,729
880,588,1341,729
881,1341,588,1656
882,1524,375,729
883,729,375,545
884,375,1298,545
885,375,107,1298
886,107,375,1524
887,319,155,627
888,1553,1048,784
889,479,1327,1549
890,1327,703,1549
891,703,1327,1769
892,1769,1327,785
893,1421,1112,1643
894,649,1421,1643
895,547,1451,937
896,1451,547,2080
897,2126,1318,2080
898,869,530,1519
899,508,869,1395
900,869,508,530
901,1146,2154,364
902,2144,1072,1041
903,1700,2144,1556
904,2144,1905,1556
905,2144,1041,1905
906,1065,2054,301
907,425,1065,301
908,1726,1065,1354
909,1065,425,1354
910,126,1276,916
911,1275,1276,1758
912,839,463,1758
913,1276,839,1758
914,839,1276,126
915,839,1559,463
916,839,126,2163
917,1559,839,2163
918,71,651,85
919,2068,827,436
920,1377,1601,1512
921,1642,81,1196
922,81,275,1196
923,275,81,334
924,81,850,334
925,1118,1661,699
926,1661,64,1930
927,64,459,1930
928,1994,437,2174
929,1994,1141,926
930,459,679,926
931,679,1994,926
932,1994,679,437
933,437,679,1986
934,2043,437,607
935,437,2043,2174
936,360,2043,877
937,2043,360,2174
938,1141,40,1018
939,40,234,1018
940,1652,40,612
941,234,40,1652
942,740,1980,877
943,2043,740,877
944,740,2043,607
945,1980,740,2107
946,740,607,825
947,2107,740,825
948,530,2063,1546
949,1546,2063,711
950,2063,800,711
951,800,2063,2107
952,226,562,21
953,21,562,42
954,562,183,42
955,1106,927,42
956,927,21,42
957,1084,1186,957
958,1186,770,1743
959,957,1186,1743
960,1186,488,770
961,556,608,2028
962,608,1576,2028
963,519,1903,1930
964,1903,157,1930
965,1903,50,1499
966,50,1903,519
967,1013,1779,2198
968,1132,1084,1574
969,683,1132,1574
970,34,63,306
971,63,34,1463
972,2139,221,725
973,844,63,1463
974,63,844,1331
975,844,1110,570
976,1331,844,570
977,207,318,711
978,1576,207,2028
979,800,207,711
980,207,800,2028
981,1284,917,2193
982,1146,487,412
983,487,576,412
984,2064,1402,1419
985,1402,1148,151
986,1419,1402,151
987,1148,1402,845
988,1402,794,845
989,1402,2064,794
990,1879,133,1806
991,1483,241,69
992,1323,1173,1796
993,1173,1323,1594
994,137,941,115
995,1140,1636,739
996,1636,1140,1058
997,1140,1834,1058
998,1834,162,1594
999,162,130,282
1000,1173,162,282
1001,162,1173,1594
1002,1732,1883,1096
1003,1500,1021,2137
1004,1021,1500,1583
1005,1636,1021,739
1006,1021,1583,739
1007,1500,1213,870
1008,1213,1500,2137
1009,1583,1368,739
1010,1676,1931,932
1011,1931,1676,542
1012,261,1827,1620
1013,1073,979,1647
1014,237,979,1073
1015,1729,1037,1073
1016,1729,1073,1647
1017,629,1729,268
1018,1729,629,1037
1019,542,1729,1647
