mean_curl,median_curl,top95_mean_curl,top99_mean_curl,edge_hotspot_top95_interface_like,replicate
0.00018576076747357654,0.00011185677125389612,0.00084820801104403,0.001249543379884548,0.0005078477509337234,0
0.00018568695631501251,0.0001121306932840698,0.000847643865796976,0.0012491803342479138,0.0005077583519585356,1
0.00018575768207392286,0.00011126036184717831,0.0008471836725459105,0.0012473854037991202,0.0005056025422976547,2
0.0001857460277853487,0.00011175160390880595,0.0008474829437639588,0.001250776629406637,0.0005078806427263689,3
0.00018575843178377606,0.00011205534464641778,0.0008473676383289018,0.001246110533546845,0.0005058927546820778,4
0.00018583703394768391,0.0001125084830257255,0.0008480292560332533,0.0012506044970977328,0.0005080187123624009,5
0.0001858220763575408,0.00011166331474834001,0.0008484636335393749,0.0012490927280504856,0.0005079731854988553,6
0.0001857298574367766,0.00011197893064172779,0.0008484091361277332,0.0012483304643287378,0.0005059571836542796,7
0.00018569388063023555,0.00011188112778358515,0.0008464852678940744,0.0012452177447388672,0.0005062986800244747,8
0.00018578355453732293,0.0001121015935251831,0.0008486631538323394,0.001250863436506612,0.0005086717846869798,9
0.00018574551893621162,0.00011170697536782242,0.0008477820397141751,0.001250682924139668,0.0005053437010428185,10
0.00018571346582788492,0.00011211023551598311,0.0008475491119138515,0.0012478965398792972,0.0005076349068129366,11
0.00018564794175304408,0.00011186922621681149,0.0008477960624082532,0.0012477903759863821,0.0005069522256882253,12
0.00018588583524866542,0.00011194679251244013,0.0008487596080459359,0.0012495350315464126,0.00050844048287451,13
0.00018578146456481442,0.0001119624992943092,0.0008485995891471897,0.0012504229814058292,0.0005066648685690025,14
0.00018564954951029,0.00011173460727984167,0.000847891842020816,0.001250360794981675,0.000506215035087388,15
0.00018570066164006168,0.00011216451590333358,0.0008481364224034312,0.0012487882328890395,0.0005074189179720765,16
0.00018579681671380944,0.00011190354622659954,0.000848666698277175,0.0012505302235848283,0.0005083037952032098,17
0.00018576671297329056,0.0001117654636994351,0.0008487195418894229,0.0012500527706243109,0.0005063944818933471,18
0.00018588300790601262,0.0001117685673622156,0.0008491932593580502,0.0012525911280282457,0.0005081241110741657,19
0.00018569357989871887,0.00011146769554300546,0.0008475402129615249,0.0012495580774115752,0.0005087159901119598,20
0.00018571356487768814,0.00011200249331235669,0.0008470235422684016,0.0012473505919089719,0.0005080663202922837,21
0.00018570172703270702,0.00011158868217831539,0.0008471328174368985,0.0012477163427694752,0.0005069002384960707,22
0.00018577463971638402,0.00011142986104480163,0.0008490268832784665,0.0012528737981546774,0.0005086822386455091,23
0.00018582694361652971,0.00011155042044969722,0.000848352629138879,0.001249658249339705,0.0005082271423140523,24
0.0001857658037710901,0.00011137309546935628,0.0008481836895097765,0.001252477212876744,0.0005068733543159392,25
0.0001857672645689241,0.00011170096762820375,0.0008481543958370484,0.0012492151110906364,0.0005084840938585543,26
0.0001858256489738868,0.00011170421973588686,0.0008483092247948859,0.0012491741914915776,0.0005076456799418649,27
0.00018577247325484534,0.00011191766283917788,0.0008486563598618563,0.0012524699332941555,0.0005087255732366625,28
0.00018574819582845652,0.00011185867571166628,0.0008482949430010837,0.0012488405474460251,0.0005063033950281007,29
0.0001858098721849037,0.00011155336234211627,0.0008483737290189689,0.0012513616264113667,0.0005086433959720924,30
0.00018578565259556778,0.00011193807302269885,0.0008482014306305148,0.0012503819640573338,0.0005062358758829797,31
0.00018565815998899357,0.00011176329537345133,0.0008468216831440869,0.0012466876346090986,0.0005079127597779094,32
0.00018586157803357923,0.0001119508440527607,0.00084877213714755,0.0012518857851806819,0.0005090820377491079,33
0.00018585911831774126,0.00011175287328948068,0.0008472986127237811,0.0012479156507054486,0.0005072211766039694,34
0.00018557025587611747,0.00011177862812088591,0.0008475207272269163,0.001246754088221821,0.0005061227343790042,35
