face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
0,1919,1902,142,6.140969988220921e-10,6.115662406767292e-10,1.979298630730949e-09,5.050860664997598e-17
1,2060,1643,621,1.0295392473495077e-09,2.3867309604208167e-10,7.400312387578336e-10,5.008479940132058e-17
2,1902,767,142,1.6764339557022652e-10,1.0973179349433887e-09,1.6925590191934695e-09,2.2773232045843402e-17
3,538,60,1407,2.6786213112287785e-10,4.842062392211861e-10,2.1242842113423944e-10,8.036191159435897e-18
4,538,1967,60,1.0495165676078647e-09,1.186637655499043e-09,9.284633714703207e-11,1.8332815261811655e-18
5,60,1199,1407,2.4015443400194903e-12,1.2492386235022782e-10,9.727605545888182e-11,2.2656042556793315e-17
6,1199,1157,1229,1.012830866063611e-09,4.258290026834054e-10,1.9484578718401062e-09,1.0018816354985644e-17
7,1629,1407,1735,2.3446343760514385e-09,5.157896631886638e-10,1.4105659998984406e-09,8.993606243826e-18
8,1716,1064,1536,9.757862358714913e-10,1.4386882149361914e-09,6.929580736765394e-10,1.341748468628865e-18
9,1912,880,247,1.151216303223263e-08,9.746751726733015e-10,7.940026592337504e-09,2.4825662879984834e-17
10,231,723,807,3.5906519162939915e-10,3.099619908776729e-10,9.957700074622246e-10,2.1980962177819725e-18
11,2147,538,136,1.2583988265705053e-09,4.784430936773342e-11,1.0698172390189361e-09,7.283766110220953e-19
12,538,2147,1967,4.270231815796714e-11,1.5921975776382026e-10,1.7085530567415317e-10,1.2466525989364716e-18
13,392,2147,948,1.3156785675951932e-09,5.1768426335328786e-11,1.18241714993298e-09,4.1574023533180557e-19
14,2147,392,1967,2.4540062760672193e-09,4.6226254767324306e-11,2.336161258988572e-09,4.2551838470365464e-19
15,366,1000,1629,4.9296981196525976e-08,8.701787991937829e-09,3.589062604156735e-08,3.647706026896458e-19
16,1585,852,763,6.151964565969002e-10,3.748683071904818e-11,6.129098924185962e-10,1.001982491186603e-18
17,523,763,1229,6.373496511355421e-09,1.3880673927961579e-10,7.472559787691474e-09,6.393084858110507e-18
18,159,376,2156,1.410857235432692e-08,5.448569396719453e-10,1.3418573309621602e-08,3.983210627295819e-19
19,522,1187,752,1.3959231801976444e-09,2.4218663631774278e-11,1.2990523673935665e-09,1.9688939962895622e-19
20,749,1199,545,4.479828765507861e-10,4.526714168290849e-11,3.142746399216416e-10,5.797644072117851e-19
21,1643,45,621,8.985643559294425e-10,6.401715449535869e-10,2.7371574864232013e-10,1.3330406246787963e-17
22,377,45,1643,1.073776184551207e-09,1.3493462611385858e-09,8.353690652884134e-11,3.084786662739036e-18
23,1675,1716,1651,4.929318183856637e-10,7.13067205016279e-11,7.554006656763823e-10,7.19497432691503e-19
24,1064,1599,1212,7.607499770002565e-09,3.3297323564944437e-09,7.204201728804129e-09,2.1490026976046504e-19
25,1599,1064,1716,2.553806432982404e-09,2.1759675143477587e-10,3.0384147538337405e-09,3.773590597676839e-19
26,1442,821,1536,4.043658538380963e-11,3.6159062817032353e-10,6.291439095609947e-10,1.4857140339343968e-18
27,821,1442,1489,1.0076966975869489e-10,2.3025979044538181e-10,6.186792653065761e-10,4.381330929247818e-19
28,1529,1663,636,2.889104382308635e-08,7.821636619133484e-09,3.394487124333949e-08,1.1632091288431485e-19
29,2012,596,1663,8.6035578225299e-09,7.623478449431184e-10,4.957015763568169e-09,2.401327342692865e-20
30,1630,1919,367,1.8102636445863103e-09,6.401005236152071e-10,1.2756349353047052e-09,2.629761767229488e-17
31,1919,751,1902,3.0266406835454673e-09,2.763455674162489e-09,2.7470568148425203e-09,5.939884316287221e-18
32,751,598,1902,2.779872915504868e-09,1.3759051381460036e-09,2.4772397060084922e-09,4.5787236675918756e-18
33,346,1665,565,1.7165101993775563e-08,5.121426298396268e-09,1.1937868168124863e-08,1.5118129701159359e-18
34,751,346,598,3.3138582042325556e-09,3.896036059218364e-09,3.637177848401722e-10,1.3279062724948682e-18
35,2010,1036,635,1.0549584406000208e-08,9.132587777136075e-09,8.6274107148949e-09,4.22242703493241e-18
36,384,904,344,5.686223726317706e-09,1.8832359183136912e-09,3.7432925350162715e-09,2.5831631340294093e-18
37,904,384,1550,2.349633629597695e-09,4.967883170447202e-10,2.118761969636537e-09,1.786506626293007e-18
38,1833,2161,880,7.104227473384114e-09,2.475816429151005e-09,8.972027772059122e-09,4.409724306336086e-17
39,1833,904,2161,1.4715727063004765e-11,2.0769548767383166e-09,2.0635970797199018e-09,1.3734898004659968e-17
40,904,1833,344,3.8047339720385015e-09,4.203276411282753e-09,1.4625439431274704e-08,2.8354457386141614e-18
41,1912,2189,880,3.982330718427159e-09,2.1941562214749978e-09,8.880660619178016e-10,7.231795950803102e-18
42,2100,231,1106,1.5416845590785405e-09,1.6018928499411933e-10,2.577144700966586e-09,2.258433636371522e-18
43,2060,2100,42,7.653187879997551e-09,1.5343167818462939e-09,3.3010194105428376e-09,4.41258918888498e-17
44,2100,1106,42,4.4574735758854095e-10,3.540335309719599e-10,1.2931702852026317e-09,1.1761156911805213e-17
45,723,2100,2060,1.219146153812246e-08,3.252761732621713e-09,4.724872755386446e-09,1.0190286139262772e-17
46,2100,723,231,4.958344491189903e-09,2.770950740073364e-10,4.3333678416177525e-09,2.9862503452351015e-18
47,1780,400,1519,4.0990519734136765e-08,2.331730413775073e-11,4.07471368951344e-08,5.340851972082492e-19
48,987,937,1586,1.129760307813941e-09,8.405853814444625e-10,3.1173881859087375e-10,3.7169636390635993e-19
49,987,2060,621,1.6009995784666445e-09,2.2343387785849532e-10,1.5272873298467773e-09,1.1760567622547745e-17
50,1546,1780,1519,4.903877472673391e-08,1.126039339923002e-11,4.844865745290522e-08,5.212220530082079e-19
51,723,668,807,3.337349199907318e-09,1.5879051329927556e-09,1.5940891918832451e-09,1.2344531676310292e-18
52,525,346,565,1.4415622485556093e-08,4.0055463763426475e-09,7.676056759554536e-09,1.1206504655367833e-18
53,346,525,598,2.7380753181524755e-09,5.224469693249253e-09,5.911298734585223e-10,1.2680378113256411e-18
54,888,1625,1633,3.496389935086557e-09,1.9380715511276472e-10,5.2669434924769514e-09,9.080187951105553e-20
55,1625,888,1781,5.226587145853089e-09,1.1187250331797906e-08,2.3121000177556613e-09,1.3837170568565157e-19
56,1293,731,2003,8.529003097421755e-09,6.155713296240388e-10,4.587256250244828e-09,6.469043724633136e-19
57,731,1293,1744,1.1089204222077713e-08,6.307557026671024e-10,9.651867426332555e-09,8.6490671632725135e-19
58,541,1829,402,5.394201000423052e-09,2.228202602521849e-09,1.0351458407124718e-08,3.6456219573367406e-19
59,1829,84,2162,1.1549144992627917e-07,3.834720520972242e-08,4.173647857611709e-08,4.295878176376305e-19
60,1218,1722,1635,6.24439890683716e-09,8.108343931462274e-10,9.990039148753737e-09,5.976898794858321e-19
61,1823,1218,1635,1.958718339545507e-08,4.81836407765809e-09,5.901947760964253e-09,5.829869302159139e-19
62,1218,1823,452,1.9737654127579563e-08,3.989484292730553e-09,6.187609588311438e-09,6.79178416872575e-19
63,928,1685,452,5.315200084200486e-08,2.640417642030708e-08,1.1006710461842055e-08,4.1897822582116974e-19
