face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
203,1878,1325,216,3.4310203980532814e-08,2.713028482153433e-08,2.3553886466895914e-09,7.715479549606948e-19
204,1258,1878,216,3.418936875130563e-08,1.0643664551735394e-08,1.4445517211345319e-08,6.412523832585527e-19
205,1434,1878,1258,6.955941454321643e-09,1.0650074231046285e-08,4.5260330959601065e-10,9.366626940857487e-19
206,1878,1434,863,4.007795451642729e-09,5.998597797416872e-09,3.660755594168134e-10,1.2253697183397765e-18
207,2035,407,1213,9.054651285330144e-09,1.9458931284630553e-10,7.089903806007615e-09,8.181925223276261e-18
208,407,1325,1213,3.06683617529938e-08,1.1615414814251687e-08,8.365461055514237e-09,5.493882831702949e-18
209,1325,407,216,1.5296864330398212e-08,1.2800258116226888e-08,3.822741252053505e-09,1.7720450605401028e-18
210,407,1258,216,2.3682247038423104e-08,2.0283659228071236e-09,1.557755821397085e-08,4.461175839114389e-19
211,407,21,1258,3.3983144076352834e-09,1.0621414362954754e-09,5.79177511510841e-09,2.8507450379130917e-18
212,21,407,1688,1.7654583634083447e-09,3.0383470416019457e-09,9.160329790270523e-09,2.0735748699158007e-17
213,654,2030,1213,4.17140106243405e-08,6.9808208708643246e-09,1.5021433818665306e-08,2.0717950070516806e-18
214,1902,654,1213,1.3635134078123364e-07,6.525452617184829e-09,1.3169957879007488e-07,1.80722294988089e-18
215,2030,654,2185,1.924401739913778e-10,5.371249046069169e-10,1.318561437809659e-09,9.006933613084178e-19
216,408,2140,1962,1.5846911559345474e-08,5.457591088742825e-09,4.6197795081224795e-09,4.15548705798367e-19
217,764,2140,408,2.9192619852410134e-08,7.667223812607163e-09,1.1035852643608407e-08,3.035424146142959e-19
218,266,1436,1717,1.398082888227048e-09,2.0613971955584486e-09,3.804446451138232e-10,2.341008768490917e-18
219,1067,266,1717,1.801492541240077e-09,1.6595775604583353e-09,1.8543694635123166e-10,6.383625740626027e-19
220,731,1264,1436,2.0373832543711893e-09,5.499422746383952e-10,3.508955526240349e-09,2.715607928888399e-19
221,266,731,1436,5.344965591493664e-10,2.1341933582365158e-10,2.9780168692032735e-10,6.716259903141444e-19
222,2076,2090,1827,9.76983062962515e-08,9.464770707548621e-08,3.2707720877375984e-08,1.2042844594492649e-18
223,1256,799,982,3.1819950094449825e-08,2.1274752356035212e-08,3.169914335124215e-08,8.235604646123253e-19
224,689,1535,308,6.858474302121282e-09,5.020003913891124e-10,5.771299481511482e-09,8.00578173245316e-19
225,568,1535,689,3.22259666803512e-08,1.886872176506521e-08,5.736320808779982e-09,8.275714441027198e-19
226,799,885,982,1.888763212955557e-08,7.989079944883513e-09,3.7056946290497687e-08,7.52341425261247e-19
227,885,799,824,1.6441509738916574e-09,1.723253684159859e-09,6.444183415438444e-09,6.687878557608768e-19
228,885,1535,568,2.0499020753067278e-08,1.6319132706200754e-08,5.294993219126228e-09,7.9887911089450365e-19
229,1535,885,824,1.310098295667891e-09,6.961396819608503e-11,1.3849152502978571e-09,5.402098858116302e-19
230,215,1297,458,1.2857742250267652e-09,6.167974822343068e-10,3.0749336406612403e-09,3.2275515954422797e-19
231,1297,811,458,2.004809875466616e-09,7.516734191456822e-09,1.4068233482130661e-08,3.21983966254644e-19
232,1425,1602,259,2.2236255620207855e-09,2.321918843941862e-11,2.3254794107511583e-09,3.7776743693381404e-19
233,849,1425,259,7.847425606674423e-09,6.896133417488679e-10,1.2530380885743242e-08,3.7737268585929634e-19
234,1509,1722,1102,4.179793162830693e-09,3.198844893026976e-10,2.790007261460136e-09,1.0490254327693803e-17
235,1722,1509,1494,3.6803233818168064e-09,4.0217956994665775e-09,1.006242250474889e-09,8.194057517932298e-19
236,1722,739,1102,6.032726256952821e-09,5.059077716738863e-10,3.6558735322309275e-09,6.825889552335104e-18
237,739,1608,1102,4.130117909741109e-09,5.150174660310474e-10,5.44577905818098e-09,2.4929136311453768e-18
238,637,1423,211,5.3641124754030876e-09,2.3024758515761914e-09,2.7992969952428127e-09,8.45605386722302e-19
239,1756,1754,968,2.386826434651298e-09,2.958020762651759e-09,3.791139189285541e-09,4.654622447844564e-19
240,1672,1496,14,5.995854279281265e-09,6.500512784441836e-10,3.274707765262274e-09,2.611670667368522e-19
241,1496,1672,1373,2.674182046660661e-09,1.181394342422983e-09,5.2749195091232505e-09,3.9092967995431883e-19
242,1122,483,162,8.460719468676836e-09,9.596534499923774e-09,4.3011269694282995e-09,2.9063681992405463e-19
243,861,374,1302,6.555006544115018e-08,9.855688672946674e-11,6.669290599460305e-08,1.2012426273079083e-18
244,776,374,227,8.741357460162113e-08,6.597430462505699e-09,4.66003276878099e-08,1.2820400020888816e-18
245,2098,1349,1302,4.3314190920417567e-08,4.44405636214234e-09,2.0913986793096457e-08,7.237870185418771e-19
246,1278,2098,162,6.208439277943305e-09,2.1517368018331154e-09,7.171368940226856e-09,3.970151426307612e-19
247,2098,1122,162,1.596904903841296e-08,7.407229602367589e-09,9.63508134658216e-09,3.5195741088965607e-19
248,1122,2098,1302,7.203316524220514e-08,1.0708888557384505e-08,2.8572839809943888e-08,6.06747046683792e-19
