face_id,i,j,k
0,563,3,1338
1,1601,563,1237
2,1106,691,1864
3,872,1546,530
4,1395,1160,1338
5,618,945,363
6,2016,3,1247
7,2109,3,563
8,3,2109,1247
9,1601,1188,563
10,2109,1282,1247
11,544,253,1939
12,1891,253,544
13,278,1891,544
14,2152,372,1546
15,872,2152,1546
16,355,834,1546
17,1660,1842,1807
18,1842,1660,1262
19,1842,1262,535
20,571,2000,1750
21,1816,1395,1338
22,546,1601,1237
23,546,720,1601
24,1556,1635,318
25,1635,1556,1443
26,1188,1267,563
27,1267,2109,563
28,977,2016,1247
29,1282,977,1247
30,1742,1267,1828
31,1267,1742,2109
32,1600,977,1282
33,691,585,1864
34,585,691,439
35,1509,1102,1864
36,585,1509,1864
37,1996,2017,308
38,1436,408,1962
39,1372,278,544
40,1106,1644,691
41,594,1928,193
42,1242,1341,372
43,2152,2161,372
44,2161,1242,372
45,1242,2161,1547
46,1710,1928,594
47,1604,1710,594
48,960,970,1301
49,1694,960,1301
50,970,1308,1301
51,221,2018,1029
52,2000,1432,1750
53,1750,1432,535
54,1432,1842,535
55,1395,1432,1160
56,1432,2000,1160
57,2016,868,3
58,675,868,2016
59,3,868,1338
60,16,546,1237
61,1635,518,318
62,743,1188,1601
63,720,743,1601
64,320,720,546
65,223,1267,1188
66,1177,945,1576
67,977,1177,2016
68,675,1177,1576
69,1177,675,2016
70,1015,1600,1282
71,2159,585,439
72,1509,2159,1494
73,2159,1509,585
74,557,689,308
75,2017,557,308
76,2030,1067,1717
77,1067,2030,2185
78,2035,2030,1717
79,2030,2035,1213
80,1325,1902,1213
81,1372,832,278
82,1436,1264,408
83,1264,764,408
84,861,1349,1333
85,1349,861,1302
86,48,1009,1125
87,159,1644,1931
88,691,159,439
89,1644,159,691
90,1009,1083,1125
91,1083,925,1125
92,925,1083,527
93,1644,67,1931
94,1386,1759,1954
95,5,2152,872
96,5,2161,2152
97,1589,1242,1547
98,1604,1589,1547
99,1242,1589,1341
100,493,1236,530
101,582,1236,493
102,1236,872,530
103,892,1108,913
104,892,1386,1954
105,1694,2064,960
106,1445,2155,646
107,1308,1156,1301
108,1207,1308,444
109,1156,1207,791
110,1207,1156,1308
111,441,970,1284
112,441,1308,970
113,638,441,1284
114,1308,441,444
115,75,1445,646
116,90,75,646
117,2067,395,1128
118,2147,2075,161
119,2075,1328,161
120,582,1107,61
121,1107,582,493
122,2063,1107,493
123,2032,1909,589
124,2032,1185,1216
125,270,2032,589
126,1092,1947,1976
127,1947,1092,304
128,1357,2141,47
129,1940,1805,1202
130,372,198,1546
131,1341,198,372
132,1589,542,1341
133,355,368,834
134,891,541,1160
135,1518,891,571
136,2000,891,1160
137,891,2000,571
138,487,1037,2037
139,221,1415,2018
140,1645,1432,1395
141,818,675,1576
142,1680,868,675
143,818,1680,675
144,1680,818,2065
145,868,1680,1338
146,1680,2065,1338
147,1430,945,618
148,945,1430,1576
149,1967,2059,1816
150,1745,232,1355
151,1745,1355,147
152,253,1760,1939
153,1719,758,1269
154,1760,1719,1939
155,1719,1760,758
156,1049,253,1891
157,1049,1760,253
158,1760,1049,758
159,1330,1635,1443
160,546,1330,1443
161,16,1330,546
162,79,518,1635
163,1330,79,1635
164,79,1330,16
165,79,16,1237
166,320,252,720
167,252,743,720
168,1556,397,1443
169,397,546,1443
170,397,320,546
171,181,100,1828
172,1659,100,181
173,223,986,113
174,113,986,857
175,743,986,1188
176,986,223,1188
177,986,252,857
178,252,986,743
179,1267,2154,1828
180,223,2154,1267
181,2154,181,1828
182,181,2154,113
183,2154,223,113
184,1600,1525,977
185,1525,1177,977
186,1177,1525,945
187,945,1525,363
188,1627,1015,1282
189,1627,1282,2109
190,1742,1627,2109
191,1525,1056,363
192,1056,1525,1600
193,100,1979,1706
194,1659,1979,100
195,1370,618,363
196,744,568,689
197,557,744,689
198,863,1434,1457
199,1434,371,1457
200,371,21,1688
201,21,1434,1258
202,1434,21,371
203,1878,1325,216
204,1258,1878,216
205,1434,1878,1258
206,1878,1434,863
207,2035,407,1213
208,407,1325,1213
209,1325,407,216
210,407,1258,216
211,407,21,1258
212,21,407,1688
213,654,2030,1213
214,1902,654,1213
215,2030,654,2185
216,408,2140,1962
217,764,2140,408
218,266,1436,1717
219,1067,266,1717
220,731,1264,1436
221,266,731,1436
222,2076,2090,1827
223,1256,799,982
224,689,1535,308
225,568,1535,689
226,799,885,982
227,885,799,824
228,885,1535,568
229,1535,885,824
230,215,1297,458
231,1297,811,458
232,1425,1602,259
233,849,1425,259
234,1509,1722,1102
235,1722,1509,1494
236,1722,739,1102
237,739,1608,1102
238,637,1423,211
239,1756,1754,968
240,1672,1496,14
241,1496,1672,1373
242,1122,483,162
243,861,374,1302
244,776,374,227
245,2098,1349,1302
246,1278,2098,162
247,2098,1122,162
248,1122,2098,1302
249,48,240,1009
250,925,1998,1125
251,468,527,1931
252,468,925,527
253,67,468,1931
254,682,1644,1106
255,682,67,1644
256,682,1106,1864
257,1759,1176,1954
258,1176,695,1954
259,1696,1386,1366
260,1696,1813,1469
261,1759,1696,1469
262,1696,1759,1386
263,1377,770,765
264,1215,1629,532
265,1977,766,1435
266,766,1977,398
267,1709,1464,913
268,1386,1464,1366
269,1464,892,913
270,892,1464,1386
271,770,1426,765
272,1426,1873,765
273,1873,1426,1527
274,692,1527,1460
275,249,2123,532
276,249,69,988
277,509,249,988
278,249,509,2123
279,69,1727,988
280,811,1492,579
281,1492,1297,358
282,1492,811,1297
283,1492,707,579
284,1245,582,61
285,1710,558,905
286,558,1604,1547
287,1604,558,1710
288,541,325,747
289,1249,325,541
290,325,1179,747
291,1179,325,1249
292,1541,1249,541
293,891,1541,541
294,1541,891,1518
295,1541,1518,499
296,1249,1541,499
297,1841,638,1284
298,1723,277,625
299,277,1723,545
300,551,1317,1679
301,1317,1940,1202
302,1317,551,1940
303,1026,1723,625
304,1150,1026,625
305,1026,1150,714
306,1150,495,714
307,495,1150,1897
308,834,495,833
309,495,791,833
310,268,495,834
311,495,268,714
312,1051,1694,1301
313,1156,1051,1301
314,1837,1156,791
315,495,1837,791
316,1837,495,1897
317,1051,1837,1897
318,1837,1051,1156
319,90,33,444
320,33,1207,444
321,1207,33,791
322,33,90,646
323,2155,33,646
324,791,33,833
325,33,2155,833
326,711,638,1182
327,711,441,638
328,441,711,444
329,75,711,1182
330,711,90,444
331,711,75,90
332,385,2147,161
333,2067,385,161
334,1328,606,161
335,606,2067,161
336,2067,606,395
337,606,98,395
338,1738,2147,1300
339,1738,2075,2147
340,1027,2063,493
341,1216,1027,530
342,1027,493,530
343,1185,1733,1216
344,1733,1185,1004
345,1733,1027,1216
346,1027,1733,2063
347,1185,1815,1004
348,1815,1185,2032
349,270,1815,2032
350,395,95,1128
351,135,2057,519
352,131,135,519
353,135,131,1289
354,135,340,2057
355,1428,1708,1050
356,1708,1428,507
357,1133,340,1358
358,1133,1086,1050
359,856,1725,1563
360,573,1357,47
361,1092,573,304
362,1357,1762,2141
363,596,551,1679
364,299,596,1679
365,596,299,702
366,931,1932,460
367,1932,1805,460
368,1805,1932,1202
369,1932,545,1202
370,781,766,398
371,781,258,1043
372,1693,781,1043
373,781,1693,766
374,1295,424,355
375,424,368,355
376,368,424,702
377,786,1295,355
378,786,768,1140
379,786,355,1546
380,768,786,1546
381,456,1140,2112
382,456,786,1140
383,786,456,1295
384,149,198,1341
385,542,149,1341
386,1340,542,1589
387,1340,1604,594
388,1340,1589,1604
389,1599,299,1679
390,1599,268,834
391,299,1781,702
392,1781,368,702
393,368,1781,834
394,1781,1599,834
395,1599,1781,299
396,423,1084,1984
397,1084,1168,1984
398,1168,1084,2037
399,1502,423,1984
400,2100,24,1946
401,24,2100,524
402,2079,1415,221
403,1795,617,644
404,1845,131,519
405,131,1845,296
406,1816,225,1395
407,1681,1531,521
408,225,1681,1395
409,1681,225,1531
410,1531,104,521
411,104,1406,521
412,1406,104,1376
413,1101,926,1842
414,1275,1681,521
415,1037,52,2037
416,52,1168,2037
417,1168,1145,1984
418,231,818,1576
