face_id,i,j,k,x_centroid,y_centroid,curl_total_abs,curl_coexact_abs
0,1919,1902,142,6528.333333333333,13310.666666666666,3.164322478561006e-05,3.1643223059881094e-05
1,2060,1643,621,5270.0,6869.666666666667,2.2306480138066654e-05,2.230650960719392e-05
2,1902,767,142,7130.666666666667,13813.333333333334,1.905179127165357e-05,1.9051752124381796e-05
3,538,60,1407,15062.333333333334,7125.0,2.898514958022493e-05,2.8985149088867196e-05
4,538,1967,60,14393.0,6506.666666666667,1.9134799574182414e-05,1.9134796850880863e-05
5,60,1199,1407,14394.0,6044.0,3.76167318986318e-07,3.761739200067112e-07
6,1199,1157,1229,12387.666666666666,3572.0,8.794633145800545e-05,8.794633282953169e-05
7,1629,1407,1735,16533.0,9287.333333333334,5.757098608907267e-05,5.7570961670668905e-05
8,1716,1064,1536,16190.333333333334,12100.666666666666,1.1512718189204966e-05,1.1512677535841926e-05
9,1912,880,247,9035.0,3255.3333333333335,0.00020935708080748662,0.0002093570671247209
10,231,723,807,5132.666666666667,8257.333333333334,2.553321109158817e-05,2.5533148558108694e-05
11,2147,538,136,14459.333333333334,6776.333333333333,1.4634226329192918e-05,1.463419707371033e-05
12,538,2147,1967,14392.666666666666,6660.666666666667,2.8713530902942025e-07,2.8712149683933534e-07
13,392,2147,948,14191.0,6775.666666666667,5.656617001248884e-05,5.6566128837932714e-05
14,2147,392,1967,14258.333333333334,6660.333333333333,5.8138843541138126e-06,5.813898971381558e-06
15,366,1000,1629,16397.666666666668,9672.666666666666,0.0005550500669803975,0.0005550498780492
16,1585,852,763,11248.333333333334,3376.3333333333335,2.5186674174203062e-05,2.5186565995224524e-05
17,523,763,1229,11852.0,3262.3333333333335,0.0001920929445059649,0.00019209293392823866
18,159,376,2156,10640.0,5264.0,0.00031970917774767763,0.00031970903190934154
19,522,1187,752,12385.666666666666,4574.333333333333,0.00010413254797940939,0.00010413245891213109
20,749,1199,545,12788.333333333334,4421.0,4.712210909280704e-05,4.7122086319254676e-05
21,1643,45,621,5472.666666666667,6292.0,4.358133747258995e-05,4.3581284493244644e-05
22,377,45,1643,5607.333333333333,6061.0,1.6169367152353615e-05,1.6169404308547884e-05
23,1675,1716,1651,15785.333333333334,13101.666666666666,4.987262771762426e-05,4.987263744596924e-05
24,1064,1599,1212,15989.666666666666,11984.666666666666,0.00024040025363420488,0.00024040024297706933
25,1599,1064,1716,16056.0,12177.333333333334,0.00014869927605469697,0.0001486992199397785
26,1442,821,1536,16393.0,11446.0,2.373171580912378e-06,2.3732054491043733e-06
27,821,1442,1489,16393.666666666668,11214.666666666666,9.265302393141487e-06,9.26536084956095e-06
28,1529,1663,636,13769.333333333334,14793.333333333334,0.00025211485815827394,0.0002521146841661
29,2012,596,1663,14239.666666666666,14524.333333333334,9.963314355152424e-05,9.963302677811317e-05
30,1630,1919,367,5124.666666666667,11418.333333333334,0.00010449098570100159,0.00010449093981150471
31,1919,751,1902,5525.666666666667,11959.0,0.00013859015008024824,0.00013859008446694035
32,751,598,1902,5659.666666666667,12036.333333333334,0.00013983432167692346,0.00013983432749583644
33,346,1665,565,5727.666666666667,11612.666666666666,0.0003139765099363573,0.00031397638749154297
34,751,346,598,5593.0,11843.333333333334,4.1790580640725216e-05,4.1790552873288226e-05
35,2010,1036,635,6751.0,4560.666666666667,0.00023684668368850748,0.00023684668725218753
36,384,904,344,8027.0,3985.3333333333335,0.00018282908270032762,0.00018282923661901745
37,904,384,1550,7959.666666666667,4100.666666666667,0.00011838002786154089,0.00011837982003966096
38,1833,2161,880,8028.333333333333,3523.0,0.00019939289009126735,0.00019939273849996962
39,1833,904,2161,7893.666666666667,3754.0,1.1277673510302475e-05,1.1277508445443931e-05
40,904,1833,344,8027.333333333333,3831.3333333333335,6.746051768197739e-05,6.74607386483444e-05
41,1912,2189,880,8766.333333333334,3331.6666666666665,6.32425371748653e-05,6.324250039464491e-05
42,2100,231,1106,4930.666666666667,8372.666666666666,5.448922924109739e-05,5.4489138005125366e-05
43,2060,2100,42,4796.333333333333,8603.333333333334,0.00011680146645891133,0.00011680148218237528
44,2100,1106,42,4795.666666666667,8757.666666666666,1.5022317304587066e-05,1.5022378381193209e-05
45,723,2100,2060,4931.666666666667,8141.0,0.00017295431816828736,0.00017295421527301942
46,2100,723,231,4998.333333333333,8257.0,0.00019081786073550379,0.00019081788268444943
47,1780,400,1519,5536.0,7795.666666666667,0.0004908269147914664,0.0004908267220112986
48,987,937,1586,5201.333333333333,7525.0,3.18260903556739e-05,3.1826002006719054e-05
49,987,2060,621,5067.333333333333,7524.666666666667,2.5264656186171542e-05,2.526471392071769e-05
50,1546,1780,1519,5603.0,7911.333333333333,0.000587959739097506,0.0005879596267979385
51,723,668,807,5200.0,8141.666666666667,0.00011876989680639121,0.00011876980197895783
52,525,346,565,5794.333333333333,11728.333333333334,0.000201652874309976,0.00020165285006619238
53,346,525,598,5727.0,11843.666666666666,1.6924419574542084e-05,1.6924423058468482e-05
54,888,1625,1633,7204.0,11384.666666666666,4.404268862530797e-05,4.4042794538382024e-05
55,1625,888,1781,7136.666666666667,11500.333333333334,5.90926170252461e-05,5.909252037396542e-05
56,1293,731,2003,6397.333333333333,12076.333333333334,2.906292218272569e-05,2.9062961696738094e-05
57,731,1293,1744,6330.666666666667,11960.666666666666,0.00027355332441646944,0.00027355318139514364
58,541,1829,402,8344.666666666666,11271.666666666666,7.988552967585932e-05,7.988550541861676e-05
59,1829,84,2162,8210.0,11503.0,0.0003738268608131671,0.0003738267931728
60,1218,1722,1635,8212.666666666666,10346.333333333334,0.00014807831551416823,0.00014807809363827704
61,1823,1218,1635,8346.666666666666,10346.666666666666,6.2879255709387e-05,6.287939837524217e-05
62,1218,1823,452,8413.333333333334,10462.333333333334,6.205955617995113e-05,6.205949684013847e-05
63,928,1685,452,8547.0,10694.0,0.00014474523979435242,0.0001447450992452485
64,1685,928,1742,8614.0,10810.0,3.179959154536567e-05,3.179963859750043e-05
65,586,1823,1635,8414.333333333334,10231.333333333334,0.00010945437546152609,0.00010945416580025995
66,586,1300,1435,8549.0,10000.333333333334,1.7885847992779717e-05,1.788596658945928e-05
67,1765,586,1435,8616.0,10116.333333333334,3.807128767821242e-06,3.8070055297674934e-06
68,586,1765,1823,8548.666666666666,10231.666666666666,7.813135854240689e-05,7.81311998464489e-05
69,233,2147,136,14392.0,6892.0,4.205308400983307e-05,4.205307513008447e-05
70,2147,233,948,14258.0,6891.666666666667,1.6811003950745086e-06,1.6811264477561283e-06
71,1335,392,948,14057.0,6775.333333333333,4.739197932416771e-06,4.7391424102911095e-06
72,1993,538,1407,15597.666666666666,7743.0,2.3602727004077238e-05,2.3602703370720207e-05
73,538,1572,136,14593.333333333334,6931.0,6.032651543248845e-05,6.0326447232679206e-05
74,1205,1572,538,14727.333333333334,7085.666666666667,6.042702886121577e-05,6.0426974445806544e-05
75,455,1043,1735,16732.0,10020.333333333334,1.9228811172370396e-05,1.92288084155249e-05
76,1043,1629,1735,16665.666666666668,9827.333333333334,0.00023205094773722396,0.000232050916298923
77,2196,365,1067,13453.333333333334,6658.333333333333,1.4425210151974624e-05,1.4425197805004906e-05
78,365,2196,1320,13587.666666666666,6658.666666666667,9.628986675228032e-06,9.62899469896294e-06
79,1819,1000,1488,16197.0,9402.333333333334,0.0002255615666992453,0.00022556153380847306
80,1629,1819,1407,16332.0,9094.0,3.8593217659093096e-05,3.8593170536607366e-05
81,1000,1819,1629,16331.0,9479.666666666666,0.0003098328701115184,0.0003098328250669191
82,109,843,852,10778.333333333334,3568.0,1.7212236239413235e-05,1.7212384477775962e-05
83,2124,843,2115,10577.0,3529.0,8.948324215049999e-05,8.948330964009997e-05
84,843,109,2115,10644.0,3645.0,0.0001683103208737782,0.00016831012885287603
85,1135,1585,763,11449.666666666666,3338.3333333333335,0.0002422649112125981,0.00024226484434206836
86,1585,1135,1247,11583.666666666666,3415.6666666666665,0.0004105632890581,0.0004105631654060511
