sample_id,flux_name,metric,region_a,region_b,median_a,median_b,median_ratio_a_over_b,mwu_p,perm_p
GSM_6433618,flux_tumor_immune,frac_coexact,immune_enriched,other,0.7381458840824597,0.7822582081801828,0.943608998107742,0.8139710151261592,0.6753246753246753
GSM_6433618,flux_tumor_immune,frac_coexact,immune_enriched,stroma_enriched,0.7381458840824597,0.7666807481299405,0.9627812957126132,0.7964365808400918,0.6153846153846154
GSM_6433618,flux_tumor_immune,frac_coexact,immune_enriched,tumor_enriched,0.7381458840824597,0.6001079958482906,1.2300217447345354,0.0442967591811821,0.0369630369630369
GSM_6433618,flux_tumor_immune,frac_coexact,interface_like,other,0.7776475706300074,0.7822582081801828,0.9941059901935688,0.9154260354185044,0.5464535464535465
GSM_6433618,flux_tumor_immune,frac_coexact,interface_like,stroma_enriched,0.7776475706300074,0.7666807481299405,1.014304288358377,0.879202192277597,0.4225774225774226
GSM_6433618,flux_tumor_immune,frac_coexact,interface_like,tumor_enriched,0.7776475706300074,0.6001079958482906,1.2958460410625816,8.916266883348473e-06,0.0009990009990009
GSM_6433618,flux_tumor_immune,node_energy_coexact,immune_enriched,other,7.252818243765395e-09,3.378502882904532e-09,2.1467550850600654,0.0016411219801149,0.0099900099900099
GSM_6433618,flux_tumor_immune,node_energy_coexact,immune_enriched,stroma_enriched,7.252818243765395e-09,6.229447033347354e-09,1.1642796230451518,0.2166979395960103,0.3176823176823177
GSM_6433618,flux_tumor_immune,node_energy_coexact,immune_enriched,tumor_enriched,7.252818243765395e-09,4.830053334649741e-09,1.501602102762566,0.093305950614307,0.1508491508491508
GSM_6433618,flux_tumor_immune,node_energy_coexact,interface_like,other,8.275185964954024e-09,3.378502882904532e-09,2.4493647783540635,6.095826053635921e-20,0.0009990009990009
GSM_6433618,flux_tumor_immune,node_energy_coexact,interface_like,stroma_enriched,8.275185964954024e-09,6.229447033347354e-09,1.328398158079756,0.0026334111270948,0.0179820179820179
GSM_6433618,flux_tumor_immune,node_energy_coexact,interface_like,tumor_enriched,8.275185964954024e-09,4.830053334649741e-09,1.7132701010959153,0.0001460630786969,0.0009990009990009
GSM_6433618,flux_tumor_stroma,frac_coexact,immune_enriched,other,0.3040138233143948,0.0855602785970737,3.553212171574117,3.5417510981235335e-05,0.0009990009990009
GSM_6433618,flux_tumor_stroma,frac_coexact,immune_enriched,stroma_enriched,0.3040138233143948,0.0275856020862861,11.02074271801128,5.324084678740788e-14,0.0009990009990009
GSM_6433618,flux_tumor_stroma,frac_coexact,immune_enriched,tumor_enriched,0.3040138233143948,0.0583607302223459,5.2092189757761105,5.626255974286526e-09,0.0009990009990009
